date_obj,Chinchompa price
2018-02-04,949
2018-02-05,955
2018-02-06,955
2018-02-07,955
2018-02-08,955
2018-02-09,986
2018-02-10,986
2018-02-11,986
2018-02-12,986
2018-02-13,1009
2018-02-14,1009
2018-02-15,1009
2018-02-16,1009
2018-02-17,1048
2018-02-18,1048
2018-02-19,1048
2018-02-20,1095
2018-02-21,1095
2018-02-22,1095
2018-02-23,1095
2018-02-24,1138
2018-02-25,1138
2018-02-26,1138
2018-02-27,1140
2018-02-28,1140
2018-03-01,1140
2018-03-02,1140
2018-03-03,1095
2018-03-04,1095
2018-03-05,1095
2018-03-06,1095
2018-03-07,1071
2018-03-08,1071
2018-03-09,1071
2018-03-10,1071
2018-03-11,1043
2018-03-12,1043
2018-03-13,1043
2018-03-14,1043
2018-03-15,997
2018-03-16,997
2018-03-17,997
2018-03-18,997
2018-03-20,977
2018-03-21,977
2018-03-23,971
2018-03-24,971
2018-03-25,971
2018-03-26,971
2018-03-27,931
2018-03-28,931
2018-03-29,931
2018-03-30,931
2018-03-31,922
2018-04-02,922
2018-04-03,922
2018-04-04,924
2018-04-05,924
2018-04-06,924
2018-04-07,924
2018-04-08,952
2018-04-09,952
2018-04-10,952
2018-04-11,952
2018-04-12,941
2018-04-13,941
2018-04-14,941
2018-04-15,941
2018-04-16,922
2018-04-17,922
2018-04-18,922
2018-04-19,922
2018-04-20,912
2018-04-21,912
2018-04-22,912
2018-04-23,912
2018-04-24,920
2018-04-25,920
2018-04-26,920
2018-04-27,920
2018-04-28,935
2018-04-29,935
2018-04-30,935
2018-05-01,935
2018-05-03,941
2018-05-04,941
2018-05-05,941
2018-05-07,969
2018-05-08,969
2018-05-09,969
2018-05-10,1008
2018-05-11,1008
2018-05-12,1008
2018-05-13,1008
2018-05-14,1055
2018-05-15,1055
2018-05-16,1055
2018-05-17,1055
2018-05-18,1064
2018-05-19,1064
2018-05-20,1064
2018-05-21,1069
2018-05-22,1069
2018-05-23,1069
2018-05-24,1069
2018-05-25,1066
2018-05-26,1066
2018-05-27,1066
2018-05-28,1014
2018-05-29,1014
2018-05-30,1014
2018-05-31,973
2018-06-01,973
2018-06-02,973
2018-06-03,930
2018-06-04,930
2018-06-05,930
2018-06-06,951
2018-06-07,951
2018-06-08,951
2018-06-09,951
2018-06-10,972
2018-06-11,972
2018-06-12,972
2018-06-13,972
2018-06-14,946
2018-06-15,946
2018-06-16,946
2018-06-17,946
2018-06-18,944
2018-06-19,944
2018-06-20,944
2018-06-21,944
2018-06-22,946
2018-06-23,946
2018-06-24,946
2018-06-25,946
2018-06-26,947
2018-06-27,947
2018-06-28,947
2018-06-29,947
2018-06-30,989
2018-07-01,989
2018-07-02,989
2018-07-03,989
2018-07-04,1036
2018-07-05,1036
2018-07-06,1036
2018-07-07,1036
2018-07-08,1022
2018-07-09,1022
2018-07-10,1022
2018-07-11,1022
2018-07-12,1022
2018-07-13,1022
2018-07-14,1010
2018-07-15,1010
2018-07-16,1010
2018-07-17,1010
2018-07-18,1052
2018-07-19,1052
2018-07-20,1052
2018-07-21,1052
2018-07-22,1095
2018-07-23,1095
2018-07-24,1095
2018-07-25,1095
2018-07-26,1147
2018-07-27,1147
2018-07-28,1147
2018-07-29,1171
2018-07-30,1171
2018-07-31,1171
2018-08-01,1210
2018-08-02,1210
2018-08-03,1210
2018-08-04,1210
2018-08-05,1210
2018-08-06,1210
2018-08-07,1256
2018-08-08,1256
2018-08-09,1256
2018-08-10,1248
2018-08-11,1248
2018-08-12,1248
2018-08-14,1199
2018-08-16,1199
2018-08-17,1207
2018-08-18,1207
2018-08-19,1207
2018-08-20,1211
2018-08-21,1211
2018-08-22,1211
2018-08-23,1211
2018-08-24,1256
2018-08-25,1256
2018-08-26,1256
2018-08-27,1228
2018-08-28,1228
2018-08-29,1228
2018-08-30,1227
2018-08-31,1227
2018-09-01,1227
2018-09-02,1218
2018-09-03,1218
2018-09-04,1218
2018-09-05,1254
2018-09-06,1254
2018-09-07,1254
2018-09-08,1294
2018-09-09,1294
2018-09-10,1294
2018-09-11,1294
2018-09-12,1279
2018-09-13,1279
2018-09-14,1279
2018-09-15,1229
2018-09-16,1229
2018-09-17,1229
2018-09-18,1225
2018-09-19,1225
2018-09-20,1225
2018-09-21,1191
2018-09-22,1191
2018-09-23,1191
2018-09-24,1150
2018-09-25,1150
2018-09-26,1150
2018-09-27,1165
2018-09-28,1165
2018-09-29,1165
2018-09-30,1176
2018-10-01,1176
2018-10-02,1176
2018-10-03,1178
2018-10-04,1178
2018-10-05,1178
2018-10-06,1145
2018-10-07,1145
2018-10-08,1145
2018-10-09,1145
2018-10-10,1162
2018-10-11,1162
2018-10-12,1162
2018-10-13,1213
2018-10-14,1213
2018-10-15,1213
2018-10-16,1213
2018-10-17,1251
2018-10-18,1251
2018-10-19,1251
2018-10-20,1251
2018-10-21,1209
2018-10-22,1209
2018-10-23,1209
2018-10-24,1209
2018-10-25,1183
2018-10-26,1183
2018-10-27,1183
2018-10-28,1225
2018-10-29,1225
2018-10-30,1225
2018-10-31,1225
2018-11-01,1269
2018-11-03,1269
2018-11-04,1269
2018-11-05,1271
2018-11-06,1271
2018-11-07,1271
2018-11-08,1319
2018-11-09,1319
2018-11-10,1319
2018-11-11,1275
2018-11-12,1275
2018-11-13,1218
2018-11-14,1218
2018-11-15,1218
2018-11-16,1160
2018-11-17,1160
2018-11-18,1160
2018-11-19,1105
2018-11-20,1105
2018-11-21,1077
2018-11-22,1077
2018-11-23,1088
2018-11-24,1088
2018-11-25,1074
2018-11-26,1074
2018-11-27,1074
2018-11-28,1063
2018-11-29,1063
2018-12-01,1076
2018-12-02,1076
2018-12-03,1076
2018-12-04,1109
2018-12-05,1109
2018-12-07,1116
2018-12-09,1117
2018-12-10,1130
2018-12-11,1130
2018-12-12,1130
2018-12-13,1112
2018-12-14,1112
2018-12-15,1112
2018-12-16,1062
2018-12-17,1062
2018-12-18,1018
2018-12-19,1018
2018-12-20,1013
2018-12-21,1013
2018-12-22,1013
2018-12-23,1019
2018-12-24,1019
2018-12-25,1019
2018-12-26,1037
2018-12-27,1037
2018-12-28,1053
2018-12-29,1053
2018-12-30,1015
2018-12-31,1015
2019-01-01,1002
2019-01-02,1002
2019-01-03,1017
2019-01-04,1017
2019-01-05,1005
2019-01-06,1005
2019-01-08,988
2019-01-10,918
2019-01-11,877
2019-01-12,884
2019-01-13,925
2019-01-14,925
2019-01-15,959
2019-01-16,959
2019-01-17,999
2019-01-18,999
2019-01-19,983
2019-01-20,983
2019-01-21,980
2019-01-22,980
2019-01-23,963
2019-01-24,963
2019-01-25,945
2019-01-26,945
2019-01-27,928
2019-01-28,928
2019-01-29,926
2019-01-30,926
2019-01-31,929
2019-02-01,929
2019-02-02,902
2019-02-03,902
2019-02-04,916
2019-02-05,916
2019-02-06,926
2019-02-07,926
2019-02-08,929
2019-02-09,929
2019-02-10,914
2019-02-11,914
2019-02-12,900
2019-02-13,890
2019-02-14,890
2019-02-15,860
2019-02-16,860
2019-02-17,829
2019-02-18,829
2019-02-19,847
2019-02-20,847
2019-02-21,862
2019-02-22,862
2019-02-23,856
2019-02-24,856
2019-02-25,853
2019-02-26,853
2019-02-27,853
2019-02-28,853
2019-03-01,853
2019-03-02,853
2019-03-03,834
2019-03-04,834
2019-03-05,827
2019-03-06,827
2019-03-07,815
2019-03-08,815
2019-03-09,815
2019-03-10,848
2019-03-11,848
2019-03-12,891
2019-03-13,891
2019-03-14,891
2019-03-15,911
2019-03-16,911
2019-03-17,892
2019-03-18,892
2019-03-19,892
2019-03-20,852
2019-03-21,852
2019-03-22,852
2019-03-23,820
2019-03-24,820
2019-03-25,820
2019-03-26,806
2019-03-27,806
2019-03-28,806
2019-03-29,845
2019-03-30,845
2019-03-31,845
2019-04-01,885
