date_obj,Bones%20to%20peaches%20(tablet) price
2017-10-07,786
2017-10-08,797
2017-10-09,797
2017-10-10,824
2017-10-11,824
2017-10-12,820
2017-10-13,820
2017-10-14,842
2017-10-15,842
2017-10-16,844
2017-10-17,844
2017-10-18,845
2017-10-19,845
2017-10-20,858
2017-10-21,858
2017-10-22,890
2017-10-23,890
2017-10-24,919
2017-10-25,937
2017-10-26,937
2017-10-27,902
2017-10-28,902
2017-10-29,902
2017-10-30,902
2017-10-31,871
2017-11-01,871
2017-11-02,859
2017-11-03,859
2017-11-04,859
2017-11-05,859
2017-11-06,842
2017-11-07,842
2017-11-08,834
2017-11-09,853
2017-11-10,853
2017-11-11,870
2017-11-12,872
2017-11-13,872
2017-11-14,877
2017-11-15,877
2017-11-16,883
2017-11-17,883
2017-11-18,884
2017-11-19,906
2017-11-20,906
2017-11-21,921
2017-11-22,921
2017-11-23,937
2017-11-24,937
2017-11-25,937
2017-11-26,937
2017-11-27,971
2017-11-28,949
2017-11-29,949
2017-11-30,904
2017-12-01,882
2017-12-02,882
2017-12-03,880
2017-12-04,880
2017-12-05,877
2017-12-06,877
2017-12-07,872
2017-12-08,872
2017-12-09,879
2017-12-10,879
2017-12-11,879
2017-12-12,872
2017-12-13,872
2017-12-14,846
2017-12-15,852
2017-12-16,852
2017-12-17,860
2017-12-18,882
2017-12-19,882
2017-12-20,898
2017-12-21,906
2017-12-22,906
2017-12-23,922
2017-12-24,922
2017-12-25,910
2017-12-26,905
2017-12-27,905
2017-12-28,905
2017-12-29,904
2017-12-30,914
2017-12-31,914
2018-01-01,922
2018-01-02,922
2018-01-03,921
2018-01-04,921
2018-01-05,914
2018-01-06,899
2018-01-07,899
2018-01-08,896
2018-01-09,899
2018-01-10,899
2018-01-11,891
2018-01-12,891
2018-01-13,872
2018-01-14,873
2018-01-15,878
2018-01-16,889
2018-01-17,931
2018-01-18,910
2018-01-19,910
2018-01-20,907
2018-01-21,907
2018-01-22,896
2018-01-23,891
2018-01-24,887
2018-01-25,887
2018-01-26,882
2018-01-27,880
2018-01-28,886
2018-01-29,905
2018-01-30,897
