date_obj,Sapphire%20dragon%20bolts%20(e) price
2020-04-07,933
2020-04-08,933
2020-04-09,954
2020-04-10,954
2020-04-11,954
2020-04-12,995
2020-04-13,995
2020-04-14,995
2020-04-15,995
2020-04-16,995
2020-04-17,1007
2020-04-18,1007
2020-04-19,1007
2020-04-20,1007
2020-04-21,959
2020-04-22,959
2020-04-23,959
2020-04-24,954
2020-04-25,954
2020-04-26,954
2020-04-27,954
2020-04-28,926
2020-04-29,926
2020-04-30,926
2020-05-01,926
2020-05-02,926
2020-05-03,906
2020-05-04,906
2020-05-05,906
2020-05-06,906
2020-05-07,906
2020-05-08,915
2020-05-09,915
2020-05-10,915
2020-05-11,915
2020-05-12,922
2020-05-13,922
