date_obj,White%20berries price
2017-06-15,1011
2017-06-16,989
2017-06-17,947
2017-06-18,929
2017-06-19,929
2017-06-20,948
2017-06-21,955
2017-06-22,965
2017-06-23,998
2017-06-24,973
2017-06-25,929
2017-06-26,901
2017-06-27,933
2017-06-28,947
2017-06-29,918
2017-06-30,913
2017-07-01,913
2017-07-02,934
2017-07-03,927
2017-07-04,907
2017-07-05,907
2017-07-06,927
2017-07-07,974
2017-07-08,1014
2017-07-13,1078
2017-07-14,1074
2017-07-15,1095
2017-07-16,1103
2017-07-17,1088
2017-07-18,1096
2017-07-19,1138
2017-07-20,1127
2017-07-21,1090
2017-07-22,1037
2017-07-23,996
2017-07-24,968
2017-07-25,998
2017-07-26,1030
2017-07-27,1023
2017-07-28,1026
2017-07-29,1058
2017-07-30,1057
2017-07-31,1057
2017-08-01,1013
2017-08-02,1006
2017-08-03,983
2017-08-04,1012
2017-08-05,1017
2017-08-06,995
2017-08-09,1050
2017-08-10,1019
2017-08-11,1000
2017-08-12,999
2017-08-13,1007
2017-08-14,985
2017-08-15,952
2017-08-16,951
2017-08-17,941
2017-08-18,941
2017-08-19,956
2017-08-20,943
2017-08-21,957
2017-08-22,945
2017-08-23,933
2017-08-24,903
2017-08-25,927
2017-08-26,936
2017-08-27,952
2017-08-28,937
2017-08-29,928
2017-08-30,932
2017-08-31,954
2017-09-01,921
2017-09-02,896
2017-09-03,913
2017-09-04,895
2017-09-05,887
2017-09-06,903
2017-09-07,894
2017-09-08,906
2017-09-09,931
2017-09-10,894
2017-09-11,885
2017-09-12,892
2017-09-13,901
2017-09-14,904
2017-09-15,904
2017-09-16,897
2017-09-17,876
2017-09-18,853
2017-09-19,827
2017-09-20,814
2017-09-21,848
2017-09-22,854
2017-09-23,843
2017-09-24,845
2017-09-25,879
2017-09-26,906
2017-09-27,903
2017-09-28,909
2017-09-29,883
2017-09-30,873
2017-10-01,890
2017-10-02,889
2017-10-03,869
2017-10-04,867
2017-10-05,878
2017-10-06,846
2017-10-07,838
2017-10-08,809
2017-10-09,808
2017-10-10,824
2017-10-11,824
2017-10-12,826
2017-10-13,844
2017-10-14,834
2017-10-15,834
2017-10-16,821
2017-10-17,821
2017-10-18,819
2017-10-19,843
2017-10-20,845
2017-10-21,846
2017-10-22,827
2017-10-23,816
2017-10-24,812
2017-10-25,811
2017-10-26,818
2017-10-27,813
2017-10-28,813
2017-10-29,783
2017-10-30,762
2017-10-31,773
2017-11-01,773
2017-11-02,747
2017-11-03,758
2017-11-04,775
2017-11-05,774
2017-11-06,784
2017-11-07,765
2017-11-08,794
2017-11-09,790
2017-11-10,771
2017-11-11,765
2017-11-12,751
2017-11-13,745
2017-11-14,755
2017-11-15,772
2017-11-16,795
2017-11-17,816
2017-11-18,845
2017-11-19,848
2017-11-20,847
2017-11-21,832
2017-11-22,806
2017-11-23,823
2017-11-24,792
2017-11-25,753
2017-11-26,751
2017-11-27,751
2017-11-28,770
2017-11-29,785
2017-11-30,789
2017-12-01,791
2017-12-02,819
2017-12-03,822
2017-12-04,842
2017-12-05,878
2017-12-06,918
2017-12-07,926
2017-12-08,907
2017-12-09,872
2017-12-10,832
2017-12-11,859
2017-12-12,852
2017-12-13,832
2017-12-14,815
2017-12-15,807
2017-12-16,796
2017-12-17,791
2017-12-18,808
2017-12-19,797
2017-12-20,784
2017-12-21,784
2017-12-22,765
2017-12-23,766
2017-12-24,770
2017-12-25,795
2017-12-26,791
2017-12-27,815
2017-12-28,837
2017-12-29,820
2017-12-30,787
2017-12-31,809
2018-01-01,848
2018-01-02,820
2018-01-03,822
2018-01-04,801
2018-01-05,795
2018-01-06,807
2018-01-07,778
2018-01-08,779
2018-01-09,805
2018-01-10,819
2018-01-11,803
2018-01-12,799
2018-01-13,795
2018-01-14,803
2018-01-15,814
2018-01-16,828
2018-01-17,823
2018-01-18,826
2018-01-19,826
2018-01-20,836
2018-01-21,816
2018-01-22,790
2018-01-23,772
2018-01-24,761
2018-01-25,763
2018-01-26,761
2018-01-27,733
2018-01-28,710
2018-01-29,725
2018-01-30,746
2018-02-01,741
2018-02-02,731
2018-02-03,719
2018-02-04,720
2018-02-05,717
2018-02-06,726
2018-02-07,715
2018-02-08,679
2018-02-09,662
2018-02-10,663
2018-02-11,672
2018-02-12,667
2018-02-13,681
2018-02-14,706
2018-02-15,725
2018-02-16,721
2018-02-17,700
2018-02-18,708
2018-02-19,720
2018-02-20,705
2018-02-21,697
2018-02-22,685
2018-02-23,663
2018-02-24,664
2018-02-25,672
2018-02-26,680
2018-02-27,674
2018-02-28,676
2018-03-01,669
2018-03-02,666
2018-03-03,677
2018-03-04,675
2018-03-05,702
2018-03-06,686
2018-03-07,667
2018-03-08,652
2018-03-09,647
2018-03-10,646
2018-03-11,649
2018-03-12,666
2018-03-13,684
2018-03-14,682
2018-03-15,659
2018-03-16,644
2018-03-17,671
2018-03-18,662
2018-03-19,678
2018-03-20,686
2018-03-21,658
2018-03-23,637
2018-03-24,626
2018-03-26,667
2018-03-27,699
2018-03-28,689
2018-03-29,681
2018-03-30,680
2018-03-31,686
2018-04-01,708
2018-04-02,710
2018-04-03,721
2018-04-04,710
2018-04-05,696
2018-04-06,679
2018-04-08,713
2018-04-09,745
2018-04-10,783
2018-04-11,811
2018-04-12,781
2018-04-13,749
2018-04-14,757
2018-04-16,800
2018-04-17,769
2018-04-18,745
2018-04-19,718
2018-04-20,698
2018-04-21,729
2018-04-22,740
2018-04-23,725
2018-04-24,721
2018-04-25,751
2018-04-26,775
2018-04-27,761
2018-04-28,754
2018-04-29,748
2018-04-30,766
2018-05-01,784
2018-05-02,820
2018-05-03,817
2018-05-04,856
2018-05-05,859
2018-05-06,859
2018-05-07,825
2018-05-08,831
2018-05-09,854
2018-05-10,847
2018-05-11,843
2018-05-12,850
2018-05-13,887
2018-05-14,885
2018-05-15,884
2018-05-16,854
2018-05-17,819
2018-05-18,811
2018-05-19,805
2018-05-20,771
2018-05-21,771
2018-05-22,756
2018-05-23,789
2018-05-24,822
2018-05-25,846
2018-05-26,849
2018-05-27,847
2018-05-28,837
2018-05-29,804
2018-05-30,809
2018-05-31,809
2018-06-01,839
2018-06-02,881
2018-06-03,917
2018-06-04,912
2018-06-05,900
2018-06-06,923
2018-06-07,891
2018-06-08,861
2018-06-09,905
2018-06-10,951
2018-06-11,986
2018-06-12,952
2018-06-13,978
2018-06-14,1019
2018-06-15,1070
2018-06-16,1124
2018-06-17,1181
2018-06-18,1241
2018-06-19,1304
2018-06-20,1354
2018-06-21,1356
2018-06-22,1346
2018-06-23,1336
2018-06-24,1314
2018-06-25,1316
2018-06-26,1352
2018-06-27,1309
2018-06-28,1290
2018-06-29,1278
2018-06-30,1227
2018-07-01,1170
2018-07-02,1112
2018-07-03,1056
2018-07-04,1003
2018-07-05,952
2018-07-06,911
2018-07-07,888
2018-07-08,877
2018-07-09,865
2018-07-10,907
2018-07-11,946
2018-07-12,943
2018-07-13,947
2018-07-14,948
2018-07-15,928
2018-07-16,924
2018-07-17,951
2018-07-18,906
2018-07-19,916
2018-07-20,906
2018-07-21,933
2018-07-22,961
2018-07-23,956
2018-07-24,968
2018-07-25,952
2018-07-26,937
2018-07-27,923
2018-07-28,914
2018-07-29,925
2018-07-30,932
2018-07-31,941
2018-08-01,943
2018-08-02,935
2018-08-03,938
2018-08-04,952
2018-08-05,942
2018-08-06,938
2018-08-07,955
2018-08-08,992
2018-08-09,976
2018-08-10,998
2018-08-11,996
2018-08-12,982
2018-08-14,971
2018-08-16,949
2018-08-17,936
2018-08-18,936
2018-08-19,931
2018-08-20,921
2018-08-21,918
2018-08-22,901
2018-08-23,867
2018-08-24,826
2018-08-25,799
2018-08-26,769
2018-08-27,778
2018-08-28,799
2018-08-29,802
2018-08-30,812
2018-08-31,799
2018-09-01,798
2018-09-02,785
2018-09-03,771
2018-09-04,751
2018-09-05,754
2018-09-06,759
2018-09-07,747
2018-09-08,740
2018-09-09,733
2018-09-10,717
2018-09-11,695
2018-09-12,688
2018-09-13,660
2018-09-14,632
2018-09-15,608
2018-09-16,590
2018-09-17,573
2018-09-18,563
2018-09-19,549
2018-09-20,537
2018-09-21,534
2018-09-22,547
2018-09-23,560
2018-09-24,585
2018-09-25,610
2018-09-26,630
2018-09-27,656
2018-09-28,686
2018-09-29,721
2018-09-30,717
2018-10-02,688
2018-10-03,661
2018-10-04,636
2018-10-05,606
2018-10-06,580
2018-10-07,573
2018-10-08,553
2018-10-09,560
2018-10-10,578
2018-10-11,588
2018-10-12,572
2018-10-13,568
2018-10-14,573
2018-10-15,563
2018-10-16,581
2018-10-17,582
2018-10-18,575
2018-10-19,566
2018-10-20,552
2018-10-21,533
2018-10-22,529
2018-10-23,524
2018-10-24,530
2018-10-25,545
2018-10-26,547
2018-10-27,545
2018-10-28,537
2018-10-29,528
2018-10-30,521
2018-10-31,509
2018-11-01,496
2018-11-03,504
2018-11-04,520
2018-11-05,514
2018-11-06,520
2018-11-07,532
2018-11-08,549
2018-11-09,543
2018-11-10,536
2018-11-11,532
2018-11-12,524
2018-11-13,515
2018-11-14,513
2018-11-15,494
2018-11-16,493
2018-11-17,490
2018-11-18,497
2018-11-19,504
2018-11-20,508
2018-11-21,505
2018-11-22,505
2018-11-23,499
2018-11-24,497
2018-11-25,499
2018-11-26,506
2018-11-27,512
2018-11-28,505
2018-11-29,506
2018-12-01,502
2018-12-02,504
2018-12-03,504
2018-12-04,510
2018-12-05,509
2018-12-07,502
2018-12-09,503
2018-12-10,490
2018-12-11,483
2018-12-12,481
2018-12-13,470
2018-12-14,464
2018-12-15,476
2018-12-16,482
2018-12-17,483
2018-12-18,494
2018-12-19,494
2018-12-20,500
2018-12-21,497
2018-12-22,491
2018-12-23,487
2018-12-24,498
2018-12-25,504
2018-12-26,511
2018-12-27,516
2018-12-28,510
2018-12-29,509
2018-12-30,496
2018-12-31,491
2019-01-01,490
2019-01-02,498
2019-01-03,513
2019-01-04,506
2019-01-05,511
2019-01-06,512
2019-01-08,511
2019-01-10,490
2019-01-11,465
2019-01-12,441
2019-01-13,420
2019-01-14,408
2019-01-15,406
2019-01-16,396
2019-01-17,395
2019-01-18,411
2019-01-19,431
2019-01-20,453
2019-01-21,474
2019-01-22,469
2019-01-23,477
2019-01-24,482
2019-01-25,477
2019-01-26,482
2019-01-27,465
2019-01-28,452
2019-01-29,438
2019-01-30,427
2019-01-31,414
2019-02-01,415
2019-02-02,430
2019-02-03,413
2019-02-04,392
2019-02-05,391
2019-02-06,409
2019-02-07,418
2019-02-08,430
2019-02-09,451
2019-02-10,450
2019-02-11,471
2019-02-12,482
2019-02-13,465
2019-02-14,448
2019-02-15,432
2019-02-16,411
2019-02-17,397
2019-02-18,411
2019-02-19,417
2019-02-20,424
2019-02-21,418
2019-02-22,399
2019-02-23,403
2019-02-24,413
2019-02-25,416
2019-02-26,420
2019-02-27,418
2019-02-28,417
2019-03-01,404
2019-03-02,391
2019-03-03,387
2019-03-04,379
2019-03-05,383
2019-03-06,389
2019-03-07,398
2019-03-08,404
2019-03-09,405
2019-03-10,404
2019-03-11,406
2019-03-12,407
2019-03-13,406
2019-03-14,391
2019-03-15,384
2019-03-16,388
2019-03-17,379
2019-03-18,368
2019-03-19,362
2019-03-20,346
2019-03-21,336
2019-03-22,333
2019-03-23,333
2019-03-24,324
2019-03-25,326
2019-03-26,335
2019-03-27,352
2019-03-28,367
2019-03-29,377
2019-03-30,373
2019-03-31,377
2019-04-01,376
2019-04-02,367
2019-04-03,369
2019-04-04,369
2019-04-05,364
2019-04-06,365
2019-04-07,366
2019-04-08,373
2019-04-09,372
2019-04-10,376
2019-04-11,379
2019-04-12,381
2019-04-13,375
2019-04-14,371
2019-04-15,374
2019-04-16,373
2019-04-17,374
2019-04-18,370
2019-04-19,357
2019-04-20,341
2019-04-21,328
2019-04-22,315
2019-04-23,300
2019-04-24,304
2019-04-25,301
2019-04-26,304
2019-04-27,309
2019-04-28,311
2019-04-29,307
2019-04-30,300
2019-05-01,297
2019-05-02,302
2019-05-03,315
2019-05-04,321
2019-05-05,330
2019-05-06,337
2019-05-07,339
2019-05-08,334
2019-05-09,330
2019-05-10,322
2019-05-11,311
2019-05-12,301
2019-05-13,295
2019-05-14,308
2019-05-15,304
2019-05-16,302
2019-05-17,309
2019-05-18,321
2019-05-19,336
2019-05-20,352
2019-05-21,369
2019-05-22,386
2019-05-23,389
2019-05-24,378
2019-05-25,360
2019-05-26,342
2019-05-27,326
2019-05-28,334
2019-05-29,345
2019-05-30,359
2019-05-31,362
2019-06-01,374
2019-06-02,383
2019-06-03,369
2019-06-04,351
2019-06-05,337
2019-06-06,328
2019-06-07,326
2019-06-08,325
2019-06-09,319
2019-06-10,315
2019-06-11,318
2019-06-12,327
2019-06-13,335
2019-06-14,340
2019-06-15,346
2019-06-16,332
2019-06-17,324
2019-06-18,321
2019-06-19,329
2019-06-20,325
2019-06-21,327
2019-06-22,334
2019-06-23,333
2019-06-24,324
2019-06-25,322
2019-06-26,314
2019-06-27,314
2019-06-28,315
