date_obj,Black%20elegant%20legs price
2017-10-27,8850
2017-10-28,8850
2017-10-29,8407
2017-10-30,8407
2017-10-31,8255
2017-11-01,8255
2017-11-02,7971
2017-11-03,7971
2017-11-04,7664
2017-11-05,7664
2017-11-06,7493
2017-11-07,7493
2017-11-08,7302
2017-11-09,7209
2017-11-10,7209
2017-11-11,7212
2017-11-12,7148
2017-11-13,7148
2017-11-14,7111
2017-11-15,7111
2017-11-16,7209
2017-11-17,7209
2017-11-18,7229
2017-11-19,7140
2017-11-20,7140
2017-11-21,7010
2017-11-22,7010
2017-11-23,7021
2017-11-24,7021
2017-11-25,6784
2017-11-26,6784
2017-11-27,6659
2017-11-28,6632
2017-11-29,6632
2017-11-30,6752
2017-12-01,6935
2017-12-02,6935
2017-12-03,7252
2017-12-04,7252
2017-12-05,7513
2017-12-06,7513
2017-12-07,7543
2017-12-08,7543
2017-12-09,7541
2017-12-10,7720
2017-12-11,7720
2017-12-12,7766
2017-12-13,7766
2017-12-14,7709
2017-12-15,7645
2017-12-16,7645
2017-12-17,7454
2017-12-18,7258
2017-12-19,7258
2017-12-20,7095
2017-12-21,7095
2017-12-22,6921
2017-12-23,7005
2017-12-24,7005
2017-12-25,7336
2017-12-26,7336
2017-12-27,7674
2017-12-28,7674
2017-12-29,8058
2017-12-30,8461
2017-12-31,8461
2018-01-01,8885
2018-01-02,8885
2018-01-03,9274
2018-01-04,9274
2018-01-05,9600
2018-01-06,9739
2018-01-07,9739
2018-01-08,9695
2018-01-09,9684
2018-01-10,9684
2018-01-11,9956
2018-01-12,9956
2018-01-13,9709
2018-01-14,9709
2018-01-15,9473
2018-01-16,9473
2018-01-17,9362
2018-01-18,9205
2018-01-19,9205
2018-01-20,9174
2018-01-21,9174
2018-01-22,9126
2018-01-23,9223
2018-01-24,9195
2018-01-25,9195
2018-01-26,9250
2018-01-27,9231
2018-01-28,9163
2018-01-29,9081
2018-01-30,9111
2018-01-31,9111
2018-02-01,9105
2018-02-02,9105
2018-02-03,9050
2018-02-04,9050
2018-02-05,9035
2018-02-06,8816
2018-02-07,8615
2018-02-08,8615
2018-02-09,8211
2018-02-10,8211
2018-02-11,8072
2018-02-12,8035
2018-02-13,8035
2018-02-14,8123
2018-02-15,8123
2018-02-16,8108
2018-02-17,8010
2018-02-18,8010
2018-02-19,7928
2018-02-20,7928
2018-02-21,7629
2018-02-22,7629
2018-02-23,7434
2018-02-24,7434
2018-02-25,7395
2018-02-26,7395
2018-02-27,7407
2018-02-28,7407
2018-03-01,7334
2018-03-02,7433
2018-03-03,7316
2018-03-04,7316
2018-03-05,7196
2018-03-06,7196
2018-03-07,7130
2018-03-08,7130
2018-03-09,7081
2018-03-10,7081
2018-03-11,7188
2018-03-12,7188
2018-03-13,7403
2018-03-14,7403
2018-03-15,7591
2018-03-16,7591
2018-03-17,7325
2018-03-18,7020
2018-03-20,6877
2018-03-21,6877
2018-03-22,6841
2018-03-23,6841
2018-03-24,6818
2018-03-25,6938
2018-03-26,6938
2018-03-27,6878
2018-03-28,6878
2018-03-29,6747
2018-03-30,6747
2018-03-31,6649
2018-04-01,6649
2018-04-02,6610
2018-04-03,6610
2018-04-04,6535
2018-04-05,6535
2018-04-06,6480
2018-04-07,6480
2018-04-08,6385
2018-04-09,6386
2018-04-10,6386
2018-04-11,6066
2018-04-12,5793
2018-04-13,5793
2018-04-14,5593
2018-04-15,5426
2018-04-16,5426
2018-04-17,5402
2018-04-18,5402
2018-04-19,5278
2018-04-20,5278
2018-04-21,5171
2018-04-22,5171
2018-04-23,5108
2018-04-24,5108
2018-04-25,5057
2018-04-26,5057
2018-04-27,4993
2018-04-28,4993
2018-04-29,5068
2018-04-30,5068
2018-05-01,5253
2018-05-02,5253
2018-05-03,5423
2018-05-04,5423
2018-05-05,5526
2018-05-06,5526
2018-05-07,5766
2018-05-08,5766
2018-05-09,5742
2018-05-10,5782
2018-05-11,5782
2018-05-12,5736
2018-05-13,5736
2018-05-14,5644
2018-05-15,5644
2018-05-16,5554
2018-05-17,5554
2018-05-18,5621
2018-05-19,5818
2018-05-20,5818
2018-05-21,6005
2018-05-22,6005
2018-05-23,6103
2018-05-24,6103
2018-05-25,6163
2018-05-26,6229
2018-05-27,6229
2018-05-28,6154
2018-05-29,6061
2018-05-30,6061
2018-05-31,5789
2018-06-01,5789
