date_obj,Oil%20lamp price
2018-12-22,453
2018-12-23,473
2018-12-24,493
2018-12-25,493
2018-12-26,513
2018-12-27,533
2018-12-28,533
2018-12-29,558
2018-12-30,558
2018-12-31,568
2019-01-01,568
2019-01-02,593
2019-01-03,593
2019-01-04,621
2019-01-05,621
2019-01-06,632
2019-01-08,629
2019-01-10,624
2019-01-11,624
2019-01-12,620
2019-01-13,620
2019-01-14,633
2019-01-15,633
2019-01-16,652
2019-01-17,652
2019-01-18,680
2019-01-19,680
2019-01-20,705
2019-01-21,705
2019-01-22,720
2019-01-23,720
2019-01-25,691
2019-01-26,657
2019-01-27,657
2019-01-28,645
2019-01-29,645
2019-01-30,645
2019-01-31,645
2019-02-01,655
2019-02-02,655
2019-02-03,629
2019-02-04,629
2019-02-05,597
2019-02-06,597
2019-02-07,599
2019-02-08,599
2019-02-09,622
2019-02-10,622
2019-02-11,601
2019-02-12,601
2019-02-13,604
2019-02-14,604
2019-02-15,615
2019-02-16,615
2019-02-17,613
2019-02-18,613
2019-02-19,630
2019-02-20,630
2019-02-21,654
2019-02-22,654
2019-02-23,671
2019-02-24,671
2019-02-25,660
2019-02-26,660
2019-02-27,660
2019-02-28,660
2019-03-01,688
2019-03-02,688
2019-03-03,701
2019-03-04,701
2019-03-05,709
2019-03-06,709
2019-03-07,691
2019-03-08,691
2019-03-09,691
2019-03-10,695
2019-03-11,695
2019-03-12,670
2019-03-13,670
2019-03-14,670
2019-03-15,666
2019-03-16,666
2019-03-17,687
2019-03-18,687
2019-03-19,687
2019-03-20,676
2019-03-21,676
2019-03-22,676
2019-03-23,673
2019-03-24,673
2019-03-25,673
2019-03-26,674
2019-03-27,674
2019-03-28,694
2019-03-29,694
2019-03-30,694
2019-03-31,711
2019-04-01,711
2019-04-02,711
2019-04-03,727
2019-04-04,727
2019-04-05,727
2019-04-06,745
2019-04-07,745
2019-04-08,751
2019-04-09,751
2019-04-10,782
2019-04-11,782
2019-04-12,782
2019-04-13,784
2019-04-14,784
2019-04-15,798
2019-04-16,798
2019-04-17,798
2019-04-18,828
2019-04-19,828
2019-04-20,850
2019-04-21,850
2019-04-22,815
2019-04-23,815
2019-04-24,838
2019-04-25,838
2019-04-26,857
2019-04-27,857
2019-04-28,857
2019-04-29,882
2019-04-30,882
2019-05-01,890
2019-05-02,890
2019-05-03,890
2019-05-04,891
2019-05-05,891
2019-05-06,891
2019-05-07,885
2019-05-08,885
2019-05-09,885
2019-05-10,851
2019-05-11,851
2019-05-12,808
2019-05-13,808
2019-05-14,786
2019-05-15,786
2019-05-16,786
2019-05-17,784
2019-05-18,784
2019-05-19,752
2019-05-20,752
2019-05-21,779
2019-05-22,779
2019-05-23,779
2019-05-24,813
2019-05-25,813
2019-05-26,813
2019-05-27,847
2019-05-28,847
2019-05-29,859
2019-05-30,859
2019-05-31,859
2019-06-01,865
2019-06-02,865
2019-06-03,865
2019-06-04,841
2019-06-05,841
2019-06-06,841
2019-06-07,836
