date_obj,Pat%20of%20butter price
2019-03-23,147
2019-03-24,147
2019-03-25,145
2019-03-26,145
2019-03-27,145
2019-03-28,142
2019-03-29,142
2019-03-30,142
2019-03-31,139
2019-04-01,139
2019-04-02,139
2019-04-03,134
2019-04-04,134
2019-04-05,134
2019-04-06,134
2019-04-07,127
2019-04-08,127
2019-04-09,127
2019-04-10,121
2019-04-11,121
2019-04-12,121
2019-04-13,122
2019-04-14,122
2019-04-15,122
2019-04-16,118
2019-04-17,118
2019-04-18,118
2019-04-19,118
2019-04-20,114
2019-04-21,114
2019-04-22,114
2019-04-23,108
2019-04-24,108
2019-04-25,108
2019-04-26,108
2019-04-27,102
2019-04-28,102
2019-04-29,102
2019-04-30,99
2019-05-01,99
2019-05-02,99
2019-05-03,99
2019-05-04,99
2019-05-05,99
2019-05-06,99
2019-05-07,99
2019-05-08,97
2019-05-09,97
2019-05-10,97
2019-05-11,97
2019-05-12,96
2019-05-13,96
2019-05-14,96
2019-05-15,96
2019-05-16,95
2019-05-17,95
2019-05-18,95
2019-05-19,95
2019-05-20,96
2019-05-21,96
2019-05-22,96
2019-05-23,96
2019-05-24,97
2019-05-25,97
2019-05-26,97
2019-05-27,97
2019-05-28,98
2019-05-29,98
2019-05-30,98
2019-05-31,98
2019-06-01,96
2019-06-02,96
2019-06-03,96
2019-06-04,96
2019-06-05,98
2019-06-06,98
2019-06-07,98
2019-06-08,98
2019-06-09,99
2019-06-10,99
2019-06-11,99
2019-06-12,99
2019-06-13,97
2019-06-14,97
2019-06-15,97
2019-06-16,97
2019-06-17,97
2019-06-18,97
2019-06-19,97
2019-06-20,97
2019-06-21,94
2019-06-22,94
2019-06-23,94
2019-06-24,94
2019-06-25,97
2019-06-26,97
2019-06-27,97
2019-06-28,97
2019-06-29,98
2019-06-30,98
2019-07-01,98
2019-07-02,98
2019-07-03,99
2019-07-04,99
2019-07-05,99
2019-07-06,99
2019-07-07,99
2019-07-08,101
2019-07-09,101
2019-07-10,101
2019-07-11,101
2019-07-12,102
2019-07-13,102
2019-07-14,102
2019-07-15,102
