date_obj,Uncut%20ruby price
2018-02-07,1597
2018-02-08,1586
2018-02-09,1588
2018-02-10,1585
2018-02-11,1586
2018-02-12,1593
2018-02-13,1586
2018-02-14,1583
2018-02-15,1584
2018-02-16,1589
2018-02-17,1601
2018-02-18,1590
2018-02-19,1589
2018-02-20,1602
2018-02-21,1599
2018-02-22,1592
2018-02-23,1597
2018-02-24,1585
2018-02-25,1586
2018-02-26,1585
2018-02-27,1586
2018-02-28,1588
2018-03-01,1587
2018-03-02,1586
2018-03-03,1588
2018-03-04,1592
2018-03-05,1589
2018-03-06,1616
2018-03-07,1582
2018-03-08,1577
2018-03-09,1578
2018-03-10,1605
2018-03-11,1592
2018-03-12,1564
2018-03-13,1564
2018-03-14,1564
2018-03-15,1575
2018-03-16,1574
2018-03-17,1563
2018-03-18,1559
2018-03-19,1554
2018-03-20,1543
2018-03-21,1537
2018-03-23,1556
2018-03-24,1556
2018-03-26,1560
2018-03-27,1563
2018-03-28,1572
2018-03-29,1571
2018-03-30,1579
2018-03-31,1597
2018-04-01,1581
2018-04-02,1578
2018-04-03,1571
2018-04-04,1573
2018-04-05,1571
2018-04-06,1559
2018-04-08,1547
2018-04-09,1560
2018-04-10,1551
2018-04-11,1547
2018-04-12,1540
2018-04-13,1519
2018-04-14,1512
2018-04-16,1499
2018-04-17,1519
2018-04-18,1517
2018-04-19,1516
2018-04-20,1504
2018-04-21,1514
2018-04-22,1513
2018-04-23,1491
2018-04-24,1488
2018-04-25,1490
2018-04-26,1503
2018-04-27,1528
2018-04-28,1499
2018-04-29,1474
2018-04-30,1458
2018-05-02,1525
2018-05-03,1543
2018-05-04,1572
2018-05-05,1540
2018-05-06,1579
2018-05-08,1548
2018-05-09,1536
2018-05-10,1559
2018-05-11,1582
2018-05-12,1543
2018-05-13,1522
2018-05-14,1519
2018-05-15,1518
2018-05-16,1519
2018-05-17,1521
2018-05-18,1531
2018-05-19,1539
2018-05-20,1536
2018-05-21,1538
2018-05-22,1545
2018-05-23,1565
2018-05-24,1568
2018-05-25,1562
2018-05-26,1565
2018-05-27,1561
2018-05-28,1560
2018-05-29,1568
2018-05-30,1589
2018-05-31,1573
2018-06-01,1573
2018-06-02,1562
2018-06-03,1570
2018-06-04,1549
2018-06-05,1558
2018-06-06,1515
2018-06-07,1503
2018-06-08,1508
2018-06-09,1513
2018-06-10,1468
2018-06-11,1416
2018-06-12,1419
2018-06-13,1439
2018-06-14,1464
2018-06-15,1481
2018-06-16,1469
2018-06-17,1494
2018-06-18,1474
2018-06-19,1476
2018-06-20,1481
2018-06-21,1498
2018-06-22,1502
2018-06-23,1504
2018-06-24,1498
2018-06-25,1513
2018-06-26,1509
2018-06-27,1513
2018-06-28,1532
2018-06-29,1572
2018-06-30,1608
2018-07-01,1580
2018-07-02,1576
2018-07-03,1562
2018-07-04,1557
2018-07-05,1549
2018-07-06,1570
2018-07-07,1575
2018-07-08,1574
2018-07-09,1614
2018-07-10,1642
2018-07-11,1624
2018-07-12,1680
2018-07-13,1703
2018-07-14,1700
2018-07-15,1742
2018-07-16,1745
2018-07-17,1770
2018-07-18,1802
2018-07-19,1834
2018-07-20,1799
2018-07-21,1732
2018-07-22,1668
2018-07-23,1633
2018-07-24,1631
2018-07-25,1626
2018-07-26,1630
2018-07-27,1636
2018-07-28,1604
2018-07-29,1622
2018-07-30,1622
2018-07-31,1618
2018-08-01,1630
2018-08-02,1657
2018-08-03,1664
2018-08-04,1709
2018-08-05,1763
2018-08-06,1804
2018-08-07,1850
2018-08-08,1785
2018-08-09,1749
2018-08-10,1718
2018-08-11,1708
2018-08-12,1766
2018-08-14,1781
2018-08-16,1814
2018-08-17,1797
2018-08-18,1776
2018-08-19,1762
2018-08-20,1788
2018-08-21,1826
2018-08-22,1893
2018-08-23,1915
2018-08-24,1853
2018-08-25,1891
2018-08-26,1959
2018-08-27,1963
2018-08-28,1901
2018-08-29,1871
2018-08-30,1820
2018-08-31,1783
2018-09-01,1757
2018-09-02,1738
2018-09-03,1741
2018-09-04,1781
2018-09-05,1791
2018-09-06,1751
2018-09-07,1751
2018-09-08,1717
2018-09-09,1730
2018-09-10,1725
2018-09-11,1719
2018-09-12,1714
2018-09-13,1748
2018-09-14,1808
2018-09-15,1828
2018-09-16,1871
2018-09-17,1902
2018-09-18,1890
2018-09-19,1889
2018-09-20,1871
2018-09-21,1832
2018-09-22,1780
2018-09-23,1792
2018-09-24,1782
2018-09-25,1761
2018-09-26,1743
2018-09-27,1742
2018-09-28,1711
2018-09-29,1695
2018-09-30,1693
2018-10-02,1740
2018-10-03,1756
2018-10-04,1754
2018-10-05,1750
2018-10-06,1742
2018-10-07,1733
2018-10-08,1749
2018-10-09,1773
2018-10-10,1808
2018-10-11,1793
2018-10-12,1789
2018-10-13,1780
2018-10-14,1768
2018-10-15,1770
2018-10-16,1781
2018-10-17,1767
2018-10-18,1763
2018-10-19,1716
2018-10-20,1641
2018-10-21,1654
2018-10-22,1645
2018-10-23,1643
2018-10-24,1642
2018-10-25,1648
