date_obj,Red%20salamander price
2019-06-04,143
2019-06-05,151
2019-06-06,156
2019-06-07,160
2019-06-08,156
2019-06-09,153
2019-06-10,153
2019-06-11,152
2019-06-12,152
2019-06-13,152
2019-06-14,152
2019-06-15,147
2019-06-16,147
2019-06-17,151
2019-06-18,148
2019-06-19,147
2019-06-20,154
2019-06-21,158
2019-06-22,159
2019-06-23,160
2019-06-24,158
2019-06-25,153
2019-06-26,149
2019-06-27,145
2019-06-28,145
2019-06-29,147
2019-06-30,144
2019-07-01,144
2019-07-02,150
2019-07-03,154
2019-07-04,156
2019-07-05,157
2019-07-06,151
2019-07-07,155
2019-07-08,155
2019-07-09,155
2019-07-10,161
2019-07-11,157
2019-07-12,153
2019-07-13,149
2019-07-14,147
2019-07-15,147
2019-07-16,151
2019-07-17,152
2019-07-18,150
2019-07-19,142
2019-07-20,135
2019-07-21,128
2019-07-22,121
2019-07-23,116
2019-07-24,111
2019-07-25,105
2019-07-26,99
2019-07-27,95
2019-07-28,91
2019-07-29,86
2019-07-30,81
2019-07-31,78
2019-08-01,75
2019-08-02,72
2019-08-03,68
2019-08-04,66
2019-08-05,65
2019-08-06,64
2019-08-07,64
2019-08-08,64
2019-08-09,62
2019-08-10,59
2019-08-11,59
2019-08-12,57
2019-08-13,55
2019-08-14,54
2019-08-15,54
2019-08-16,57
2019-08-17,57
2019-08-18,57
2019-08-19,56
2019-08-20,54
2019-08-21,53
2019-08-22,52
2019-08-23,50
2019-08-24,48
2019-08-24,48
2019-08-25,48
2019-08-25,48
2019-08-26,45
2019-08-26,45
2019-08-27,43
2019-08-27,43
