date_obj,Weapon%20poison price
2018-05-24,412
2018-05-25,412
2018-05-26,432
2018-05-27,432
2018-05-28,432
2018-05-29,432
2018-05-30,432
2018-05-31,447
2018-06-01,447
2018-06-02,447
2018-06-03,447
2018-06-04,437
2018-06-05,437
2018-06-06,437
2018-06-07,437
2018-06-08,435
2018-06-09,435
2018-06-10,435
2018-06-11,435
2018-06-12,435
2018-06-13,441
2018-06-14,441
2018-06-15,441
2018-06-16,441
2018-06-17,441
2018-06-18,433
2018-06-19,433
2018-06-20,433
2018-06-21,433
2018-06-22,422
2018-06-23,422
2018-06-24,422
2018-06-25,422
2018-06-26,422
2018-06-27,418
2018-06-28,418
2018-06-29,418
2018-06-30,418
2018-07-01,409
2018-07-02,409
2018-07-03,409
2018-07-04,409
2018-07-05,409
2018-07-06,394
2018-07-07,394
2018-07-08,394
2018-07-09,394
2018-07-10,394
2018-07-11,376
2018-07-12,376
2018-07-13,376
2018-07-14,376
2018-07-15,392
2018-07-16,392
2018-07-17,392
2018-07-18,392
2018-07-19,408
2018-07-20,408
2018-07-21,408
2018-07-22,408
2018-07-23,423
2018-07-24,423
2018-07-25,423
2018-07-26,423
2018-07-27,405
2018-07-28,405
2018-07-29,405
2018-07-30,405
2018-07-31,402
2018-08-01,402
2018-08-02,402
2018-08-03,402
2018-08-04,385
2018-08-05,385
2018-08-06,385
2018-08-07,385
2018-08-08,372
2018-08-09,372
2018-08-10,372
2018-08-11,372
2018-08-12,362
2018-08-14,362
2018-08-16,350
2018-08-17,350
2018-08-18,350
2018-08-19,346
2018-08-20,346
2018-08-21,346
2018-08-22,346
2018-08-23,356
2018-08-24,356
2018-08-25,356
2018-08-26,350
2018-08-27,350
2018-08-28,350
2018-08-29,350
2018-08-30,336
2018-08-31,336
2018-09-01,336
2018-09-02,338
2018-09-03,338
2018-09-04,338
2018-09-05,347
2018-09-06,347
2018-09-07,347
2018-09-08,347
2018-09-09,343
2018-09-10,343
2018-09-11,343
2018-09-12,343
2018-09-13,330
2018-09-14,330
2018-09-15,330
2018-09-16,329
2018-09-17,329
2018-09-18,329
2018-09-19,329
2018-09-20,345
2018-09-21,345
2018-09-22,345
2018-09-23,358
2018-09-24,358
2018-09-25,358
2018-09-26,358
2018-09-27,376
2018-09-28,376
2018-09-29,376
2018-09-30,376
2018-10-02,368
2018-10-03,368
2018-10-04,368
2018-10-05,368
2018-10-06,368
2018-10-07,368
2018-10-08,364
2018-10-09,364
2018-10-10,364
2018-10-11,364
2018-10-12,354
2018-10-13,354
2018-10-14,354
2018-10-15,354
2018-10-16,341
2018-10-17,341
2018-10-18,341
2018-10-19,341
2018-10-20,327
2018-10-21,327
2018-10-22,327
2018-10-23,327
2018-10-24,317
2018-10-25,317
2018-10-26,317
2018-10-27,317
2018-10-28,309
2018-10-29,309
2018-10-30,309
2018-10-31,309
2018-11-01,312
2018-11-03,312
2018-11-04,317
2018-11-05,317
2018-11-06,329
2018-11-07,329
2018-11-08,329
2018-11-09,345
2018-11-10,345
2018-11-11,361
2018-11-12,361
2018-11-13,380
2018-11-14,380
2018-11-15,380
2018-11-16,391
2018-11-17,391
2018-11-18,391
2018-11-19,398
2018-11-20,398
2018-11-21,399
2018-11-22,399
2018-11-23,415
2018-11-24,415
2018-11-25,436
2018-11-26,436
2018-11-27,454
2018-11-28,454
2018-11-29,473
2018-12-01,495
2018-12-02,495
2018-12-03,501
2018-12-05,495
2018-12-07,495
2018-12-09,480
2018-12-11,474
2018-12-12,476
2018-12-13,476
2018-12-14,486
2018-12-15,486
2018-12-16,496
2018-12-17,496
2018-12-18,493
2018-12-19,493
2018-12-20,474
2018-12-21,474
2018-12-22,453
2018-12-23,437
2018-12-24,437
2018-12-25,420
2018-12-26,420
2018-12-27,415
2018-12-28,415
2018-12-29,417
2018-12-30,417
2018-12-31,410
2019-01-01,410
2019-01-02,402
2019-01-03,402
2019-01-04,404
2019-01-05,404
2019-01-06,410
2019-01-08,410
2019-01-10,418
2019-01-11,429
2019-01-12,429
2019-01-13,423
2019-01-14,423
2019-01-15,409
2019-01-16,409
2019-01-17,393
2019-01-18,393
2019-01-19,380
2019-01-20,380
2019-01-21,372
2019-01-22,372
2019-01-23,361
2019-01-24,361
2019-01-25,347
2019-01-26,347
2019-01-27,329
2019-01-28,329
2019-01-29,316
2019-01-30,316
2019-01-31,308
2019-02-01,308
2019-02-02,316
2019-02-03,316
2019-02-04,325
2019-02-05,325
2019-02-06,328
2019-02-07,328
2019-02-08,326
2019-02-09,326
2019-02-10,318
2019-02-11,318
2019-02-12,303
2019-02-13,295
2019-02-14,295
2019-02-15,295
2019-02-16,290
2019-02-17,290
2019-02-18,290
2019-02-19,286
2019-02-20,286
2019-02-21,284
2019-02-22,284
2019-02-23,284
2019-02-24,272
2019-02-25,272
2019-02-26,261
2019-02-27,261
2019-02-28,261
2019-03-01,261
2019-03-02,251
2019-03-03,251
2019-03-04,249
2019-03-05,249
2019-03-06,252
2019-03-07,252
2019-03-08,252
2019-03-09,248
2019-03-10,248
2019-03-11,241
2019-03-12,241
2019-03-13,241
2019-03-14,237
2019-03-15,237
2019-03-16,237
2019-03-17,235
2019-03-18,235
2019-03-19,235
2019-03-20,233
2019-03-21,233
2019-03-22,233
2019-03-23,241
2019-03-24,241
2019-03-25,241
2019-03-26,250
2019-03-27,250
2019-03-28,250
2019-03-29,254
2019-03-30,254
2019-03-31,254
2019-04-01,249
2019-04-02,249
2019-04-03,249
2019-04-04,240
2019-04-05,240
2019-04-06,240
2019-04-07,236
2019-04-08,236
2019-04-09,236
2019-04-10,230
2019-04-11,230
2019-04-12,230
2019-04-13,222
2019-04-14,222
2019-04-15,222
2019-04-16,211
2019-04-17,211
2019-04-18,211
2019-04-19,210
2019-04-20,210
2019-04-21,210
2019-04-22,202
2019-04-23,202
2019-04-24,202
2019-04-25,198
2019-04-26,198
2019-04-27,198
2019-04-28,189
2019-04-29,189
2019-04-30,189
2019-05-01,180
2019-05-02,180
2019-05-03,180
2019-05-04,180
2019-05-05,180
2019-05-06,180
2019-05-07,180
2019-05-08,176
2019-05-09,176
2019-05-10,176
2019-05-11,168
2019-05-12,168
2019-05-13,168
2019-05-14,160
2019-05-15,160
2019-05-16,160
2019-05-17,160
2019-05-18,161
2019-05-19,161
2019-05-20,161
2019-05-21,161
2019-05-22,159
2019-05-23,159
2019-05-24,159
2019-05-25,160
2019-05-26,160
2019-05-27,160
2019-05-28,163
2019-05-29,163
2019-05-30,163
2019-05-31,163
2019-06-01,163
2019-06-02,163
2019-06-03,163
2019-06-04,165
2019-06-05,165
2019-06-06,165
2019-06-07,166
2019-06-08,166
2019-06-09,166
2019-06-10,166
2019-06-11,175
2019-06-12,175
2019-06-13,175
2019-06-14,175
2019-06-15,178
2019-06-16,178
2019-06-17,178
2019-06-18,180
2019-06-19,180
2019-06-20,180
2019-06-21,176
2019-06-22,176
2019-06-23,176
2019-06-24,171
2019-06-25,171
2019-06-26,171
2019-06-27,166
2019-06-28,166
2019-06-29,166
2019-06-30,166
2019-07-01,166
2019-07-02,166
2019-07-03,166
2019-07-04,166
2019-07-05,164
2019-07-06,164
2019-07-07,164
2019-07-08,164
2019-07-09,161
2019-07-10,161
2019-07-11,161
2019-07-12,165
2019-07-13,165
2019-07-14,165
2019-07-15,165
2019-07-16,166
2019-07-17,166
2019-07-18,166
2019-07-19,161
2019-07-20,161
2019-07-21,161
2019-07-22,161
2019-07-23,162
2019-07-24,162
2019-07-25,162
2019-07-26,162
2019-07-27,166
2019-07-28,166
2019-07-29,166
2019-07-30,166
2019-07-31,171
2019-08-01,171
2019-08-02,171
2019-08-03,171
2019-08-04,171
2019-08-05,171
2019-08-06,171
2019-08-07,171
2019-08-08,167
2019-08-09,167
2019-08-10,167
2019-08-11,167
2019-08-12,160
2019-08-13,160
2019-08-14,160
2019-08-15,160
2019-08-16,152
2019-08-17,152
2019-08-18,152
2019-08-19,152
2019-08-20,149
2019-08-21,149
2019-08-22,149
2019-08-23,149
