date_obj,Adamant%20knife price
2018-10-23,377
2018-10-24,395
2018-10-25,384
2018-10-26,373
2018-10-27,373
2018-10-28,387
2018-10-29,398
2018-10-30,402
2018-10-31,408
2018-11-01,425
2018-11-03,433
2018-11-04,437
2018-11-05,430
2018-11-06,422
2018-11-07,427
2018-11-08,431
2018-11-09,428
2018-11-10,428
2018-11-11,429
2018-11-12,415
2018-11-13,397
2018-11-14,383
2018-11-15,378
2018-11-16,382
2018-11-17,399
2018-11-18,410
2018-11-19,428
2018-11-20,426
2018-11-21,410
2018-11-22,397
2018-11-23,402
2018-11-24,404
2018-11-25,398
2018-11-26,398
2018-11-27,405
2018-11-28,413
2018-11-29,412
2018-12-01,420
2018-12-02,425
2018-12-03,425
2018-12-04,421
2018-12-05,425
2018-12-07,409
2018-12-09,390
2018-12-10,391
2018-12-11,399
2018-12-12,399
2018-12-13,394
2018-12-14,392
2018-12-15,377
2018-12-16,376
2018-12-17,371
2018-12-18,378
2018-12-19,388
2018-12-20,398
2018-12-21,397
2018-12-22,392
2018-12-23,399
2018-12-24,411
2018-12-25,404
2018-12-26,398
2018-12-27,397
2018-12-28,394
2018-12-29,396
2018-12-30,400
2018-12-31,400
2019-01-01,404
2019-01-02,411
2019-01-03,411
2019-01-04,412
2019-01-05,406
2019-01-06,405
2019-01-08,399
2019-01-10,390
2019-01-11,392
2019-01-12,388
2019-01-13,382
2019-01-14,368
2019-01-15,366
2019-01-16,360
2019-01-17,342
2019-01-18,340
2019-01-19,346
2019-01-20,355
2019-01-21,369
2019-01-22,367
2019-01-23,353
2019-01-24,343
2019-01-25,355
2019-01-26,351
2019-01-27,358
2019-01-28,372
2019-01-29,389
2019-01-30,382
2019-01-31,374
2019-02-01,385
2019-02-02,391
2019-02-03,387
2019-02-04,369
2019-02-05,360
2019-02-06,361
2019-02-07,350
2019-02-08,351
2019-02-09,354
2019-02-10,357
2019-02-11,354
2019-02-12,356
2019-02-13,361
2019-02-14,361
2019-02-15,364
2019-02-16,367
2019-02-17,378
2019-02-18,385
2019-02-19,396
2019-02-20,405
2019-02-21,417
2019-02-22,420
2019-02-23,407
2019-02-24,391
2019-02-25,377
2019-02-26,368
2019-02-27,355
2019-02-28,341
2019-03-01,342
2019-03-02,349
2019-03-03,356
2019-03-04,363
2019-03-05,378
2019-03-06,370
2019-03-07,370
2019-03-08,368
2019-03-09,370
2019-03-10,375
2019-03-11,377
2019-03-12,382
2019-03-13,387
2019-03-14,387
2019-03-15,395
2019-03-16,398
2019-03-17,398
2019-03-18,401
2019-03-19,407
2019-03-20,404
2019-03-21,402
2019-03-22,409
2019-03-23,408
2019-03-24,404
2019-03-25,408
2019-03-26,405
2019-03-27,404
2019-03-28,406
2019-03-29,398
2019-03-30,388
2019-03-31,402
2019-04-01,404
2019-04-02,399
2019-04-03,400
2019-04-04,393
2019-04-05,393
2019-04-06,392
2019-04-07,393
2019-04-08,383
2019-04-09,394
2019-04-10,387
2019-04-11,378
2019-04-12,377
2019-04-13,381
2019-04-14,382
2019-04-15,391
2019-04-16,399
2019-04-17,397
2019-04-18,395
2019-04-19,388
2019-04-20,393
2019-04-21,399
2019-04-22,409
2019-04-23,405
2019-04-24,395
2019-04-25,398
2019-04-26,395
2019-04-27,415
2019-04-28,416
2019-04-29,412
2019-04-30,416
2019-05-01,423
2019-05-02,420
2019-05-03,411
2019-05-04,414
2019-05-05,403
2019-05-06,400
2019-05-07,396
2019-05-08,392
2019-05-09,393
2019-05-10,392
2019-05-11,393
2019-05-12,389
2019-05-13,390
2019-05-14,387
2019-05-15,382
2019-05-16,389
2019-05-17,395
2019-05-18,396
2019-05-19,403
2019-05-20,403
2019-05-21,406
2019-05-22,403
2019-05-23,403
2019-05-24,407
2019-05-25,404
2019-05-26,408
2019-05-27,408
2019-05-28,409
2019-05-29,399
2019-05-30,401
2019-05-31,407
2019-06-01,403
2019-06-02,408
2019-06-03,406
2019-06-04,407
2019-06-05,402
2019-06-06,405
2019-06-07,407
2019-06-08,406
2019-06-09,406
2019-06-10,410
2019-06-11,408
2019-06-12,409
2019-06-13,416
2019-06-14,414
2019-06-15,413
2019-06-16,412
2019-06-17,408
2019-06-18,415
2019-06-19,409
2019-06-20,405
2019-06-21,384
2019-06-22,367
2019-06-23,376
2019-06-24,377
2019-06-25,370
2019-06-26,369
2019-06-27,368
2019-06-28,370
2019-06-29,369
2019-06-30,367
2019-07-01,373
2019-07-02,379
2019-07-03,373
2019-07-04,385
2019-07-05,390
2019-07-06,391
2019-07-07,390
2019-07-08,392
2019-07-09,386
2019-07-10,395
2019-07-11,398
2019-07-12,396
2019-07-13,404
2019-07-14,417
2019-07-15,408
2019-07-16,407
2019-07-17,399
2019-07-18,389
2019-07-19,392
2019-07-20,379
2019-07-21,364
2019-07-22,353
2019-07-23,355
2019-07-24,354
2019-07-25,348
2019-07-26,345
2019-07-27,340
2019-07-28,343
2019-07-29,345
2019-07-30,337
2019-07-31,330
2019-08-01,333
2019-08-02,332
2019-08-03,333
2019-08-04,330
2019-08-05,324
2019-08-06,333
2019-08-07,345
2019-08-08,347
2019-08-09,357
2019-08-10,352
2019-08-11,362
2019-08-12,373
2019-08-13,389
