date_obj,Gilded%20magic%20wardrobe%20(flatpack) price
2018-02-28,1000
2018-03-01,1000
2018-03-02,1000
2018-03-03,1000
2018-03-04,1000
2018-03-05,1000
2018-03-06,1000
2018-03-07,1000
2018-03-08,1000
2018-03-09,1000
2018-03-10,1000
2018-03-11,1000
2018-03-12,1000
2018-03-13,1000
2018-03-14,1000
2018-03-15,1000
2018-03-16,1000
2018-03-17,1000
2018-03-18,1000
2018-03-20,1000
2018-03-21,1000
2018-03-23,1000
2018-03-24,1000
2018-03-25,1000
2018-03-26,1000
2018-03-27,1000
2018-03-28,1045
2018-03-29,1045
2018-03-30,1045
2018-03-31,1045
2018-04-01,1045
2018-04-02,1045
2018-04-03,1045
2018-04-04,1045
2018-04-05,1045
2018-04-06,1045
2018-04-07,1045
2018-04-08,1045
2018-04-09,1045
2018-04-10,1045
2018-04-11,1045
2018-04-12,1045
2018-04-13,1045
2018-04-14,1045
2018-04-15,1045
2018-04-16,1045
2018-04-17,1045
2018-04-18,1045
2018-04-19,1045
2018-04-20,1045
2018-04-21,1045
2018-04-22,1045
2018-04-23,1045
2018-04-24,1045
2018-04-25,1045
2018-04-26,1045
2018-04-27,1045
2018-04-28,1045
2018-04-29,1045
2018-04-30,1045
2018-05-01,1045
2018-05-02,1045
2018-05-03,1045
2018-05-04,1045
2018-05-05,1045
2018-05-06,1045
2018-05-07,1045
2018-05-08,1045
2018-05-09,1075
2018-05-10,1075
2018-05-11,1075
2018-05-12,1075
2018-05-13,1075
2018-05-14,1075
2018-05-15,1075
2018-05-16,1075
2018-05-17,1075
2018-05-18,1075
2018-05-19,1075
2018-05-20,1075
2018-05-21,1075
2018-05-22,1075
2018-05-23,1075
2018-05-24,1075
2018-05-25,1075
2018-05-26,1075
2018-05-27,1075
2018-05-28,1075
2018-05-29,1075
2018-05-30,1075
2018-05-31,1075
2018-06-01,1075
2018-06-02,1075
2018-06-03,1075
2018-06-04,1075
2018-06-05,1075
2018-06-06,1075
2018-06-07,1075
2018-06-08,1075
2018-06-09,1075
2018-06-10,1075
2018-06-11,1075
2018-06-12,1075
2018-06-13,1075
2018-06-14,1075
2018-06-15,1075
2018-06-16,1075
2018-06-17,1075
2018-06-18,1075
