date_obj,Raw%20swordfish price
2019-03-26,297
2019-03-27,310
2019-03-28,305
2019-03-29,295
2019-03-30,293
2019-03-31,288
2019-04-01,276
2019-04-02,266
2019-04-03,259
2019-04-04,259
2019-04-05,255
2019-04-06,250
2019-04-07,241
2019-04-08,229
2019-04-09,226
2019-04-10,229
2019-04-11,238
2019-04-12,245
2019-04-13,246
2019-04-14,242
2019-04-15,231
2019-04-16,222
2019-04-17,210
2019-04-18,200
2019-04-19,192
2019-04-20,184
2019-04-21,179
2019-04-22,173
2019-04-23,178
2019-04-24,184
2019-04-25,183
2019-04-26,175
2019-04-27,168
2019-04-28,164
2019-04-29,160
2019-04-30,154
2019-05-01,151
2019-05-02,152
2019-05-03,160
2019-05-04,168
2019-05-05,177
2019-05-06,186
2019-05-07,195
2019-05-08,188
2019-05-09,184
2019-05-10,190
2019-05-11,192
2019-05-12,194
2019-05-13,197
2019-05-14,199
2019-05-15,201
2019-05-16,207
2019-05-17,217
2019-05-18,217
2019-05-19,208
2019-05-20,202
2019-05-21,202
2019-05-22,201
2019-05-23,208
2019-05-24,211
2019-05-25,214
2019-05-26,215
2019-05-27,206
2019-05-28,204
2019-05-29,204
2019-05-30,208
2019-05-31,208
2019-06-01,202
2019-06-02,195
2019-06-03,193
2019-06-04,198
2019-06-05,203
2019-06-06,208
2019-06-07,218
2019-06-08,216
2019-06-09,214
2019-06-10,215
2019-06-11,217
2019-06-12,222
2019-06-13,227
2019-06-14,230
2019-06-15,235
2019-06-16,239
2019-06-17,235
2019-06-18,236
2019-06-19,236
2019-06-20,235
2019-06-21,235
2019-06-22,238
2019-06-23,237
2019-06-24,237
2019-06-25,238
2019-06-26,235
2019-06-27,239
2019-06-28,242
2019-06-29,243
2019-06-30,237
2019-07-01,227
2019-07-02,218
2019-07-03,218
2019-07-04,225
2019-07-05,232
2019-07-06,236
2019-07-07,229
2019-07-08,218
2019-07-09,217
2019-07-10,220
2019-07-11,221
2019-07-12,224
2019-07-13,227
2019-07-14,223
2019-07-15,220
2019-07-16,222
2019-07-17,221
2019-07-18,226
2019-07-19,227
2019-07-20,227
2019-07-21,225
2019-07-22,222
2019-07-23,224
2019-07-24,227
2019-07-25,226
2019-07-26,230
2019-07-27,230
2019-07-28,229
2019-07-29,228
2019-07-30,230
2019-07-31,232
2019-08-01,232
2019-08-02,235
2019-08-03,232
2019-08-04,225
2019-08-05,226
2019-08-06,227
2019-08-07,227
2019-08-08,224
2019-08-09,224
2019-08-10,221
2019-08-11,219
2019-08-12,219
2019-08-13,218
2019-08-14,219
2019-08-15,221
2019-08-16,222
2019-08-17,222
2019-08-18,221
2019-08-19,224
2019-08-20,227
2019-08-21,226
2019-08-22,226
2019-08-23,231
2019-08-24,222
2019-08-24,222
2019-08-25,218
2019-08-25,218
2019-08-26,212
2019-08-26,212
2019-08-27,213
2019-08-27,213
2019-08-28,219
2019-08-29,223
2019-08-30,221
2019-08-31,221
