date_obj,Heavy%20ballista price
2019-12-30,601200
2019-12-31,599237
2020-01-01,594359
2020-01-02,595076
2020-01-03,591050
2020-01-04,593707
2020-01-05,597635
2020-01-06,594320
2020-01-07,593892
2020-01-08,590968
2020-01-09,592148
2020-01-10,597464
2020-01-11,595560
2020-01-12,593607
2020-01-13,601221
2020-01-14,593684
2020-01-15,596356
2020-01-16,593877
2020-01-17,588060
2020-01-18,586374
2020-01-19,583036
2020-01-20,576876
2020-01-21,574108
2020-01-22,581591
2020-01-23,582656
2020-01-24,582262
2020-01-25,582541
2020-01-26,585225
2020-01-27,580371
2020-01-28,582844
2020-01-29,588150
2020-01-30,583024
2020-01-31,583657
2020-02-01,591833
2020-02-02,587559
2020-02-03,584453
2020-02-04,581699
2020-02-05,579813
2020-02-06,575419
2020-02-07,577484
2020-02-08,577677
2020-02-09,573157
2020-02-10,576276
2020-02-11,583251
2020-02-12,582210
2020-02-13,584735
2020-02-14,585216
2020-02-15,586235
2020-02-16,584333
2020-02-17,583683
2020-02-18,584304
2020-02-19,581462
2020-02-20,578061
2020-02-21,580842
2020-02-22,582131
2020-02-23,580290
2020-02-24,580188
2020-02-25,582793
2020-02-26,582923
2020-02-27,583778
2020-02-28,583597
2020-02-29,586886
2020-03-01,584243
2020-03-02,583256
2020-03-03,581953
2020-03-04,580404
2020-03-05,583390
2020-03-06,584615
2020-03-07,583205
2020-03-08,584332
2020-03-09,583383
2020-03-10,582088
2020-03-11,582423
2020-03-12,582808
2020-03-13,586279
2020-03-14,583919
2020-03-15,582897
2020-03-16,583421
2020-03-17,580667
2020-03-18,583276
2020-03-19,583354
2020-03-20,584768
2020-03-21,583810
2020-03-22,582706
2020-03-23,584229
2020-03-24,580934
