date_obj,Yellow%20hat price
2017-09-17,1131
2017-09-18,1131
2017-09-19,1131
2017-09-20,1131
2017-09-21,1131
2017-09-22,1131
2017-09-23,1131
2017-09-24,1131
2017-09-25,1148
2017-09-26,1148
2017-09-27,1148
2017-09-28,1148
2017-09-29,1148
2017-09-30,1148
2017-10-01,1148
2017-10-02,1189
2017-10-03,1189
2017-10-04,1189
2017-10-05,1189
2017-10-06,1189
2017-10-07,1189
2017-10-08,1189
2017-10-09,1189
2017-10-10,1145
2017-10-11,1145
2017-10-12,1145
2017-10-13,1145
2017-10-14,1145
2017-10-15,1145
2017-10-16,1145
2017-10-17,1148
2017-10-18,1148
2017-10-19,1148
2017-10-20,1148
2017-10-21,1148
2017-10-22,1148
2017-10-23,1122
2017-10-24,1122
2017-10-25,1122
2017-10-26,1122
2017-10-27,1122
2017-10-28,1122
2017-10-29,1122
2017-10-30,1078
2017-10-31,1078
2017-11-01,1078
2017-11-02,1078
2017-11-03,1078
2017-11-04,1078
2017-11-05,1078
2017-11-06,1074
2017-11-07,1074
2017-11-08,1074
2017-11-09,1074
2017-11-10,1074
2017-11-11,1074
2017-11-12,1074
2017-11-13,1057
2017-11-14,1057
2017-11-15,1057
2017-11-16,1057
2017-11-17,1057
2017-11-18,1057
2017-11-19,1057
2017-11-20,1062
2017-11-21,1062
2017-11-22,1062
2017-11-23,1062
2017-11-24,1062
2017-11-25,1062
2017-11-26,1074
2017-11-27,1074
2017-11-28,1074
2017-11-29,1074
2017-11-30,1074
2017-12-01,1074
2017-12-02,1074
2017-12-03,1077
2017-12-04,1077
2017-12-05,1077
2017-12-06,1077
2017-12-07,1077
2017-12-08,1077
2017-12-09,1077
2017-12-10,1088
2017-12-11,1088
2017-12-12,1088
2017-12-13,1088
2017-12-14,1088
2017-12-15,1088
2017-12-16,1088
2017-12-17,1071
2017-12-18,1071
2017-12-19,1071
2017-12-20,1071
2017-12-21,1071
2017-12-22,1071
2017-12-23,1071
2017-12-24,1027
2017-12-25,1027
2017-12-26,1027
2017-12-27,1027
2017-12-28,1027
2017-12-29,1027
2017-12-30,1027
2017-12-31,1021
2018-01-01,1021
2018-01-02,1021
2018-01-03,1021
2018-01-04,1021
2018-01-05,1021
2018-01-06,1011
2018-01-07,1011
2018-01-08,1011
2018-01-09,1011
2018-01-10,1011
2018-01-11,1011
2018-01-12,1011
2018-01-13,1013
2018-01-14,1013
2018-01-15,1013
2018-01-16,1013
2018-01-17,1013
2018-01-18,1034
2018-01-19,1034
2018-01-20,1034
2018-01-21,1034
2018-01-22,1034
2018-01-23,1034
2018-01-24,1022
2018-01-25,1022
2018-01-26,1022
2018-01-27,1022
2018-01-28,993
2018-01-29,993
2018-01-30,993
2018-02-01,993
2018-02-02,981
2018-02-03,981
2018-02-04,981
2018-02-05,981
2018-02-06,1010
2018-02-07,1010
2018-02-08,1010
2018-02-09,1042
2018-02-10,1042
2018-02-11,1042
2018-02-12,1071
2018-02-13,1071
2018-02-14,1071
2018-02-15,1070
2018-02-16,1070
2018-02-17,1070
2018-02-18,1088
2018-02-19,1088
2018-02-20,1100
2018-02-21,1100
2018-02-22,1100
2018-02-23,1092
2018-02-24,1092
2018-02-25,1092
2018-02-26,1068
2018-02-27,1068
2018-02-28,1068
2018-03-01,1068
2018-03-02,1075
2018-03-03,1075
2018-03-04,1075
2018-03-05,1062
2018-03-06,1062
2018-03-07,1062
2018-03-08,1062
2018-03-09,1062
2018-03-10,1062
2018-03-11,1029
2018-03-12,1029
2018-03-13,1029
2018-03-14,1012
2018-03-15,1012
2018-03-16,1012
2018-03-17,1013
2018-03-18,1013
2018-03-20,1013
2018-03-21,1011
2018-03-23,1011
2018-03-24,1003
2018-03-26,1003
2018-03-27,1006
2018-03-28,1006
2018-03-29,1006
2018-03-30,1029
2018-03-31,1029
2018-04-01,1029
2018-04-02,1043
2018-04-03,1043
2018-04-04,1089
2018-04-05,1089
2018-04-06,1093
2018-04-08,1093
2018-04-09,1128
2018-04-10,1128
2018-04-11,1128
2018-04-12,1116
2018-04-13,1116
2018-04-14,1116
2018-04-16,1152
2018-04-17,1175
2018-04-18,1175
2018-04-19,1175
2018-04-20,1189
2018-04-21,1189
2018-04-22,1238
2018-04-23,1238
2018-04-24,1300
2018-04-25,1300
2018-04-26,1342
2018-04-27,1342
2018-04-28,1363
2018-04-29,1363
2018-04-30,1407
2018-05-02,1439
2018-05-03,1439
2018-05-04,1439
2018-05-05,1436
2018-05-06,1436
2018-05-07,1436
2018-05-08,1451
2018-05-09,1451
2018-05-10,1456
2018-05-11,1456
2018-05-12,1438
2018-05-13,1438
