date_obj,Flattened%20hide price
2017-11-14,16986
2017-11-15,16986
2017-11-16,16986
2017-11-17,16986
2017-11-18,16986
2017-11-19,16986
2017-11-20,16986
2017-11-21,16986
2017-11-22,16986
2017-11-23,16986
2017-11-24,16986
2017-11-25,16986
2017-11-26,16986
2017-11-27,16986
2017-11-28,16986
2017-11-29,16986
2017-11-30,16986
2017-12-01,16986
2017-12-02,16986
2017-12-03,16986
2017-12-04,16986
2017-12-05,16986
2017-12-06,16986
2017-12-07,16986
2017-12-08,16986
2017-12-09,16986
2017-12-10,16986
2017-12-11,16986
2017-12-12,16986
2017-12-13,16986
2017-12-14,16986
2017-12-15,16986
2017-12-16,16986
2017-12-17,16986
2017-12-18,16986
2017-12-19,16986
2017-12-20,16986
2017-12-21,16986
2017-12-22,16986
2017-12-23,16986
2017-12-24,16986
2017-12-25,16986
2017-12-26,16986
2017-12-27,16986
2017-12-28,16986
2017-12-29,16986
2017-12-30,16986
2017-12-31,16986
2018-01-01,16986
2018-01-02,16986
2018-01-03,16986
2018-01-04,16986
2018-01-05,16986
2018-01-06,16986
2018-01-07,16986
2018-01-08,16986
2018-01-09,16986
2018-01-10,16986
2018-01-11,16986
2018-01-12,16986
2018-01-13,16986
2018-01-14,16986
2018-01-15,16986
2018-01-16,16986
2018-01-17,16986
2018-01-18,16986
2018-01-19,16986
2018-01-20,16986
2018-01-21,16986
2018-01-22,16986
2018-01-23,16986
2018-01-24,16136
2018-01-25,16136
2018-01-26,16136
2018-01-27,16136
2018-01-28,16136
2018-01-29,16136
2018-01-30,16136
2018-01-31,16136
2018-02-01,16136
2018-02-02,16136
2018-02-03,16136
2018-02-04,16136
2018-02-05,16136
2018-02-06,16136
2018-02-07,16136
2018-02-08,16136
2018-02-09,16136
2018-02-10,16136
2018-02-11,16136
2018-02-12,16136
2018-02-13,16136
2018-02-14,16136
2018-02-15,16136
2018-02-16,16136
2018-02-17,16136
2018-02-18,16136
2018-02-19,16136
2018-02-20,16136
2018-02-21,16136
2018-02-22,16136
2018-02-23,16136
2018-02-24,16136
2018-02-25,16136
2018-02-26,16136
2018-02-27,16136
2018-02-28,16136
2018-03-01,16136
2018-03-02,16136
2018-03-03,16136
2018-03-04,16136
2018-03-05,16136
2018-03-06,16136
2018-03-07,16136
2018-03-08,16136
2018-03-09,16136
2018-03-10,16136
2018-03-11,16136
2018-03-12,16136
2018-03-13,16136
2018-03-14,16136
2018-03-15,16136
2018-03-16,16136
2018-03-17,16136
2018-03-18,16136
2018-03-20,16136
2018-03-21,16136
2018-03-23,16136
2018-03-24,16136
2018-03-25,16136
2018-03-26,16136
2018-03-27,16136
2018-03-28,16136
2018-03-29,16136
2018-03-30,16136
2018-03-31,16136
2018-04-01,16136
2018-04-02,16136
2018-04-03,16136
2018-04-04,16136
2018-04-05,16136
2018-04-06,16136
2018-04-07,16136
2018-04-08,16136
2018-04-09,16136
2018-04-10,16136
2018-04-11,16136
2018-04-12,16136
2018-04-13,16136
2018-04-14,16136
2018-04-15,16136
2018-04-16,16136
2018-04-17,16136
2018-04-18,16136
2018-04-19,16136
2018-04-20,16136
2018-04-21,16136
2018-04-22,16136
2018-04-23,16136
2018-04-24,16136
2018-04-25,16136
2018-04-26,16136
2018-04-27,16136
2018-04-28,16136
2018-04-29,15399
2018-04-30,15399
2018-05-01,15399
2018-05-02,15399
2018-05-03,15399
2018-05-04,15399
2018-05-05,15399
2018-05-06,15399
2018-05-07,15399
2018-05-08,15399
2018-05-09,15399
2018-05-10,15399
2018-05-11,15399
2018-05-12,15399
2018-05-13,15399
2018-05-14,15399
2018-05-15,15399
2018-05-16,15399
2018-05-17,15399
2018-05-18,15399
2018-05-19,15399
2018-05-20,15399
2018-05-21,15399
2018-05-22,15399
2018-05-23,15399
2018-05-24,15399
2018-05-25,15399
2018-05-26,15399
2018-05-27,15399
2018-05-28,15399
2018-05-29,15399
2018-05-30,15399
2018-05-31,15399
2018-06-01,15399
2018-06-02,15399
2018-06-03,15399
2018-06-04,15399
2018-06-05,15399
2018-06-06,15399
2018-06-07,15399
2018-06-08,15399
2018-06-09,15399
2018-06-10,15399
2018-06-11,15399
2018-06-12,15399
2018-06-13,15399
2018-06-14,15399
2018-06-15,15399
2018-06-16,15399
2018-06-17,15399
2018-06-18,15399
2018-06-19,15399
2018-06-20,15399
2018-06-21,15399
2018-06-22,15399
2018-06-23,15399
2018-06-24,15399
2018-06-25,15399
2018-06-26,15399
2018-06-27,15399
2018-06-28,15399
2018-06-29,15399
2018-06-30,15399
2018-07-01,15399
2018-07-02,15399
2018-07-03,15399
2018-07-04,15399
2018-07-05,15399
2018-07-06,15399
2018-07-07,15399
2018-07-08,15399
2018-07-09,15399
2018-07-10,15399
2018-07-11,14648
2018-07-12,14648
2018-07-13,14648
2018-07-14,14648
2018-07-15,14648
2018-07-16,14648
2018-07-17,14648
2018-07-18,14648
2018-07-19,14648
2018-07-20,14648
2018-07-21,14648
2018-07-22,14648
2018-07-23,14648
2018-07-24,14648
2018-07-25,14648
2018-07-26,14648
2018-07-27,14648
2018-07-28,14648
2018-07-29,14648
2018-07-30,14648
2018-07-31,14648
2018-08-01,14648
2018-08-02,14648
2018-08-03,14648
2018-08-04,14648
2018-08-05,14648
2018-08-06,14648
2018-08-07,14648
2018-08-08,14648
2018-08-09,14648
2018-08-10,14648
2018-08-11,14648
2018-08-12,14648
2018-08-14,14648
2018-08-16,14648
2018-08-17,14648
2018-08-18,14648
2018-08-19,14648
2018-08-20,14648
2018-08-21,14648
2018-08-22,14648
2018-08-23,14648
2018-08-24,14648
2018-08-25,14648
2018-08-26,14648
2018-08-27,14648
2018-08-28,14648
2018-08-29,14648
2018-08-30,14648
2018-08-31,14648
2018-09-01,13958
2018-09-02,13958
2018-09-03,13958
2018-09-04,13958
2018-09-05,13958
2018-09-06,13958
2018-09-07,13958
2018-09-08,13958
2018-09-09,13958
2018-09-10,13958
2018-09-11,13958
2018-09-12,13958
2018-09-13,13958
2018-09-14,13958
2018-09-15,13958
2018-09-16,13958
2018-09-17,13958
2018-09-18,13958
2018-09-19,13958
2018-09-20,13958
2018-09-21,13958
2018-09-22,13958
2018-09-23,13958
2018-09-24,13958
2018-09-25,13958
2018-09-26,13958
2018-09-27,13958
2018-09-28,13958
2018-09-29,13301
2018-09-30,13301
2018-10-01,13301
2018-10-02,13301
2018-10-03,13301
2018-10-04,13301
2018-10-05,13301
2018-10-06,13301
2018-10-07,13301
2018-10-08,13301
2018-10-09,13301
2018-10-10,13301
2018-10-11,13301
2018-10-12,13301
2018-10-13,13301
2018-10-14,13301
2018-10-15,13301
2018-10-16,13301
2018-10-17,13301
2018-10-18,13301
2018-10-19,13301
2018-10-20,13301
2018-10-21,13301
2018-10-22,13301
2018-10-23,13301
2018-10-24,13301
2018-10-25,13301
2018-10-26,13301
2018-10-27,13301
2018-10-28,13301
2018-10-29,13301
2018-10-30,13301
2018-10-31,13301
2018-11-01,13301
2018-11-03,12751
2018-11-04,12751
2018-11-05,12751
2018-11-06,12751
2018-11-07,12751
2018-11-08,12751
2018-11-09,12751
2018-11-10,12751
2018-11-11,12751
2018-11-12,12751
2018-11-13,12751
2018-11-14,12751
2018-11-15,12751
2018-11-16,12751
2018-11-17,12751
2018-11-18,12751
2018-11-19,12751
2018-11-20,12751
2018-11-21,12751
2018-11-22,12751
2018-11-23,12751
2018-11-24,12751
2018-11-25,12751
2018-11-26,12751
2018-11-27,12751
2018-11-28,12751
2018-11-29,12751
2018-12-01,12751
2018-12-02,12751
2018-12-03,12751
2018-12-04,12751
2018-12-05,12751
2018-12-07,12751
2018-12-09,12139
2018-12-10,12139
2018-12-11,12139
2018-12-12,12139
2018-12-13,12139
2018-12-14,12139
2018-12-15,12139
2018-12-16,12139
2018-12-17,12139
2018-12-18,12139
2018-12-19,12139
2018-12-20,12139
2018-12-21,12139
2018-12-22,12139
2018-12-23,12139
2018-12-24,12139
2018-12-25,12139
2018-12-26,12139
2018-12-27,12139
2018-12-28,12139
2018-12-29,12139
2018-12-30,11569
2018-12-31,11569
2019-01-01,11569
2019-01-02,11569
2019-01-03,11569
2019-01-04,11569
2019-01-05,11569
2019-01-06,11569
2019-01-08,11569
2019-01-10,11030
2019-01-11,11030
2019-01-12,11030
2019-01-13,10529
2019-01-14,10529
2019-01-15,10529
2019-01-16,10031
2019-01-17,10031
2019-01-18,10031
2019-01-19,10031
2019-01-20,10031
2019-01-21,9538
2019-01-22,9538
2019-01-23,9538
2019-01-24,9538
2019-01-25,9538
2019-01-26,9538
2019-01-27,9089
2019-01-29,9089
2019-01-30,9089
2019-01-31,9089
2019-02-01,9089
2019-02-02,8659
2019-02-03,8659
2019-02-04,8659
2019-02-05,8659
2019-02-06,8659
2019-02-07,8659
2019-02-08,8259
2019-02-09,8259
2019-02-10,8259
2019-02-11,8259
2019-02-12,8259
2019-02-13,7849
2019-02-14,7849
2019-02-15,7849
2019-02-16,7849
2019-02-17,7849
2019-02-18,7849
2019-02-19,7849
2019-02-20,7849
2019-02-21,7849
2019-02-22,7467
2019-02-23,7467
2019-02-24,7467
2019-02-25,7467
2019-02-26,7467
2019-02-27,7467
2019-02-28,7467
2019-03-01,7467
2019-03-02,7467
2019-03-03,7467
2019-03-04,7467
2019-03-05,7467
2019-03-06,7467
2019-03-07,7467
2019-03-08,7123
2019-03-09,7123
