date_obj,Tribal%20top%20(yellow) price
2018-04-06,4032
2018-04-08,4032
2018-04-09,4032
2018-04-10,4032
2018-04-11,4032
2018-04-12,4032
2018-04-13,4032
2018-04-14,4032
2018-04-16,3907
2018-04-17,3907
2018-04-18,3907
2018-04-19,3907
2018-04-20,3907
2018-04-21,3907
2018-04-22,3907
2018-04-23,3907
2018-04-24,3907
2018-04-25,3907
2018-04-26,3907
2018-04-27,3907
2018-04-28,3907
2018-04-29,4050
2018-04-30,4050
2018-05-01,4050
2018-05-02,4050
2018-05-03,4050
2018-05-04,4050
2018-05-05,4050
2018-05-06,4050
2018-05-07,4050
2018-05-08,4050
2018-05-09,4050
2018-05-10,4050
2018-05-11,4050
2018-05-12,4024
2018-05-13,4024
2018-05-14,4024
2018-05-15,4024
2018-05-16,4024
2018-05-17,4024
2018-05-18,4024
2018-05-19,4024
2018-05-20,4024
2018-05-21,4024
2018-05-22,4024
2018-05-23,4101
2018-05-24,4101
2018-05-25,4101
2018-05-26,4101
2018-05-27,4101
2018-05-28,4101
2018-05-29,4101
2018-05-30,4101
2018-05-31,4101
2018-06-01,4101
2018-06-02,3970
2018-06-03,3970
2018-06-04,3970
2018-06-05,3970
2018-06-06,3970
2018-06-07,3970
2018-06-08,3970
2018-06-09,3970
2018-06-10,3970
2018-06-11,3970
2018-06-12,4002
2018-06-13,4002
2018-06-14,4002
2018-06-15,4002
2018-06-16,4002
2018-06-17,4002
2018-06-18,4002
2018-06-19,4002
2018-06-20,4002
2018-06-21,3823
2018-06-22,3823
2018-06-23,3823
2018-06-24,3823
2018-06-25,3823
2018-06-26,3823
2018-06-27,3823
2018-06-28,3823
2018-06-29,3757
2018-06-30,3757
2018-07-01,3757
2018-07-02,3757
2018-07-03,3757
2018-07-04,3757
2018-07-05,3757
2018-07-06,3757
2018-07-07,3757
2018-07-08,3757
2018-07-09,3629
2018-07-10,3629
2018-07-11,3629
2018-07-12,3629
2018-07-13,3629
2018-07-14,3629
2018-07-15,3629
2018-07-16,3629
2018-07-17,3629
2018-07-18,3629
2018-07-19,3629
2018-07-20,3629
2018-07-21,3629
2018-07-22,3743
2018-07-23,3743
2018-07-24,3743
2018-07-25,3743
2018-07-26,3743
2018-07-27,3743
2018-07-28,3743
2018-07-29,3743
2018-07-30,3743
2018-07-31,3810
2018-08-01,3810
