date_obj,Bandos%20d'hide%20boots price
2019-10-02,712293
2019-10-03,706365
2019-10-04,707789
2019-10-05,711731
2019-10-06,726331
2019-10-07,720203
2019-10-08,712152
2019-10-09,709525
2019-10-10,706148
2019-10-11,706435
2019-10-12,692057
2019-10-13,699552
2019-10-14,699312
2019-10-15,703871
2019-10-16,708704
2019-10-17,704166
2019-10-18,707043
2019-10-19,704335
2019-10-20,693233
2019-10-21,693677
2019-10-22,693858
2019-10-23,685509
2019-10-24,672826
2019-10-25,672535
2019-10-26,688751
2019-10-27,680663
2019-10-28,667260
2019-10-29,662408
2019-10-30,654876
2019-10-31,640483
2019-11-01,650514
2019-11-02,651245
2019-11-03,644232
2019-11-04,640277
2019-11-05,635332
2019-11-06,630475
2019-11-07,640611
2019-11-08,653310
2019-11-09,644593
2019-11-10,635759
2019-11-11,626335
2019-11-12,617925
2019-11-13,615632
2019-11-14,616570
2019-11-15,612130
2019-11-16,619441
2019-11-17,621163
2019-11-18,614390
2019-11-19,613404
2019-11-20,611250
2019-11-21,617055
2019-11-22,620342
2019-11-23,618105
2019-11-24,641500
2019-11-25,653348
2019-11-26,651132
2019-11-27,665792
2019-11-28,686756
2019-11-29,717119
2019-11-30,746162
2019-12-01,755736
2019-12-02,746758
2019-12-03,738464
2019-12-04,728650
2019-12-05,727726
2019-12-06,723771
2019-12-07,728354
2019-12-08,724358
2019-12-09,725149
2019-12-10,712426
2019-12-11,701375
2019-12-12,689057
2019-12-13,693310
2019-12-14,700700
2019-12-15,690125
2019-12-16,687702
2019-12-17,685851
2019-12-18,686807
2019-12-19,679768
2019-12-20,677123
2019-12-21,674693
2019-12-22,660313
2019-12-23,647425
2019-12-24,642284
2019-12-25,643816
2019-12-26,654709
2019-12-27,657196
2019-12-28,673545
2019-12-29,668998
2019-12-30,683192
2019-12-31,677570
2020-01-01,672888
2020-01-02,669471
2020-01-03,669331
2020-01-04,688296
2020-01-05,714343
2020-01-06,712549
2020-01-07,727982
2020-01-08,726350
2020-01-09,734975
2020-01-10,728809
2020-01-11,728079
2020-01-12,726426
2020-01-13,730000
2020-01-14,731330
2020-01-15,735420
2020-01-16,752538
2020-01-17,761567
2020-01-18,776358
2020-01-19,802285
2020-01-20,827671
2020-01-21,828437
2020-01-22,818351
2020-01-23,817034
2020-01-24,824205
2020-01-25,823803
2020-01-26,811610
2020-01-27,802843
2020-01-28,799774
2020-01-29,796942
2020-01-30,800181
2020-01-31,801336
2020-02-01,806707
2020-02-02,807806
2020-02-03,795219
2020-02-04,803825
2020-02-05,803374
2020-02-06,775543
2020-02-07,745351
2020-02-08,721952
2020-02-09,717002
2020-02-10,724006
2020-02-11,716478
2020-02-12,705635
2020-02-13,706987
2020-02-14,705374
2020-02-15,706467
2020-02-16,699278
2020-02-17,697363
2020-02-18,694202
2020-02-19,691063
2020-02-20,700785
2020-02-21,704634
2020-02-22,694648
2020-02-23,702283
2020-02-24,723115
2020-02-25,747414
2020-02-26,739226
2020-02-27,737800
2020-02-28,740345
2020-02-29,762712
2020-03-01,768385
2020-03-02,784101
2020-03-03,790764
2020-03-04,804814
2020-03-05,799800
2020-03-06,805511
2020-03-07,838911
2020-03-08,858149
2020-03-09,866231
2020-03-10,848853
2020-03-11,832132
2020-03-12,826959
2020-03-13,815099
2020-03-14,815750
2020-03-15,827653
2020-03-16,834991
2020-03-17,825150
2020-03-18,822471
2020-03-19,847583
2020-03-20,850886
2020-03-21,855639
2020-03-22,862427
2020-03-23,884249
2020-03-24,913090
2020-03-25,917451
2020-03-26,948339
2020-03-27,959868
2020-03-28,984229
2020-03-29,979551
2020-03-30,969378
2020-03-31,966825
2020-04-01,979167
2020-04-02,1013925
2020-04-03,1006982
2020-04-04,1000642
2020-04-05,993838
2020-04-06,1014248
2020-04-07,1004594
2020-04-08,1014386
2020-04-09,1005426
2020-04-10,995054
2020-04-11,1011240
2020-04-12,1007027
2020-04-13,1000015
2020-04-14,986800
2020-04-15,994027
2020-04-16,1016630
2020-04-17,1014032
2020-04-18,1024629
2020-04-19,1032356
2020-04-20,1037166
2020-04-21,1034330
2020-04-22,1018812
2020-04-23,1007631
2020-04-24,996811
2020-04-25,993434
2020-04-26,1004908
2020-04-27,1012807
2020-04-28,995933
2020-04-29,1000814
2020-04-30,1008204
2020-05-01,1003560
2020-05-02,1000966
2020-05-03,992410
2020-05-04,992132
2020-05-05,1016116
2020-05-06,1021894
2020-05-07,1010482
2020-05-08,1003426
2020-05-09,985821
2020-05-10,987539
