date_obj,Team-1%20cape price
2018-03-16,538
2018-03-17,531
2018-03-18,531
2018-03-19,531
2018-03-20,534
2018-03-21,534
2018-03-23,527
2018-03-24,527
2018-03-26,523
2018-03-27,507
2018-03-28,507
2018-03-29,489
2018-03-30,489
2018-03-31,489
2018-04-01,487
2018-04-02,487
2018-04-03,484
2018-04-04,484
2018-04-05,489
2018-04-06,489
2018-04-08,502
2018-04-09,503
2018-04-10,503
2018-04-11,519
2018-04-12,519
2018-04-13,515
2018-04-14,515
2018-04-16,522
2018-04-17,530
2018-04-18,530
2018-04-19,530
2018-04-20,540
2018-04-21,540
2018-04-22,528
2018-04-23,528
2018-04-24,522
2018-04-25,522
2018-04-26,522
2018-04-27,509
2018-04-28,509
2018-04-29,500
2018-04-30,500
2018-05-02,504
2018-05-03,504
2018-05-04,513
2018-05-05,528
2018-05-06,528
2018-05-07,528
2018-05-08,527
2018-05-09,527
2018-05-10,517
2018-05-11,517
2018-05-12,500
2018-05-13,500
2018-05-14,500
2018-05-15,496
2018-05-16,496
2018-05-17,490
2018-05-18,490
2018-05-19,490
2018-05-20,490
2018-05-21,491
2018-05-22,491
2018-05-23,488
2018-05-24,488
2018-05-25,488
2018-05-26,486
2018-05-27,486
2018-05-28,497
2018-05-29,497
2018-05-30,521
2018-05-31,521
2018-06-01,521
2018-06-02,511
2018-06-03,511
2018-06-04,510
2018-06-05,510
2018-06-06,494
2018-06-07,494
2018-06-08,490
2018-06-09,490
2018-06-10,477
2018-06-11,477
2018-06-12,471
2018-06-13,471
2018-06-14,476
2018-06-15,476
2018-06-16,476
2018-06-17,465
2018-06-18,465
2018-06-19,468
2018-06-20,468
2018-06-21,468
2018-06-22,479
2018-06-23,479
2018-06-24,497
2018-06-25,497
2018-06-26,497
2018-06-27,518
2018-06-28,518
2018-06-29,524
2018-06-30,524
2018-07-01,530
2018-07-02,530
2018-07-03,530
2018-07-04,550
2018-07-05,550
2018-07-06,562
2018-07-07,562
2018-07-08,562
2018-07-09,565
2018-07-10,565
2018-07-11,576
2018-07-12,576
2018-07-13,563
2018-07-14,563
2018-07-15,565
2018-07-16,565
2018-07-17,554
2018-07-18,554
2018-07-19,554
2018-07-20,581
2018-07-21,581
2018-07-22,587
2018-07-23,587
2018-07-24,605
2018-07-25,605
2018-07-26,618
2018-07-27,627
2018-07-28,627
2018-07-29,648
