date_obj,Staff%20of%20earth price
2018-03-29,1160
2018-03-30,1152
2018-03-31,1131
2018-04-01,1115
2018-04-02,1095
2018-04-03,1075
2018-04-04,1067
2018-04-05,1064
2018-04-06,1073
2018-04-08,1030
2018-04-09,1057
2018-04-10,1035
2018-04-11,1046
2018-04-12,1069
2018-04-13,1090
2018-04-14,1143
2018-04-16,1262
2018-04-17,1321
2018-04-18,1388
2018-04-19,1431
2018-04-20,1455
2018-04-21,1391
2018-04-22,1361
2018-04-23,1328
2018-04-24,1312
2018-04-25,1311
2018-04-26,1328
2018-04-27,1319
2018-04-28,1307
2018-04-29,1296
2018-04-30,1279
2018-05-01,1229
2018-05-02,1210
2018-05-03,1187
2018-05-04,1176
2018-05-05,1212
2018-05-06,1198
2018-05-07,1166
2018-05-08,1138
2018-05-09,1162
2018-05-10,1145
2018-05-11,1153
2018-05-12,1164
2018-05-13,1177
2018-05-14,1208
2018-05-15,1243
2018-05-16,1270
2018-05-17,1258
2018-05-18,1275
2018-05-19,1270
2018-05-20,1277
2018-05-21,1289
2018-05-22,1313
2018-05-23,1331
2018-05-24,1338
2018-05-25,1357
2018-05-26,1340
2018-05-27,1309
2018-05-28,1290
2018-05-29,1280
2018-05-30,1284
2018-05-31,1271
2018-06-01,1290
2018-06-02,1274
2018-06-03,1299
2018-06-04,1290
2018-06-05,1276
2018-06-06,1258
2018-06-07,1261
2018-06-08,1270
2018-06-09,1317
2018-06-10,1321
2018-06-11,1318
2018-06-12,1291
2018-06-13,1269
2018-06-14,1237
2018-06-15,1215
2018-06-16,1223
2018-06-17,1236
2018-06-18,1255
2018-06-19,1234
2018-06-20,1234
2018-06-21,1216
2018-06-22,1192
2018-06-23,1173
2018-06-24,1152
2018-06-25,1128
2018-06-26,1137
2018-06-27,1115
2018-06-28,1149
2018-06-29,1136
2018-06-30,1128
2018-07-01,1114
2018-07-02,1123
2018-07-03,1115
2018-07-04,1125
2018-07-05,1142
2018-07-06,1166
2018-07-07,1158
2018-07-08,1193
2018-07-09,1186
2018-07-10,1180
2018-07-11,1186
2018-07-12,1174
2018-07-13,1177
2018-07-14,1176
2018-07-15,1172
2018-07-16,1154
2018-07-17,1154
2018-07-18,1147
2018-07-19,1139
2018-07-20,1115
2018-07-21,1069
2018-07-22,1066
2018-07-23,1076
2018-07-24,1101
2018-07-25,1107
2018-07-26,1130
2018-07-27,1147
2018-07-28,1141
2018-07-29,1124
2018-07-30,1125
2018-07-31,1156
2018-08-01,1149
2018-08-02,1146
2018-08-03,1135
2018-08-04,1146
2018-08-05,1150
2018-08-06,1163
2018-08-07,1161
2018-08-08,1166
2018-08-09,1142
2018-08-10,1130
2018-08-11,1126
2018-08-12,1125
2018-08-14,1167
2018-08-16,1273
2018-08-17,1290
2018-08-18,1315
2018-08-19,1338
2018-08-20,1320
2018-08-21,1357
2018-08-22,1380
2018-08-23,1353
2018-08-24,1383
2018-08-25,1434
2018-08-26,1423
2018-08-27,1371
2018-08-28,1356
2018-08-29,1332
2018-08-30,1306
2018-08-31,1269
2018-09-01,1247
2018-09-02,1274
2018-09-03,1302
2018-09-04,1319
2018-09-05,1384
2018-09-06,1387
2018-09-07,1370
2018-09-08,1353
2018-09-09,1350
2018-09-10,1327
2018-09-11,1313
2018-09-12,1290
2018-09-13,1270
2018-09-14,1240
2018-09-15,1227
2018-09-16,1216
2018-09-17,1193
2018-09-18,1183
2018-09-19,1203
2018-09-20,1204
2018-09-21,1190
2018-09-22,1190
2018-09-23,1183
2018-09-24,1168
2018-09-25,1174
2018-09-26,1163
2018-09-27,1159
2018-09-28,1155
2018-09-29,1154
2018-09-30,1144
2018-10-02,1158
2018-10-03,1190
2018-10-04,1190
2018-10-05,1222
2018-10-06,1196
2018-10-07,1203
2018-10-08,1177
2018-10-09,1179
2018-10-10,1190
2018-10-11,1187
2018-10-12,1188
2018-10-13,1189
2018-10-14,1203
2018-10-15,1214
2018-10-16,1194
2018-10-17,1178
2018-10-18,1168
2018-10-19,1187
2018-10-20,1185
2018-10-21,1211
2018-10-22,1238
2018-10-23,1250
2018-10-24,1252
2018-10-25,1242
2018-10-26,1254
2018-10-27,1244
2018-10-28,1240
2018-10-29,1246
2018-10-30,1249
2018-10-31,1263
2018-11-01,1283
2018-11-03,1339
2018-11-04,1377
2018-11-05,1429
2018-11-06,1481
2018-11-07,1530
2018-11-08,1584
2018-11-09,1591
2018-11-10,1573
2018-11-11,1578
2018-11-12,1589
2018-11-13,1564
2018-11-14,1552
2018-11-15,1539
2018-11-16,1523
2018-11-17,1474
2018-11-18,1468
2018-11-19,1431
2018-11-20,1378
2018-11-21,1372
2018-11-22,1356
2018-11-23,1305
2018-11-24,1309
2018-11-25,1290
2018-11-26,1247
2018-11-27,1244
2018-11-28,1211
2018-11-29,1184
2018-12-01,1191
2018-12-02,1223
2018-12-03,1241
2018-12-04,1235
2018-12-05,1244
2018-12-07,1237
2018-12-09,1250
2018-12-10,1263
2018-12-11,1271
2018-12-12,1247
2018-12-13,1263
2018-12-14,1287
2018-12-15,1324
2018-12-16,1342
2018-12-17,1294
2018-12-18,1284
2018-12-19,1241
2018-12-20,1214
2018-12-21,1216
2018-12-22,1226
2018-12-23,1233
2018-12-24,1204
2018-12-25,1193
2018-12-26,1168
2018-12-27,1154
2018-12-28,1147
2018-12-29,1134
2018-12-30,1146
2018-12-31,1124
2019-01-01,1122
2019-01-02,1110
2019-01-03,1091
2019-01-04,1049
2019-01-05,1041
2019-01-06,1062
2019-01-08,1106
2019-01-10,1149
2019-01-11,1120
2019-01-12,1091
2019-01-13,1079
2019-01-14,1072
2019-01-15,1045
2019-01-16,1010
2019-01-17,996
2019-01-18,985
2019-01-19,984
2019-01-20,979
2019-01-21,963
2019-01-22,981
2019-01-23,988
2019-01-24,1013
2019-01-25,991
2019-01-26,981
2019-01-27,993
2019-01-28,1004
2019-01-29,1034
2019-01-30,1043
2019-01-31,1024
2019-02-01,1045
2019-02-02,1097
2019-02-03,1152
2019-02-04,1162
2019-02-05,1198
2019-02-06,1229
2019-02-07,1199
2019-02-08,1201
2019-02-09,1206
2019-02-10,1253
2019-02-11,1300
2019-02-12,1357
2019-02-13,1390
2019-02-14,1350
2019-02-15,1359
2019-02-16,1300
2019-02-17,1242
2019-02-18,1228
2019-02-19,1237
2019-02-20,1237
2019-02-21,1249
2019-02-22,1269
2019-02-23,1241
2019-02-24,1196
2019-02-25,1177
2019-02-26,1171
2019-02-27,1140
2019-02-28,1128
2019-03-01,1100
2019-03-02,1073
2019-03-03,1020
2019-03-04,996
2019-03-05,1018
2019-03-06,1054
2019-03-07,1061
2019-03-08,1075
2019-03-09,1113
2019-03-10,1159
2019-03-11,1212
2019-03-12,1252
2019-03-13,1284
2019-03-14,1252
2019-03-15,1225
2019-03-16,1176
2019-03-17,1203
2019-03-18,1211
2019-03-19,1227
2019-03-20,1216
2019-03-21,1224
2019-03-22,1202
2019-03-23,1204
2019-03-24,1181
2019-03-25,1189
2019-03-26,1183
2019-03-27,1237
2019-03-28,1299
2019-03-29,1350
2019-03-30,1367
2019-03-31,1357
2019-04-01,1367
2019-04-02,1422
2019-04-03,1398
2019-04-04,1368
2019-04-05,1304
2019-04-06,1286
2019-04-07,1249
2019-04-08,1249
2019-04-09,1283
2019-04-10,1320
2019-04-11,1314
2019-04-12,1259
2019-04-13,1203
2019-04-14,1152
