date_obj,Spined%20body price
2018-12-01,4486
2018-12-02,4584
2018-12-03,4584
2018-12-04,4595
2018-12-05,4570
2018-12-07,4508
2018-12-09,4455
2018-12-10,4500
2018-12-11,4500
2018-12-12,4630
2018-12-13,4817
2018-12-14,4817
2018-12-15,4762
2018-12-16,4684
2018-12-17,4684
2018-12-18,4537
2018-12-19,4537
2018-12-20,4494
2018-12-21,4494
2018-12-22,4478
2018-12-23,4421
2018-12-24,4421
2018-12-25,4482
2018-12-26,4482
2018-12-27,4473
2018-12-28,4473
2018-12-29,4605
2018-12-30,4605
2018-12-31,4563
2019-01-01,4563
2019-01-02,4578
2019-01-03,4578
2019-01-04,4497
2019-01-05,4562
2019-01-06,4611
2019-01-08,4595
2019-01-10,4677
2019-01-11,4677
2019-01-12,4695
2019-01-13,4695
2019-01-14,4698
2019-01-15,4698
2019-01-16,4794
2019-01-17,4794
2019-01-18,4778
2019-01-19,4745
2019-01-20,4745
2019-01-21,4609
2019-01-22,4609
2019-01-23,4596
2019-01-24,4596
2019-01-25,4474
2019-01-26,4474
2019-01-27,4613
2019-01-28,4613
2019-01-29,4844
2019-01-30,4844
2019-01-31,4681
2019-02-01,4829
2019-02-02,4829
2019-02-03,4836
2019-02-04,4836
2019-02-05,4819
2019-02-06,4819
2019-02-07,4815
2019-02-08,4815
2019-02-09,4707
2019-02-10,4707
2019-02-11,4604
2019-02-12,4604
2019-02-13,4602
2019-02-14,4602
2019-02-15,4456
2019-02-16,4456
2019-02-17,4423
2019-02-18,4423
2019-02-19,4437
2019-02-20,4437
2019-02-21,4461
2019-02-22,4461
2019-02-23,4643
2019-02-24,4612
2019-02-25,4612
2019-02-26,4476
2019-02-27,4476
2019-02-28,4476
2019-03-01,4553
2019-03-02,4553
2019-03-03,4540
2019-03-04,4497
2019-03-05,4497
2019-03-06,4409
2019-03-07,4409
2019-03-08,4409
2019-03-09,4391
2019-03-10,4391
2019-03-11,4345
2019-03-12,4371
2019-03-13,4371
2019-03-14,4406
2019-03-15,4406
2019-03-16,4449
2019-03-17,4464
2019-03-18,4464
2019-03-19,4464
2019-03-20,4503
2019-03-21,4503
2019-03-22,4509
2019-03-23,4371
2019-03-24,4371
2019-03-25,4423
2019-03-26,4423
2019-03-27,4311
2019-03-28,4311
2019-03-29,4336
2019-03-30,4336
2019-03-31,4384
2019-04-01,4384
2019-04-02,4444
2019-04-03,4444
2019-04-04,4439
