date_obj,Iron%20battleaxe price
2017-11-08,13
2017-11-09,12
2017-11-10,12
2017-11-11,12
2017-11-12,12
2017-11-13,12
2017-11-14,12
2017-11-15,12
2017-11-16,12
2017-11-17,12
2017-11-18,12
2017-11-19,12
2017-11-20,12
2017-11-21,12
2017-11-22,12
2017-11-23,12
2017-11-24,12
2017-11-25,12
2017-11-26,12
2017-11-27,12
2017-11-28,11
2017-11-29,11
2017-11-30,11
2017-12-01,11
2017-12-02,11
2017-12-03,11
2017-12-04,11
2017-12-05,11
2017-12-06,11
2017-12-07,11
2017-12-08,11
2017-12-09,11
2017-12-10,11
2017-12-11,11
2017-12-12,11
2017-12-13,11
2017-12-14,11
2017-12-15,11
2017-12-16,11
2017-12-17,11
2017-12-18,11
2017-12-19,11
2017-12-20,11
2017-12-21,11
2017-12-22,11
2017-12-23,11
2017-12-24,11
2017-12-25,11
2017-12-26,11
2017-12-27,11
2017-12-28,11
2017-12-29,11
2017-12-30,11
2017-12-31,11
2018-01-01,11
2018-01-02,11
2018-01-03,11
2018-01-04,11
2018-01-05,11
2018-01-06,11
2018-01-07,11
2018-01-08,11
2018-01-09,11
2018-01-10,11
2018-01-11,11
2018-01-12,11
2018-01-13,11
2018-01-14,11
2018-01-15,11
2018-01-16,11
2018-01-17,11
2018-01-18,11
2018-01-19,11
2018-01-20,11
2018-01-21,11
2018-01-22,11
2018-01-23,12
2018-01-25,13
2018-01-26,13
2018-01-27,13
2018-01-28,13
2018-01-29,13
2018-01-30,14
2018-01-31,14
2018-02-01,14
2018-02-02,14
2018-02-03,15
2018-02-04,15
2018-02-05,15
2018-02-06,15
2018-02-07,16
2018-02-08,16
2018-02-09,17
2018-02-10,17
2018-02-11,17
2018-02-12,17
2018-02-13,17
2018-02-14,17
2018-02-15,17
2018-02-16,17
2018-02-17,17
2018-02-18,17
2018-02-19,17
2018-02-20,17
2018-02-21,17
2018-02-22,17
2018-02-23,17
2018-02-24,17
2018-02-25,17
2018-02-26,17
2018-02-27,17
2018-02-28,17
2018-03-01,17
2018-03-02,17
2018-03-03,17
2018-03-04,17
2018-03-05,17
2018-03-06,17
2018-03-07,17
2018-03-08,17
2018-03-09,17
2018-03-10,17
2018-03-11,17
2018-03-12,17
2018-03-13,17
2018-03-14,17
2018-03-15,17
2018-03-16,17
2018-03-17,18
2018-03-18,18
2018-03-19,18
2018-03-20,18
2018-03-21,18
2018-03-23,19
2018-03-24,19
2018-03-25,20
2018-03-26,20
2018-03-27,20
2018-03-28,20
2018-03-29,21
2018-03-30,21
2018-03-31,21
2018-04-01,21
2018-04-02,21
2018-04-03,21
2018-04-04,21
2018-04-05,21
2018-04-06,21
2018-04-07,21
2018-04-08,20
2018-04-09,20
2018-04-10,20
2018-04-11,20
2018-04-12,20
2018-04-13,20
2018-04-14,20
2018-04-15,20
2018-04-16,20
2018-04-17,20
2018-04-18,20
2018-04-19,20
2018-04-20,20
2018-04-21,20
2018-04-22,20
2018-04-23,21
2018-04-24,21
2018-04-25,21
2018-04-26,21
2018-04-27,21
2018-04-28,21
2018-04-29,21
2018-04-30,21
2018-05-01,21
2018-05-04,22
2018-05-05,22
2018-05-06,22
2018-05-07,22
2018-05-08,21
2018-05-09,21
2018-05-10,21
2018-05-11,21
2018-05-12,21
2018-05-13,21
2018-05-14,21
2018-05-15,21
2018-05-16,21
2018-05-17,21
2018-05-18,22
2018-05-19,22
2018-05-20,21
2018-05-21,21
2018-05-22,21
2018-05-23,22
2018-05-24,22
2018-05-25,22
2018-05-26,22
2018-05-27,22
2018-05-28,21
2018-05-29,21
2018-05-30,21
2018-05-31,21
2018-06-01,21
2018-06-02,21
2018-06-03,22
2018-06-04,22
2018-06-05,22
2018-06-06,22
2018-06-07,21
2018-06-08,21
2018-06-09,20
2018-06-10,20
2018-06-11,20
2018-06-12,20
2018-06-13,21
2018-06-14,21
2018-06-15,22
2018-06-16,22
2018-06-17,21
2018-06-18,21
