date_obj,Yellow%20robe%20bottoms price
2018-09-09,803
2018-09-10,803
2018-09-11,803
2018-09-12,824
2018-09-13,824
2018-09-14,824
2018-09-15,824
2018-09-16,824
2018-09-17,824
2018-09-18,835
2018-09-19,835
2018-09-20,835
2018-09-21,835
2018-09-22,835
2018-09-23,835
2018-09-24,840
2018-09-25,840
2018-09-26,840
2018-09-27,840
2018-09-28,840
2018-09-29,840
2018-09-30,840
2018-10-02,863
2018-10-03,863
2018-10-04,863
2018-10-05,863
2018-10-06,863
2018-10-07,863
2018-10-08,863
2018-10-09,867
2018-10-10,867
2018-10-11,867
2018-10-12,867
2018-10-13,867
2018-10-14,867
2018-10-15,867
2018-10-16,882
2018-10-17,882
2018-10-18,882
2018-10-19,882
2018-10-20,882
2018-10-21,882
2018-10-22,882
2018-10-23,882
2018-10-24,882
2018-10-25,889
2018-10-26,889
2018-10-27,889
2018-10-28,889
2018-10-29,889
2018-10-30,889
2018-10-31,889
2018-11-01,895
2018-11-03,895
2018-11-04,895
2018-11-05,901
2018-11-06,901
2018-11-07,901
2018-11-08,901
2018-11-09,901
2018-11-10,913
2018-11-11,913
2018-11-12,913
2018-11-13,884
2018-11-14,884
2018-11-15,884
2018-11-16,884
2018-11-17,855
2018-11-18,855
2018-11-19,855
2018-11-20,855
2018-11-21,845
2018-11-22,845
2018-11-23,845
2018-11-24,845
2018-11-25,827
2018-11-26,827
2018-11-27,827
2018-11-28,827
2018-12-01,836
2018-12-02,836
2018-12-03,836
2018-12-04,806
2018-12-05,806
2018-12-07,806
2018-12-09,812
2018-12-10,812
2018-12-11,812
2018-12-12,812
2018-12-13,801
2018-12-14,801
2018-12-15,801
2018-12-16,801
2018-12-17,801
2018-12-18,785
2018-12-19,785
2018-12-20,785
2018-12-21,785
2018-12-22,785
2018-12-23,798
2018-12-24,798
2018-12-25,798
2018-12-26,798
2018-12-27,798
2018-12-28,798
2018-12-29,797
2018-12-30,797
2018-12-31,797
2019-01-01,797
2019-01-02,797
2019-01-03,791
2019-01-04,791
2019-01-05,791
2019-01-06,791
2019-01-08,798
2019-01-10,798
2019-01-11,798
2019-01-12,798
2019-01-13,808
2019-01-14,808
2019-01-15,808
2019-01-16,808
2019-01-17,808
2019-01-18,787
2019-01-19,787
2019-01-20,787
2019-01-21,787
2019-01-22,787
2019-01-23,778
2019-01-24,778
2019-01-25,778
2019-01-26,778
2019-01-27,778
2019-01-29,764
2019-01-30,764
2019-01-31,764
2019-02-01,764
2019-02-02,764
2019-02-03,764
2019-02-04,737
2019-02-05,737
2019-02-06,737
2019-02-07,737
2019-02-08,737
2019-02-09,737
2019-02-10,719
2019-02-11,719
2019-02-12,719
2019-02-13,719
2019-02-14,719
2019-02-15,719
2019-02-16,716
2019-02-17,716
2019-02-18,716
2019-02-19,716
2019-02-20,716
2019-02-21,716
2019-02-22,701
2019-02-23,701
2019-02-24,701
2019-02-25,701
2019-02-26,701
2019-02-27,701
2019-02-28,701
2019-03-01,701
2019-03-02,701
2019-03-03,701
2019-03-04,701
2019-03-05,683
2019-03-06,683
2019-03-07,683
2019-03-08,683
2019-03-09,683
2019-03-10,683
2019-03-11,683
2019-03-12,689
2019-03-13,689
2019-03-14,689
2019-03-15,689
2019-03-16,689
2019-03-17,689
2019-03-18,689
2019-03-19,689
2019-03-20,706
2019-03-21,706
2019-03-22,706
2019-03-23,706
2019-03-24,706
2019-03-25,706
2019-03-26,706
2019-03-27,691
2019-03-28,691
2019-03-29,691
2019-03-30,691
2019-03-31,691
2019-04-01,691
2019-04-02,691
2019-04-03,698
2019-04-04,698
2019-04-05,698
2019-04-06,698
2019-04-07,698
2019-04-08,698
2019-04-09,698
2019-04-10,698
2019-04-11,698
2019-04-12,703
2019-04-13,703
2019-04-14,703
2019-04-15,703
2019-04-16,703
2019-04-17,703
2019-04-18,703
2019-04-19,703
2019-04-20,733
2019-04-21,733
2019-04-22,733
2019-04-23,733
2019-04-24,733
2019-04-25,733
2019-04-26,733
2019-04-27,748
2019-04-28,748
2019-04-29,748
2019-04-30,748
2019-05-01,748
2019-05-02,748
2019-05-03,748
2019-05-04,748
2019-05-05,772
2019-05-06,772
2019-05-07,772
2019-05-08,772
2019-05-09,772
2019-05-10,772
2019-05-11,772
2019-05-12,772
2019-05-13,762
2019-05-14,762
2019-05-15,762
