date_obj,Blue%20hat price
2017-06-24,788
2017-06-25,788
2017-06-26,806
2017-06-27,806
2017-06-28,806
2017-06-29,806
2017-06-30,806
2017-07-01,806
2017-07-02,806
2017-07-03,834
2017-07-04,834
2017-07-05,834
2017-07-06,834
2017-07-07,834
2017-07-08,834
2017-07-13,854
2017-07-14,854
2017-07-15,854
2017-07-16,854
2017-07-17,854
2017-07-18,854
2017-07-19,863
2017-07-20,863
2017-07-21,863
2017-07-22,863
2017-07-23,863
2017-07-24,863
2017-07-25,863
2017-07-26,871
2017-07-27,871
2017-07-28,871
2017-07-29,871
2017-07-30,871
2017-07-31,871
2017-08-01,871
2017-08-02,861
2017-08-03,861
2017-08-04,861
2017-08-05,861
2017-08-06,861
2017-08-09,852
2017-08-10,852
2017-08-11,852
2017-08-12,852
2017-08-13,852
2017-08-14,852
2017-08-15,852
2017-08-16,851
2017-08-17,851
2017-08-18,851
2017-08-19,851
2017-08-20,851
2017-08-21,851
2017-08-22,851
2017-08-23,851
2017-08-24,840
2017-08-25,840
2017-08-26,840
2017-08-27,840
2017-08-28,840
2017-08-29,840
2017-08-30,802
2017-08-31,802
2017-09-01,802
2017-09-02,802
2017-09-03,802
2017-09-04,802
2017-09-05,802
2017-09-06,802
2017-09-07,793
2017-09-08,793
2017-09-09,793
2017-09-10,793
2017-09-11,793
2017-09-12,793
2017-09-13,793
2017-09-14,779
2017-09-15,779
2017-09-16,779
2017-09-17,779
2017-09-18,779
2017-09-19,779
2017-09-20,779
2017-09-22,752
2017-09-23,752
2017-09-24,752
2017-09-25,752
2017-09-26,752
2017-09-27,752
2017-09-28,752
2017-09-29,752
2017-09-30,753
2017-10-01,753
2017-10-02,753
2017-10-03,753
2017-10-04,753
2017-10-05,753
2017-10-06,753
2017-10-07,753
2017-10-08,753
2017-10-09,727
2017-10-10,727
2017-10-11,727
2017-10-12,727
2017-10-13,727
2017-10-14,727
2017-10-15,727
2017-10-16,727
2017-10-17,727
2017-10-18,719
2017-10-19,719
2017-10-20,719
2017-10-21,719
2017-10-22,719
2017-10-23,719
2017-10-24,719
2017-10-25,719
2017-10-26,707
2017-10-27,707
2017-10-28,707
2017-10-29,707
2017-10-30,707
2017-10-31,707
2017-11-01,707
2017-11-02,707
2017-11-03,699
2017-11-04,699
2017-11-05,699
2017-11-06,699
2017-11-07,699
2017-11-08,699
2017-11-09,699
2017-11-10,678
2017-11-11,678
2017-11-12,678
2017-11-13,678
2017-11-14,678
2017-11-15,678
2017-11-16,678
2017-11-17,678
2017-11-18,678
2017-11-19,654
2017-11-20,654
2017-11-21,654
