date_obj,Shark price
2017-12-23,681
2017-12-24,682
2017-12-25,680
2017-12-26,678
2017-12-27,675
2017-12-28,672
2017-12-29,666
2017-12-30,660
2017-12-31,661
2018-01-01,658
2018-01-02,652
2018-01-04,637
2018-01-05,637
2018-01-06,659
2018-01-07,663
2018-01-08,695
2018-01-09,725
2018-01-10,719
2018-01-11,725
2018-01-12,722
2018-01-13,704
2018-01-14,686
2018-01-15,669
2018-01-16,665
2018-01-17,667
2018-01-18,671
2018-01-19,668
2018-01-20,664
2018-01-21,660
2018-01-22,659
2018-01-23,663
2018-01-24,685
2018-01-25,703
2018-01-26,694
2018-01-27,687
2018-01-28,682
2018-01-29,681
2018-01-30,689
2018-02-01,680
2018-02-02,677
2018-02-03,678
2018-02-04,685
2018-02-05,681
2018-02-06,685
2018-02-07,710
2018-02-08,706
2018-02-09,707
2018-02-10,710
2018-02-11,710
2018-02-12,709
2018-02-13,710
2018-02-14,707
2018-02-15,700
2018-02-16,696
2018-02-17,699
2018-02-18,707
2018-02-19,706
2018-02-20,700
2018-02-21,701
2018-02-22,701
2018-02-23,699
2018-02-24,698
2018-02-25,700
2018-02-26,703
2018-02-27,702
2018-02-28,698
2018-03-01,695
2018-03-02,693
2018-03-03,693
2018-03-04,690
2018-03-05,693
2018-03-06,692
2018-03-07,689
2018-03-08,693
2018-03-09,699
2018-03-10,705
2018-03-11,713
2018-03-12,711
2018-03-13,708
2018-03-14,705
2018-03-15,703
2018-03-16,703
2018-03-17,695
2018-03-18,692
2018-03-19,692
2018-03-20,691
2018-03-21,690
2018-03-23,692
2018-03-24,692
2018-03-26,696
2018-03-27,697
2018-03-28,705
2018-03-29,707
2018-03-30,714
2018-03-31,718
2018-04-01,718
2018-04-02,718
2018-04-03,716
2018-04-04,700
2018-04-05,690
2018-04-06,681
2018-04-08,678
2018-04-09,678
2018-04-10,676
2018-04-11,675
2018-04-12,674
2018-04-13,672
2018-04-14,668
2018-04-15,667
2018-04-16,666
2018-04-17,665
2018-04-18,663
2018-04-19,660
2018-04-20,653
2018-04-21,647
2018-04-22,638
2018-04-23,637
2018-04-24,634
2018-04-25,630
2018-04-26,627
2018-04-27,623
2018-04-28,620
2018-04-29,617
2018-04-30,610
2018-05-01,599
2018-05-02,589
2018-05-03,579
2018-05-04,575
2018-05-05,569
2018-05-06,562
2018-05-07,569
2018-05-08,586
2018-05-09,593
2018-05-10,604
2018-05-11,603
2018-05-12,599
2018-05-13,595
2018-05-14,591
2018-05-15,595
2018-05-16,606
2018-05-17,615
2018-05-18,625
2018-05-19,628
2018-05-20,630
2018-05-21,634
2018-05-22,635
2018-05-23,640
2018-05-24,645
2018-05-25,658
2018-05-26,668
2018-05-27,686
2018-05-28,695
2018-05-29,713
2018-05-30,733
2018-05-31,750
2018-06-01,778
2018-06-02,816
2018-06-03,849
2018-06-04,856
2018-06-05,877
2018-06-06,885
2018-06-07,859
2018-06-08,824
2018-06-09,801
2018-06-10,795
2018-06-11,800
2018-06-12,810
2018-06-13,827
2018-06-14,868
2018-06-15,904
2018-06-16,937
2018-06-17,929
2018-06-18,923
2018-06-19,917
2018-06-20,914
2018-06-21,910
2018-06-22,918
2018-06-23,947
2018-06-24,958
2018-06-25,952
2018-06-26,979
2018-06-27,992
2018-06-28,996
2018-06-29,1042
2018-06-30,1042
2018-07-01,1021
2018-07-02,1012
2018-07-03,1006
2018-07-04,1007
2018-07-05,1002
2018-07-06,1011
2018-07-07,1039
2018-07-08,1040
2018-07-09,1033
2018-07-10,1029
2018-07-11,1024
2018-07-12,1026
2018-07-13,1065
2018-07-14,1100
2018-07-15,1143
2018-07-16,1153
2018-07-17,1147
2018-07-18,1168
2018-07-19,1199
2018-07-20,1187
2018-07-21,1182
2018-07-22,1172
2018-07-23,1155
2018-07-24,1144
2018-07-25,1135
2018-07-26,1128
2018-07-27,1122
2018-07-28,1113
2018-07-29,1103
2018-07-30,1088
2018-07-31,1076
2018-08-01,1069
2018-08-02,1063
2018-08-03,1052
2018-08-04,1044
2018-08-05,1039
2018-08-06,1028
2018-08-07,1023
2018-08-08,1007
2018-08-09,998
2018-08-10,985
2018-08-11,983
2018-08-12,989
2018-08-14,1042
2018-08-16,1021
2018-08-17,1021
2018-08-18,1004
2018-08-19,997
2018-08-20,993
2018-08-21,991
2018-08-22,989
2018-08-23,990
2018-08-24,1004
2018-08-25,1006
2018-08-26,1008
2018-08-27,1032
2018-08-28,1042
2018-08-29,1042
2018-08-30,1032
2018-08-31,1021
2018-09-01,1014
2018-09-02,1015
2018-09-03,1008
2018-09-04,1000
2018-09-05,988
2018-09-06,989
2018-09-07,987
2018-09-08,984
2018-09-09,983
2018-09-10,981
2018-09-11,978
2018-09-12,977
2018-09-13,969
2018-09-14,959
2018-09-15,947
2018-09-16,931
