date_obj,Mithril%20crossbow%20(u) price
2019-07-14,509
2019-07-15,509
2019-07-16,509
2019-07-17,509
2019-07-18,509
2019-07-19,509
2019-07-20,509
2019-07-21,509
2019-07-22,529
2019-07-23,529
2019-07-24,529
2019-07-25,529
2019-07-26,529
2019-07-27,529
2019-07-28,529
2019-07-29,529
2019-07-30,529
2019-07-31,508
2019-08-01,508
2019-08-02,508
2019-08-03,508
2019-08-04,508
2019-08-05,508
2019-08-06,508
2019-08-07,508
2019-08-08,484
2019-08-09,484
2019-08-10,484
2019-08-11,484
2019-08-12,484
2019-08-13,484
2019-08-14,484
2019-08-15,464
2019-08-16,464
2019-08-17,464
2019-08-18,464
2019-08-19,464
2019-08-20,464
2019-08-21,447
2019-08-22,447
2019-08-23,447
