date_obj,Gilded%20boots price
2018-07-10,5528677
2018-07-11,5528677
2018-07-12,5528677
2018-07-13,5359183
2018-07-14,5344080
2018-07-15,5344080
2018-07-16,5286691
2018-07-17,5211649
2018-07-18,5211649
2018-07-19,5214929
2018-07-20,5214929
2018-07-21,5231988
2018-07-22,5327876
2018-07-23,5427270
2018-07-24,5427270
2018-07-25,5405298
2018-07-26,5405298
2018-07-27,5319849
2018-07-28,5319849
2018-07-29,5325067
2018-07-30,5325067
2018-07-31,5327164
2018-08-01,5327164
2018-08-02,5513969
2018-08-03,5513969
2018-08-04,5637419
2018-08-05,5637419
2018-08-06,5648407
2018-08-07,5648407
2018-08-08,5580491
2018-08-09,5580491
2018-08-10,5606789
2018-08-11,5606789
2018-08-12,5615984
2018-08-14,5671815
2018-08-16,5660243
2018-08-17,5554477
2018-08-18,5554477
2018-08-19,5577968
2018-08-20,5646581
2018-08-21,5646581
2018-08-22,5548924
2018-08-23,5548924
2018-08-24,5444036
2018-08-25,5386986
2018-08-26,5386986
2018-08-27,5354375
2018-08-28,5295535
2018-08-29,5295535
2018-08-30,5321710
2018-08-31,5214424
2018-09-01,5257835
2018-09-02,5257835
2018-09-03,5331767
2018-09-04,5393177
2018-09-05,5480869
2018-09-06,5480869
2018-09-07,5577593
2018-09-08,5577593
2018-09-09,5696493
2018-09-10,5909052
2018-09-11,5909052
2018-09-12,6135733
2018-09-13,6135733
2018-09-14,6296380
2018-09-15,6505742
2018-09-16,6505742
2018-09-17,6588244
2018-09-18,6660827
2018-09-19,6660827
2018-09-20,6602086
2018-09-21,6602086
2018-09-22,6739009
2018-09-23,6739009
2018-09-24,6742562
2018-09-25,6742562
2018-09-26,6669122
2018-09-27,6669122
2018-09-28,6582892
2018-09-29,6582892
2018-09-30,6563203
2018-10-01,6556147
2018-10-02,6556147
2018-10-03,6549626
2018-10-04,6549626
2018-10-05,6549626
2018-10-06,6509807
2018-10-07,6509807
2018-10-08,6430513
2018-10-09,6430513
2018-10-10,6330882
2018-10-11,6330882
2018-10-12,6328517
2018-10-13,6157672
2018-10-14,6157672
2018-10-15,6206681
2018-10-16,6206681
2018-10-17,6177285
2018-10-18,6005644
2018-10-19,5953470
2018-10-20,5953470
2018-10-21,5937129
2018-10-22,5822096
2018-10-23,5822096
2018-10-24,5725911
2018-10-25,5725911
2018-10-26,5673272
2018-10-27,5675202
2018-10-28,5615005
2018-10-29,5615005
2018-10-30,5576140
2018-10-31,5570242
2018-11-01,5635229
2018-11-03,5806057
2018-11-04,5958102
2018-11-05,6251542
2018-11-06,6554661
2018-11-07,6554661
2018-11-08,6846304
2018-11-09,7133965
2018-11-10,7488599
2018-11-11,7488599
2018-11-12,7794824
2018-11-13,7868713
2018-11-14,7868713
2018-11-15,7894070
2018-11-16,7914666
2018-11-17,7921177
2018-11-18,7927226
2018-11-19,7927226
2018-11-20,7928196
