date_obj,Kitchen%20knife price
2017-10-30,6482
2017-10-31,6482
2017-11-01,6482
2017-11-02,6482
2017-11-03,6482
2017-11-04,6482
2017-11-05,6482
2017-11-06,6482
2017-11-07,6482
2017-11-08,6482
2017-11-09,6482
2017-11-10,6482
2017-11-11,6482
2017-11-12,6482
2017-11-13,6482
2017-11-14,6482
2017-11-15,6482
2017-11-16,6482
2017-11-17,6482
2017-11-18,6482
2017-11-19,6482
2017-11-20,6482
2017-11-21,6482
2017-11-22,6482
2017-11-23,6482
2017-11-24,6482
2017-11-25,6482
2017-11-26,6482
2017-11-27,6482
2017-11-28,6482
2017-11-29,6482
2017-11-30,6482
2017-12-01,6482
2017-12-02,6482
2017-12-03,6482
2017-12-04,6482
2017-12-05,6482
2017-12-06,6482
2017-12-07,6482
2017-12-08,6482
2017-12-09,6482
2017-12-10,6482
2017-12-11,6482
2017-12-12,6482
2017-12-14,6482
2017-12-15,6482
2017-12-16,6482
2017-12-17,6482
2017-12-18,6482
2017-12-19,6482
2017-12-20,6482
2017-12-21,6482
2017-12-22,6482
2017-12-23,6482
2017-12-24,6482
2017-12-25,6482
2017-12-26,6482
2017-12-27,6585
2017-12-28,6585
2017-12-29,6585
2017-12-30,6585
2017-12-31,6585
2018-01-01,6585
2018-01-02,6585
2018-01-03,6585
2018-01-04,6585
2018-01-05,6585
2018-01-06,6585
2018-01-07,6585
2018-01-08,6585
2018-01-09,6585
2018-01-10,6585
2018-01-11,6585
2018-01-12,6585
2018-01-13,6585
2018-01-14,6585
2018-01-15,6585
2018-01-16,6585
2018-01-17,6585
2018-01-18,6585
2018-01-19,6585
2018-01-20,6585
2018-01-21,6585
2018-01-22,6585
2018-01-23,6585
2018-01-25,6585
2018-01-26,6585
2018-01-27,6585
2018-01-28,6585
2018-01-29,6585
2018-01-31,6585
2018-02-01,6585
2018-02-02,6585
2018-02-03,6585
2018-02-04,6585
2018-02-05,6585
2018-02-06,6585
2018-02-07,6585
2018-02-08,6585
2018-02-09,6585
2018-02-10,6585
2018-02-11,6585
2018-02-12,6585
2018-02-13,6585
2018-02-14,6585
2018-02-15,6585
2018-02-16,6585
2018-02-17,6585
2018-02-18,6585
2018-02-19,6585
2018-02-20,6585
2018-02-21,6585
2018-02-22,6585
2018-02-23,6585
2018-02-24,6585
2018-02-25,6585
2018-02-26,6585
2018-02-27,6585
2018-02-28,6585
2018-03-01,6585
2018-03-02,6585
2018-03-03,6585
2018-03-04,6585
2018-03-05,6585
2018-03-06,6585
2018-03-07,6585
2018-03-08,6585
2018-03-09,6585
2018-03-10,6585
2018-03-11,6585
2018-03-12,6585
2018-03-13,6585
2018-03-14,6585
2018-03-15,6585
2018-03-16,6585
2018-03-17,6585
2018-03-18,6585
2018-03-19,6585
2018-03-20,6585
2018-03-21,6585
2018-03-23,6585
2018-03-24,6585
2018-03-25,6585
2018-03-26,6585
2018-03-27,6693
2018-03-28,6693
2018-03-29,6693
2018-03-30,6693
2018-03-31,6693
2018-04-01,6693
2018-04-02,6693
2018-04-03,6693
2018-04-04,6693
2018-04-05,6693
2018-04-06,6693
2018-04-07,6693
2018-04-08,6693
2018-04-09,6693
2018-04-10,6693
2018-04-11,6693
2018-04-12,6693
2018-04-13,6693
2018-04-14,6693
2018-04-15,6693
2018-04-16,6693
2018-04-17,6693
2018-04-18,6693
2018-04-19,6693
2018-04-20,6693
2018-04-21,6693
2018-04-22,6693
2018-04-23,6693
2018-04-24,6693
2018-04-25,6693
2018-04-26,6693
2018-04-27,6693
2018-04-28,6693
2018-04-29,6693
2018-04-30,6693
2018-05-01,6693
2018-05-04,6693
2018-05-05,6693
2018-05-06,6693
2018-05-07,6693
2018-05-08,6693
2018-05-09,6693
2018-05-10,6693
2018-05-11,6693
2018-05-12,6693
2018-05-13,6693
2018-05-14,6693
2018-05-15,6693
2018-05-16,6693
2018-05-17,6693
2018-05-18,6693
2018-05-19,6693
2018-05-20,6693
2018-05-21,6693
2018-05-22,6693
2018-05-23,6693
2018-05-24,6693
2018-05-25,6693
2018-05-26,6693
2018-05-27,6693
2018-05-28,6693
2018-05-29,6693
2018-05-30,6693
2018-05-31,6693
2018-06-01,6693
2018-06-02,6693
2018-06-03,6693
2018-06-04,6693
2018-06-05,6693
2018-06-06,6693
2018-06-07,6693
2018-06-08,6693
2018-06-09,6693
2018-06-10,6693
2018-06-11,6693
2018-06-12,6693
2018-06-13,6693
2018-06-14,6693
2018-06-15,6693
2018-06-16,6693
2018-06-17,6693
2018-06-18,6693
2018-06-19,6693
2018-06-20,6693
2018-06-21,6693
2018-06-22,6693
2018-06-23,6693
2018-06-24,6693
2018-06-25,6693
2018-06-26,6693
2018-06-27,6693
2018-06-28,6693
2018-06-29,6693
2018-06-30,6693
2018-07-01,6693
2018-07-02,6693
2018-07-03,6693
2018-07-04,6693
2018-07-05,6795
2018-07-06,6795
2018-07-07,6795
2018-07-08,6795
2018-07-09,6795
2018-07-10,6795
2018-07-11,6795
2018-07-12,6795
2018-07-13,6795
2018-07-14,6795
2018-07-15,6795
2018-07-16,6795
2018-07-17,6795
2018-07-18,6795
2018-07-19,6795
2018-07-20,6795
2018-07-21,6795
2018-07-22,6795
2018-07-23,6795
2018-07-24,6795
2018-07-25,6795
2018-07-26,6795
2018-07-27,6795
2018-07-28,6795
2018-07-29,6795
2018-07-30,6795
2018-07-31,6795
2018-08-01,6795
2018-08-02,6795
2018-08-03,6795
2018-08-04,6795
2018-08-05,6795
2018-08-06,6795
2018-08-07,6795
2018-08-08,6795
2018-08-09,6795
2018-08-10,6795
2018-08-11,6795
2018-08-12,6795
2018-08-14,6795
2018-08-16,6795
2018-08-17,6795
2018-08-18,6795
2018-08-19,6795
2018-08-20,6795
2018-08-21,6795
2018-08-22,6795
2018-08-23,6795
2018-08-24,6795
2018-08-25,6795
2018-08-26,6795
2018-08-27,6795
2018-08-28,6795
2018-08-29,6795
2018-08-30,6795
2018-08-31,6795
2018-09-01,6795
2018-09-02,6795
2018-09-03,6795
2018-09-04,6795
2018-09-05,6795
2018-09-06,6795
2018-09-07,6795
2018-09-08,6795
2018-09-09,6795
2018-09-10,6795
2018-09-11,6795
2018-09-12,6795
2018-09-13,6795
2018-09-14,6795
2018-09-15,6906
2018-09-16,6906
2018-09-17,6906
2018-09-18,6906
2018-09-19,6906
2018-09-20,6906
2018-09-21,6906
2018-09-22,6906
2018-09-23,6906
2018-09-24,6906
2018-09-25,6906
2018-09-26,6906
2018-09-27,6906
2018-09-28,6906
2018-09-29,6906
2018-09-30,6906
2018-10-02,6906
2018-10-03,6906
2018-10-04,6906
2018-10-05,6906
2018-10-06,6906
2018-10-07,6906
2018-10-08,6906
2018-10-09,6906
2018-10-10,6906
2018-10-11,6906
2018-10-12,6906
2018-10-13,6906
2018-10-14,6906
2018-10-15,6906
2018-10-16,6906
2018-10-17,6906
2018-10-18,6906
2018-10-19,6906
2018-10-20,6906
2018-10-21,6906
2018-10-22,6906
2018-10-23,6906
2018-10-24,6906
2018-10-25,6906
2018-10-26,6906
2018-10-27,6906
2018-10-28,6906
2018-10-29,6906
2018-10-30,6906
2018-10-31,6906
2018-11-01,6906
2018-11-03,6906
2018-11-04,6906
2018-11-05,6906
2018-11-06,6906
2018-11-07,6906
2018-11-08,6906
2018-11-09,6906
2018-11-10,6906
2018-11-11,6906
2018-11-12,6906
2018-11-13,6906
2018-11-14,6906
2018-11-15,6906
2018-11-16,6906
2018-11-17,6906
2018-11-18,6906
2018-11-19,6906
2018-11-20,7019
2018-11-21,7019
2018-11-22,7019
2018-11-23,7019
2018-11-24,7019
2018-11-25,7019
2018-11-26,7019
2018-11-27,7019
2018-11-28,7019
2018-11-29,7019
2018-12-01,7019
2018-12-02,7019
2018-12-03,7019
2018-12-05,7019
2018-12-07,7019
2018-12-09,7019
2018-12-10,7019
2018-12-11,7019
2018-12-12,7019
2018-12-13,7019
2018-12-14,7019
2018-12-15,7019
2018-12-16,7019
2018-12-17,7019
2018-12-18,7019
2018-12-19,7019
2018-12-20,7019
2018-12-21,7019
2018-12-22,7019
2018-12-23,7019
2018-12-24,7019
2018-12-25,7019
2018-12-26,7019
2018-12-27,7019
2018-12-28,7019
2018-12-29,7019
2018-12-30,7019
2018-12-31,7019
2019-01-01,7019
2019-01-02,7019
2019-01-03,7019
2019-01-04,7019
2019-01-05,7019
2019-01-06,7019
2019-01-08,7019
2019-01-10,7106
2019-01-11,7106
2019-01-12,7106
2019-01-13,7106
2019-01-14,7106
2019-01-15,7106
2019-01-16,7106
2019-01-17,7106
2019-01-18,7106
2019-01-19,7106
2019-01-20,7106
2019-01-21,7106
2019-01-22,7106
2019-01-23,7106
2019-01-24,7106
2019-01-25,7106
2019-01-26,7106
2019-01-27,7106
2019-01-29,7106
2019-01-30,7106
2019-01-31,7106
2019-02-01,7106
2019-02-02,7106
2019-02-03,7106
2019-02-04,7106
2019-02-05,7106
2019-02-06,7106
2019-02-07,7106
2019-02-08,7106
2019-02-09,7106
2019-02-10,7106
2019-02-11,7106
2019-02-12,7106
2019-02-13,7106
2019-02-14,7106
2019-02-15,7106
2019-02-16,7106
2019-02-17,7106
2019-02-18,7106
2019-02-19,7106
2019-02-20,7106
2019-02-21,7106
2019-02-22,7106
2019-02-23,7106
2019-02-24,7106
2019-02-25,7106
2019-02-26,7247
2019-02-27,7247
2019-02-28,7247
2019-03-01,7247
2019-03-02,7247
2019-03-03,7247
2019-03-04,7247
2019-03-05,7247
2019-03-06,7247
2019-03-07,7247
2019-03-08,7247
2019-03-09,7247
2019-03-10,7247
2019-03-11,7247
2019-03-12,7247
2019-03-13,7247
2019-03-14,7247
2019-03-15,7247
2019-03-16,7247
2019-03-17,7247
2019-03-18,7247
2019-03-19,7247
2019-03-20,7247
2019-03-21,7247
2019-03-22,7247
2019-03-23,7247
2019-03-24,7247
2019-03-25,7247
2019-03-26,7247
2019-03-27,7247
2019-03-28,7247
2019-03-29,7247
2019-03-30,7247
2019-03-31,7247
