date_obj,Enchant%20sapphire%20or%20opal price
2018-01-07,240
2018-01-08,240
2018-01-09,240
2018-01-10,240
2018-01-11,240
2018-01-12,240
2018-01-13,240
2018-01-14,240
2018-01-15,240
2018-01-16,240
2018-01-17,240
2018-01-18,240
2018-01-19,240
2018-01-20,240
2018-01-21,240
2018-01-22,240
2018-01-23,240
2018-01-25,230
2018-01-26,230
2018-01-27,230
2018-01-28,230
2018-01-29,230
2018-01-30,230
2018-01-31,230
2018-02-01,230
2018-02-02,230
2018-02-03,230
2018-02-04,230
2018-02-05,230
2018-02-06,230
2018-02-07,230
2018-02-08,230
2018-02-09,230
2018-02-10,230
2018-02-11,230
2018-02-12,230
2018-02-13,230
2018-02-14,230
2018-02-15,230
2018-02-16,230
2018-02-17,230
2018-02-18,230
2018-02-19,230
2018-02-20,230
2018-02-21,230
2018-02-22,230
2018-02-23,230
2018-02-24,230
2018-02-25,230
2018-02-26,230
2018-02-27,230
2018-02-28,230
2018-03-01,230
2018-03-02,230
2018-03-03,230
2018-03-04,230
2018-03-05,230
2018-03-06,230
2018-03-07,230
2018-03-09,230
2018-03-10,230
2018-03-11,230
2018-03-12,230
2018-03-13,230
2018-03-14,230
2018-03-15,230
2018-03-16,230
2018-03-17,230
2018-03-18,230
2018-03-20,230
2018-03-21,230
2018-03-23,230
2018-03-24,230
2018-03-25,230
2018-03-26,230
2018-03-27,230
2018-03-28,230
2018-03-29,230
2018-03-30,230
2018-03-31,230
2018-04-01,230
2018-04-02,230
2018-04-03,230
2018-04-04,230
2018-04-05,230
2018-04-06,230
2018-04-07,230
2018-04-08,230
2018-04-09,230
2018-04-10,230
2018-04-11,230
2018-04-12,230
2018-04-13,230
2018-04-14,230
2018-04-15,230
2018-04-16,230
2018-04-17,230
2018-04-18,230
2018-04-19,230
2018-04-20,230
2018-04-21,230
2018-04-22,230
2018-04-23,230
2018-04-24,230
2018-04-25,230
2018-04-26,230
2018-04-27,230
2018-04-28,230
2018-04-29,230
2018-04-30,230
2018-05-01,230
2018-05-03,230
2018-05-04,230
2018-05-05,230
2018-05-07,230
2018-05-08,230
2018-05-09,230
2018-05-10,230
2018-05-11,230
2018-05-12,230
2018-05-13,230
2018-05-14,230
2018-05-15,230
2018-05-16,230
2018-05-17,230
2018-05-18,230
2018-05-19,230
2018-05-20,222
2018-05-21,222
2018-05-22,222
2018-05-23,222
2018-05-24,222
2018-05-25,222
2018-05-26,222
2018-05-27,222
2018-05-28,222
2018-05-29,222
2018-05-30,222
2018-05-31,222
2018-06-01,222
2018-06-02,222
2018-06-03,222
2018-06-04,222
2018-06-05,222
2018-06-06,222
2018-06-07,222
2018-06-08,222
2018-06-09,222
2018-06-10,222
2018-06-11,222
2018-06-12,222
2018-06-13,222
2018-06-14,222
2018-06-15,222
2018-06-16,222
2018-06-17,222
2018-06-18,222
2018-06-19,222
2018-06-20,222
2018-06-22,222
2018-06-23,222
2018-06-24,222
2018-06-25,222
2018-06-26,222
2018-06-27,222
2018-06-28,222
2018-06-29,222
2018-06-30,222
2018-07-01,222
2018-07-02,222
2018-07-03,222
2018-07-04,222
2018-07-05,222
2018-07-06,222
2018-07-07,222
2018-07-08,222
2018-07-09,222
2018-07-10,222
2018-07-11,222
2018-07-12,222
2018-07-13,222
2018-07-14,222
2018-07-15,222
2018-07-16,222
2018-07-17,222
2018-07-18,222
2018-07-19,222
2018-07-20,222
2018-07-21,222
2018-07-22,222
2018-07-23,222
2018-07-24,222
2018-07-25,222
2018-07-26,222
2018-07-27,222
2018-07-28,222
2018-07-29,222
2018-07-30,222
2018-07-31,222
2018-08-01,222
2018-08-02,222
2018-08-03,222
2018-08-04,222
2018-08-05,222
2018-08-06,222
2018-08-07,222
2018-08-08,222
2018-08-09,222
2018-08-10,222
2018-08-11,222
2018-08-12,222
2018-08-14,222
2018-08-16,222
2018-08-17,222
2018-08-18,222
2018-08-19,222
2018-08-20,222
2018-08-21,222
2018-08-22,222
2018-08-23,222
2018-08-24,222
2018-08-25,222
2018-08-26,222
2018-08-27,222
2018-08-28,222
2018-08-29,222
2018-08-30,222
2018-08-31,222
2018-09-01,222
2018-09-02,222
2018-09-03,222
2018-09-04,222
2018-09-05,222
2018-09-06,222
2018-09-07,222
2018-09-08,222
2018-09-09,222
2018-09-10,222
2018-09-11,222
2018-09-12,222
2018-09-13,222
2018-09-14,222
2018-09-15,222
2018-09-16,222
2018-09-17,222
2018-09-18,222
2018-09-19,222
2018-09-20,222
2018-09-21,222
2018-09-22,222
2018-09-23,222
2018-09-24,222
2018-09-25,219
2018-09-26,219
2018-09-27,219
2018-09-28,219
2018-09-29,219
2018-09-30,219
2018-10-01,219
2018-10-02,219
2018-10-03,219
2018-10-04,219
2018-10-05,219
2018-10-06,219
2018-10-07,219
2018-10-08,219
2018-10-09,219
2018-10-10,219
2018-10-11,219
2018-10-12,219
2018-10-13,219
2018-10-14,219
2018-10-15,219
2018-10-16,219
2018-10-17,219
2018-10-18,219
2018-10-19,219
2018-10-20,219
2018-10-21,219
2018-10-22,219
2018-10-23,219
2018-10-24,219
2018-10-25,219
2018-10-26,219
2018-10-27,219
2018-10-28,219
2018-10-29,219
2018-10-30,219
2018-10-31,219
2018-11-01,219
2018-11-03,219
2018-11-04,219
2018-11-05,219
2018-11-06,219
2018-11-07,219
2018-11-08,219
2018-11-09,219
2018-11-10,219
2018-11-11,219
2018-11-12,219
2018-11-13,219
2018-11-14,219
2018-11-15,219
2018-11-16,219
2018-11-17,219
2018-11-18,219
2018-11-19,219
2018-11-20,219
2018-11-21,219
2018-11-22,219
2018-11-23,219
