date_obj,Orange%20boater price
2018-08-17,1603
2018-08-18,1603
2018-08-19,1603
2018-08-20,1613
2018-08-21,1613
2018-08-22,1617
2018-08-23,1617
2018-08-24,1595
2018-08-25,1595
2018-08-26,1611
2018-08-27,1611
2018-08-28,1630
2018-08-29,1630
2018-08-30,1630
2018-08-31,1620
2018-09-01,1620
2018-09-02,1631
2018-09-03,1631
2018-09-04,1627
2018-09-05,1627
2018-09-06,1627
2018-09-07,1676
2018-09-08,1676
2018-09-09,1646
2018-09-10,1646
2018-09-11,1654
2018-09-12,1654
2018-09-13,1654
2018-09-14,1654
2018-09-15,1654
2018-09-16,1686
2018-09-17,1686
2018-09-18,1732
2018-09-19,1732
2018-09-20,1732
2018-09-21,1718
2018-09-22,1718
2018-09-23,1726
2018-09-24,1726
2018-09-25,1726
2018-09-26,1683
2018-09-27,1683
2018-09-28,1712
2018-09-29,1712
2018-09-30,1712
2018-10-02,1771
2018-10-03,1818
2018-10-04,1818
2018-10-05,1818
2018-10-06,1836
2018-10-07,1836
2018-10-08,1836
2018-10-09,1855
2018-10-10,1855
2018-10-11,1855
2018-10-12,1928
2018-10-13,1928
2018-10-14,2001
2018-10-15,2001
2018-10-16,1964
2018-10-17,1964
2018-10-18,1974
2018-10-19,1974
2018-10-20,1974
2018-10-21,2065
2018-10-22,2065
2018-10-23,2144
2018-10-24,2144
2018-10-25,2175
2018-10-26,2175
2018-10-27,2249
2018-10-28,2249
2018-10-29,2269
2018-10-30,2269
2018-10-31,2321
2018-11-01,2321
2018-11-03,2328
2018-11-04,2328
2018-11-05,2291
2018-11-06,2291
2018-11-07,2291
2018-11-08,2219
2018-11-09,2219
2018-11-10,2143
2018-11-11,2143
2018-11-12,2079
2018-11-13,2079
2018-11-15,2022
2018-11-16,2022
2018-11-17,2036
2018-11-18,2036
2018-11-19,2018
2018-11-20,2019
2018-11-21,2019
2018-11-22,1997
2018-11-23,1997
2018-11-24,1958
2018-11-25,1912
2018-11-26,1912
2018-11-27,1847
2018-11-28,1847
2018-11-29,1820
2018-12-01,1759
2018-12-02,1759
2018-12-03,1730
2018-12-04,1730
2018-12-05,1717
2018-12-07,1715
2018-12-09,1661
2018-12-10,1577
2018-12-11,1577
2018-12-12,1507
2018-12-13,1507
2018-12-14,1457
2018-12-15,1457
2018-12-16,1402
2018-12-17,1402
2018-12-18,1394
2018-12-19,1394
2018-12-20,1365
2018-12-21,1365
2018-12-22,1327
2018-12-23,1326
2018-12-24,1326
2018-12-25,1267
2018-12-26,1267
2018-12-27,1204
2018-12-28,1204
2018-12-29,1147
2018-12-30,1147
2018-12-31,1094
2019-01-01,1094
2019-01-02,1052
2019-01-03,1052
2019-01-04,1041
2019-01-05,1041
2019-01-06,991
2019-01-08,948
2019-01-10,923
2019-01-11,923
2019-01-12,881
2019-01-13,881
2019-01-14,873
2019-01-15,873
2019-01-16,874
2019-01-17,874
2019-01-18,893
2019-01-19,893
2019-01-20,884
2019-01-22,858
2019-01-23,858
2019-01-24,828
2019-01-25,828
2019-01-26,852
2019-01-28,877
2019-01-29,906
2019-01-30,906
2019-01-31,892
2019-02-01,892
2019-02-02,873
2019-02-03,874
2019-02-04,874
2019-02-05,898
2019-02-06,898
2019-02-07,937
2019-02-08,937
2019-02-09,971
2019-02-10,971
2019-02-11,975
2019-02-12,975
2019-02-13,991
2019-02-14,991
2019-02-15,996
2019-02-16,996
2019-02-17,1022
2019-02-18,1022
2019-02-19,1055
2019-02-20,1055
2019-02-21,1094
2019-02-22,1094
2019-02-23,1108
2019-02-24,1108
2019-02-25,1142
2019-02-26,1142
2019-02-27,1179
2019-02-28,1179
2019-03-01,1200
2019-03-02,1200
2019-03-03,1184
2019-03-04,1184
2019-03-05,1158
2019-03-06,1113
2019-03-07,1113
2019-03-08,1099
2019-03-09,1099
2019-03-10,1066
2019-03-11,1066
2019-03-12,1056
2019-03-13,1056
2019-03-14,1062
2019-03-15,1062
2019-03-16,1089
2019-03-17,1078
2019-03-18,1078
2019-03-19,1078
2019-03-20,1090
2019-03-21,1090
2019-03-22,1077
2019-03-23,1077
2019-03-24,1080
2019-03-25,1080
2019-03-26,1058
2019-03-27,1058
2019-03-28,1039
2019-03-29,1039
2019-03-30,1048
2019-03-31,1048
2019-04-01,1066
