date_obj,Ensouled%20dagannoth%20head price
2019-06-23,2858
2019-06-24,2749
2019-06-25,2787
2019-06-26,2886
2019-06-27,3011
2019-06-28,3003
2019-06-29,2865
2019-06-30,2831
2019-07-01,2842
2019-07-02,2821
2019-07-03,2825
2019-07-04,2835
2019-07-05,2872
2019-07-06,2914
2019-07-07,3040
2019-07-08,2960
2019-07-09,3023
2019-07-10,2953
2019-07-11,2883
2019-07-12,2917
2019-07-13,2837
2019-07-14,2931
2019-07-15,2873
2019-07-16,2915
2019-07-17,2973
2019-07-18,2964
2019-07-19,2951
2019-07-20,2891
2019-07-21,2809
2019-07-22,2775
2019-07-23,2841
2019-07-24,2807
2019-07-25,2783
2019-07-26,2904
2019-07-27,2888
2019-07-28,2878
2019-07-29,2813
2019-07-30,2816
2019-07-31,2778
2019-08-01,2789
2019-08-02,2852
2019-08-03,2919
2019-08-04,3065
2019-08-05,3059
2019-08-06,3140
2019-08-07,3076
2019-08-08,3000
2019-08-09,3013
2019-08-10,2987
2019-08-11,3137
2019-08-12,3168
2019-08-13,3186
2019-08-14,3114
2019-08-15,3046
2019-08-16,3066
2019-08-17,3103
2019-08-18,3054
2019-08-19,2993
2019-08-20,2999
2019-08-21,3030
2019-08-22,3052
2019-08-23,3029
2019-08-24,3073
2019-08-24,3073
2019-08-25,3099
2019-08-25,3099
2019-08-26,3102
2019-08-27,3105
2019-08-27,3105
2019-08-28,3053
2019-08-29,2955
2019-08-30,2935
2019-08-31,2943
2019-09-01,3038
2019-09-02,3105
2019-09-03,3232
2019-09-04,3117
2019-09-05,3136
2019-09-06,3178
2019-09-07,3250
2019-09-08,3196
2019-09-09,3206
2019-09-10,3155
2019-09-11,3006
2019-09-12,3008
2019-09-13,3037
2019-09-14,3001
2019-09-15,3070
2019-09-16,2997
2019-09-17,2925
2019-09-18,2886
2019-09-19,2849
2019-09-20,2940
2019-09-21,3047
2019-09-22,3022
2019-09-23,3004
2019-09-24,2995
2019-09-25,2989
2019-09-26,2910
2019-09-27,2865
2019-09-28,2855
2019-09-29,2915
2019-09-30,2887
2019-10-01,2846
2019-10-02,2800
2019-10-03,2815
2019-10-04,2824
2019-10-05,2791
2019-10-06,2748
2019-10-07,2694
2019-10-08,2680
2019-10-09,2725
2019-10-10,2744
2019-10-11,2665
2019-10-12,2643
2019-10-13,2728
2019-10-14,2701
2019-10-15,2651
2019-10-16,2763
2019-10-17,2902
2019-10-18,3031
2019-10-19,3049
2019-10-20,3048
2019-10-21,3059
2019-10-22,3036
2019-10-23,3091
2019-10-24,3207
2019-10-25,3234
2019-10-26,3231
2019-10-27,3282
2019-10-28,3321
2019-10-29,3164
2019-10-30,3040
2019-10-31,2908
2019-11-01,2800
2019-11-02,2847
2019-11-03,2747
2019-11-04,2748
2019-11-05,2634
2019-11-06,2645
2019-11-07,2741
2019-11-08,2837
2019-11-09,2882
2019-11-10,2839
2019-11-11,2818
2019-11-12,2887
2019-11-13,2932
2019-11-14,2966
2019-11-15,2863
2019-11-16,2826
2019-11-17,2848
2019-11-18,2888
2019-11-19,2949
2019-11-20,2896
2019-11-21,2840
2019-11-22,2947
2019-11-23,3043
2019-11-24,3130
2019-11-25,3276
2019-11-26,3329
2019-11-27,3414
2019-11-28,3395
2019-11-29,3337
2019-11-30,3405
2019-12-01,3512
2019-12-02,3387
2019-12-03,3299
2019-12-04,3459
2019-12-05,3632
2019-12-06,3773
2019-12-07,3832
2019-12-08,3777
2019-12-09,3626
2019-12-10,3530
2019-12-11,3403
2019-12-12,3277
2019-12-13,3412
2019-12-14,3583
2019-12-15,3725
2019-12-16,3798
2019-12-17,3629
2019-12-18,3489
2019-12-19,3500
2019-12-20,3449
2019-12-21,3458
2019-12-22,3498
2019-12-23,3394
