date_obj,Runite%20bolts price
2019-04-25,328
2019-04-26,330
2019-04-27,328
2019-04-28,316
2019-04-29,313
2019-04-30,317
2019-05-01,320
2019-05-02,324
2019-05-03,328
2019-05-04,334
2019-05-05,334
2019-05-06,332
2019-05-07,323
2019-05-08,320
2019-05-09,319
2019-05-10,324
2019-05-11,332
2019-05-12,331
2019-05-13,336
2019-05-14,340
2019-05-15,343
2019-05-16,348
2019-05-17,353
2019-05-18,358
2019-05-19,362
2019-05-20,364
2019-05-21,364
2019-05-22,370
2019-05-23,374
2019-05-24,376
2019-05-25,381
2019-05-26,386
2019-05-27,400
2019-05-28,403
2019-05-29,399
2019-05-30,398
2019-05-31,394
2019-06-01,391
2019-06-02,391
2019-06-03,386
2019-06-04,388
2019-06-05,394
2019-06-06,401
2019-06-07,411
2019-06-08,427
2019-06-09,434
2019-06-10,435
2019-06-11,437
2019-06-12,431
2019-06-13,420
2019-06-14,410
2019-06-15,406
2019-06-16,401
2019-06-17,396
2019-06-18,391
2019-06-19,388
2019-06-20,389
2019-06-21,390
2019-06-22,389
2019-06-23,388
2019-06-24,385
2019-06-25,385
2019-06-26,386
2019-06-27,388
2019-06-28,387
2019-06-29,389
2019-06-30,391
2019-07-01,390
2019-07-02,394
2019-07-03,396
2019-07-04,396
2019-07-05,392
2019-07-06,394
2019-07-07,398
2019-07-08,399
2019-07-09,407
2019-07-10,418
2019-07-11,427
2019-07-12,435
2019-07-13,443
2019-07-14,448
2019-07-15,448
2019-07-16,451
2019-07-17,449
2019-07-18,445
2019-07-19,451
2019-07-20,447
2019-07-21,447
2019-07-22,438
2019-07-23,446
2019-07-24,448
2019-07-25,444
2019-07-26,439
2019-07-27,438
2019-07-28,449
2019-07-29,449
2019-07-30,453
2019-07-31,456
2019-08-01,458
2019-08-02,461
2019-08-03,470
2019-08-04,482
2019-08-05,491
2019-08-06,501
2019-08-07,502
2019-08-08,489
2019-08-09,483
2019-08-10,475
2019-08-11,471
2019-08-12,477
2019-08-13,475
2019-08-14,462
2019-08-15,446
2019-08-16,429
2019-08-17,425
2019-08-18,428
2019-08-19,430
2019-08-20,419
2019-08-21,422
2019-08-22,429
2019-08-23,431
2019-08-24,436
2019-08-24,436
2019-08-25,440
2019-08-25,440
2019-08-26,447
2019-08-26,447
2019-08-27,443
2019-08-27,443
2019-08-28,453
