date_obj,Raw%20anglerfish price
2018-05-31,1277
2018-06-01,1298
2018-06-02,1300
2018-06-03,1306
2018-06-04,1305
2018-06-05,1293
2018-06-06,1265
2018-06-07,1225
2018-06-08,1179
2018-06-09,1135
2018-06-10,1131
2018-06-11,1141
2018-06-12,1127
2018-06-13,1125
2018-06-14,1087
2018-06-15,1072
2018-06-16,1112
2018-06-17,1105
2018-06-18,1101
2018-06-19,1092
2018-06-20,1092
2018-06-21,1132
2018-06-22,1165
2018-06-23,1190
2018-06-24,1191
2018-06-25,1175
2018-06-26,1156
2018-06-27,1151
2018-06-28,1162
2018-06-29,1158
2018-06-30,1170
2018-07-01,1202
2018-07-02,1231
2018-07-03,1256
2018-07-04,1278
2018-07-05,1310
2018-07-06,1280
2018-07-07,1253
2018-07-08,1257
2018-07-09,1268
2018-07-10,1308
2018-07-11,1299
2018-07-12,1277
2018-07-13,1253
2018-07-14,1267
2018-07-15,1260
2018-07-16,1285
2018-07-17,1324
2018-07-18,1306
2018-07-19,1299
2018-07-20,1284
2018-07-21,1310
2018-07-22,1326
2018-07-23,1323
2018-07-24,1332
2018-07-25,1382
2018-07-26,1404
2018-07-27,1407
2018-07-28,1433
2018-07-29,1442
2018-07-30,1452
2018-07-31,1499
2018-08-01,1501
2018-08-02,1498
2018-08-03,1505
2018-08-04,1529
2018-08-05,1528
2018-08-06,1564
2018-08-07,1597
2018-08-08,1581
2018-08-09,1572
2018-08-10,1601
2018-08-11,1630
2018-08-12,1691
2018-08-14,1695
2018-08-16,1758
2018-08-17,1724
2018-08-18,1702
2018-08-19,1689
2018-08-20,1693
2018-08-21,1696
2018-08-22,1709
2018-08-23,1711
2018-08-24,1733
2018-08-25,1754
2018-08-26,1758
2018-08-27,1766
2018-08-28,1776
2018-08-29,1759
2018-08-30,1762
2018-08-31,1748
2018-09-01,1760
2018-09-02,1784
2018-09-03,1769
2018-09-04,1710
2018-09-05,1631
2018-09-06,1631
2018-09-07,1587
2018-09-08,1591
2018-09-09,1597
2018-09-10,1612
2018-09-11,1597
2018-09-12,1541
2018-09-13,1540
2018-09-14,1507
2018-09-15,1492
2018-09-16,1479
2018-09-17,1447
2018-09-18,1430
2018-09-19,1450
2018-09-20,1492
2018-09-21,1521
2018-09-22,1506
2018-09-23,1498
2018-09-24,1520
2018-09-25,1557
2018-09-26,1575
2018-09-27,1592
2018-09-28,1587
2018-09-29,1585
2018-09-30,1570
2018-10-02,1500
2018-10-03,1523
2018-10-04,1528
2018-10-05,1531
2018-10-06,1524
2018-10-07,1528
2018-10-08,1570
2018-10-09,1570
2018-10-10,1574
2018-10-11,1595
2018-10-12,1567
2018-10-13,1540
2018-10-14,1530
2018-10-15,1578
2018-10-16,1580
2018-10-17,1597
2018-10-18,1627
2018-10-19,1650
2018-10-20,1697
2018-10-21,1697
2018-10-22,1706
2018-10-23,1709
2018-10-24,1715
2018-10-25,1716
2018-10-26,1716
2018-10-27,1751
2018-10-28,1819
2018-10-29,1804
2018-10-30,1775
2018-10-31,1724
2018-11-01,1667
2018-11-03,1654
2018-11-04,1697
2018-11-05,1701
2018-11-06,1688
2018-11-07,1668
2018-11-08,1652
2018-11-09,1639
2018-11-10,1618
2018-11-11,1644
2018-11-12,1645
2018-11-13,1645
2018-11-14,1658
2018-11-15,1671
2018-11-16,1674
2018-11-17,1654
2018-11-18,1632
2018-11-19,1631
2018-11-20,1633
2018-11-21,1660
2018-11-22,1611
2018-11-23,1578
2018-11-24,1515
2018-11-25,1457
2018-11-26,1481
2018-11-27,1481
2018-11-28,1471
2018-11-29,1490
2018-12-01,1458
2018-12-02,1457
2018-12-03,1472
2018-12-05,1499
2018-12-07,1506
2018-12-09,1445
2018-12-10,1471
2018-12-11,1467
2018-12-12,1449
2018-12-13,1445
2018-12-14,1416
2018-12-15,1445
2018-12-16,1411
2018-12-17,1374
2018-12-18,1351
2018-12-19,1353
2018-12-20,1365
2018-12-21,1366
2018-12-22,1382
2018-12-23,1366
2018-12-24,1366
2018-12-25,1384
2018-12-26,1391
2018-12-27,1370
2018-12-28,1350
2018-12-29,1333
2018-12-30,1375
2018-12-31,1408
2019-01-01,1425
2019-01-02,1456
2019-01-03,1467
2019-01-04,1462
2019-01-05,1458
2019-01-06,1477
2019-01-08,1481
2019-01-10,1448
2019-01-11,1466
2019-01-12,1480
2019-01-13,1538
2019-01-14,1564
2019-01-15,1599
2019-01-16,1571
2019-01-17,1535
2019-01-18,1545
2019-01-19,1567
2019-01-20,1561
2019-01-21,1546
2019-01-22,1532
2019-01-23,1531
2019-01-24,1529
2019-01-25,1531
2019-01-26,1543
2019-01-27,1572
2019-01-28,1578
2019-01-29,1587
2019-01-30,1561
2019-01-31,1573
2019-02-01,1559
2019-02-02,1547
2019-02-03,1533
2019-02-04,1540
2019-02-05,1505
2019-02-06,1474
2019-02-07,1427
2019-02-08,1436
2019-02-09,1448
2019-02-10,1470
2019-02-11,1462
2019-02-12,1472
2019-02-13,1448
2019-02-14,1438
2019-02-15,1398
2019-02-16,1349
2019-02-17,1371
2019-02-18,1380
2019-02-19,1376
2019-02-20,1371
2019-02-21,1353
2019-02-22,1370
2019-02-23,1337
2019-02-24,1341
2019-02-25,1299
2019-02-26,1294
2019-02-27,1297
2019-02-28,1296
2019-03-01,1279
2019-03-02,1276
2019-03-03,1285
2019-03-04,1282
2019-03-05,1255
2019-03-06,1239
2019-03-07,1254
2019-03-08,1268
2019-03-09,1293
2019-03-10,1321
2019-03-11,1346
2019-03-12,1337
2019-03-13,1336
2019-03-14,1328
2019-03-15,1328
2019-03-16,1312
2019-03-17,1319
2019-03-18,1328
2019-03-19,1339
2019-03-20,1326
2019-03-21,1303
2019-03-22,1295
2019-03-23,1308
2019-03-24,1329
2019-03-25,1339
2019-03-26,1346
2019-03-27,1348
2019-03-28,1331
2019-03-29,1294
2019-03-30,1301
