date_obj,Larupia%20hat price
2019-01-03,2192
2019-01-04,2192
2019-01-05,2156
2019-01-06,2156
2019-01-08,2059
2019-01-10,2031
2019-01-11,2031
2019-01-12,2000
2019-01-13,2000
2019-01-14,2010
2019-01-15,2010
2019-01-16,2055
2019-01-17,2055
2019-01-18,2055
2019-01-19,2058
2019-01-20,2058
2019-01-22,2000
2019-01-23,2018
2019-01-24,2018
2019-01-25,2097
2019-01-26,2097
2019-01-28,2132
2019-01-29,2062
2019-01-30,2062
2019-01-31,2062
2019-02-01,2019
2019-02-02,2019
2019-02-03,1953
2019-02-04,1953
2019-02-05,1953
2019-02-06,1903
2019-02-07,1903
2019-02-08,1858
2019-02-09,1858
2019-02-10,1858
2019-02-11,1811
2019-02-12,1811
2019-02-13,1761
2019-02-14,1761
2019-02-15,1761
2019-02-16,1717
2019-02-17,1717
2019-02-18,1637
2019-02-19,1637
2019-02-20,1637
2019-02-21,1562
2019-02-22,1562
2019-02-23,1562
2019-02-24,1509
2019-02-25,1509
2019-02-26,1509
2019-02-27,1488
2019-02-28,1488
2019-03-01,1488
2019-03-02,1554
2019-03-03,1554
2019-03-04,1631
2019-03-05,1631
2019-03-06,1713
2019-03-07,1713
2019-03-08,1713
2019-03-09,1713
2019-03-10,1799
2019-03-11,1799
2019-03-12,1799
2019-03-13,1888
2019-03-14,1888
2019-03-15,1888
2019-03-16,1974
2019-03-17,1974
2019-03-18,1974
2019-03-19,2023
2019-03-20,2023
2019-03-21,2023
2019-03-22,2049
2019-03-23,2049
2019-03-24,2030
2019-03-25,2030
2019-03-26,2030
2019-03-27,2030
2019-03-28,2068
2019-03-29,2068
2019-03-30,2068
2019-03-31,2068
2019-04-01,2073
2019-04-02,2073
