date_obj,Old%20school%20bond price
2018-05-18,3797438
2018-05-19,3797375
2018-05-20,3814853
2018-05-21,3917649
2018-05-22,3983937
2018-05-23,4032293
2018-05-24,3944276
2018-05-25,3822930
2018-05-26,3773021
2018-05-27,3820986
2018-05-28,3909145
2018-05-29,4043331
2018-05-30,4045947
2018-05-31,3965179
2018-06-01,3890202
2018-06-02,3853150
2018-06-03,3896384
2018-06-04,3973647
2018-06-05,4110929
2018-06-06,4095430
2018-06-07,3948602
2018-06-08,3891423
2018-06-09,3836460
2018-06-10,3863898
2018-06-11,3926944
2018-06-12,3969351
2018-06-13,3946951
2018-06-14,3882757
2018-06-15,3821794
2018-06-16,3845453
2018-06-17,3909825
2018-06-18,4013855
2018-06-19,4104822
2018-06-20,4155518
2018-06-21,4131136
2018-06-22,4064362
2018-06-23,4099316
2018-06-24,4109839
2018-06-25,4265003
2018-06-26,4390641
2018-06-27,4391758
2018-06-28,4332330
2018-06-29,4163471
2018-06-30,4160124
2018-07-01,4224826
2018-07-02,4313467
2018-07-03,4325043
2018-07-04,4358659
2018-07-05,4399011
2018-07-06,4264844
2018-07-07,4120360
2018-07-08,4021326
2018-07-09,4082380
2018-07-10,4194512
2018-07-11,4203484
2018-07-12,4154325
2018-07-13,4079457
2018-07-14,4046961
2018-07-15,4006355
2018-07-16,4111713
2018-07-17,4176770
2018-07-18,4230728
2018-07-19,4192668
2018-07-20,4082227
2018-07-21,3999850
2018-07-22,3983453
2018-07-23,4123046
2018-07-24,4183300
2018-07-25,4226432
2018-07-26,4069232
2018-07-27,3886058
2018-07-28,3739424
2018-07-29,3730088
2018-07-30,3789303
2018-07-31,3765251
2018-08-01,3669456
2018-08-02,3589952
2018-08-03,3453660
2018-08-04,3408481
2018-08-05,3448452
2018-08-06,3488741
2018-08-07,3483292
2018-08-08,3400699
2018-08-09,3312471
2018-08-10,3244118
2018-08-11,3178956
2018-08-12,3232745
2018-08-14,3401597
2018-08-16,3279869
2018-08-17,3211146
2018-08-18,3165435
2018-08-19,3199304
2018-08-20,3319726
2018-08-21,3349241
2018-08-22,3340944
2018-08-23,3303265
2018-08-24,3233981
2018-08-25,3219139
2018-08-26,3265172
2018-08-27,3375568
2018-08-28,3494343
2018-08-29,3589394
2018-08-30,3605396
2018-08-31,3473768
2018-09-01,3393904
2018-09-02,3427901
2018-09-03,3465283
2018-09-04,3506982
2018-09-05,3546946
2018-09-06,3568107
2018-09-07,3469010
2018-09-08,3349132
2018-09-09,3358717
2018-09-10,3474984
2018-09-11,3560868
2018-09-12,3595341
2018-09-13,3610056
2018-09-14,3550420
2018-09-15,3586164
2018-09-16,3641040
2018-09-17,3778122
2018-09-18,3869459
2018-09-19,3916849
2018-09-20,3815440
2018-09-21,3692279
2018-09-22,3624439
2018-09-23,3657085
2018-09-24,3768381
2018-09-25,3909459
2018-09-26,3956911
2018-09-27,3859786
2018-09-28,3716868
2018-09-29,3654277
2018-09-30,3640841
2018-10-02,3889334
2018-10-03,3942782
2018-10-04,3886027
2018-10-05,3810629
2018-10-06,3765057
2018-10-07,3875682
2018-10-08,3982963
2018-10-09,4048417
2018-10-10,4076582
2018-10-11,4001685
2018-10-12,3884291
2018-10-13,3930014
2018-10-14,4012832
2018-10-15,4100447
2018-10-16,4114526
2018-10-17,4174788
2018-10-18,4146810
2018-10-19,4091084
2018-10-20,3998014
2018-10-21,3989999
2018-10-22,4080504
2018-10-23,4146462
2018-10-24,4209910
2018-10-25,4195872
2018-10-26,4066877
2018-10-27,3998452
2018-10-28,4098533
2018-10-29,4186105
2018-10-30,4295220
2018-10-31,4155491
2018-11-01,3982640
2018-11-03,3654641
2018-11-04,3591493
2018-11-05,3615398
2018-11-06,3609029
2018-11-07,3523647
2018-11-08,3412396
2018-11-09,3277668
2018-11-10,3202825
2018-11-11,3228419
2018-11-12,3312410
2018-11-13,3341892
2018-11-15,3312022
2018-11-16,3311182
2018-11-17,3270235
2018-11-18,3297417
2018-11-19,3333235
2018-11-20,3302230
2018-11-21,3242691
2018-11-22,3151680
