date_obj,Lesser%20demon%20mask price
2019-09-10,17875
2019-09-11,17875
2019-09-12,17875
2019-09-13,17875
2019-09-14,18290
2019-09-15,18290
2019-09-16,18290
2019-09-17,18290
2019-09-18,18476
2019-09-19,18476
2019-09-20,18476
2019-09-21,18476
2019-09-22,18774
2019-09-23,18774
2019-09-24,18774
2019-09-25,18774
2019-09-26,18795
2019-09-27,18795
2019-09-28,18795
2019-09-29,18795
2019-09-30,18264
2019-10-01,18264
2019-10-02,18264
2019-10-03,18264
2019-10-04,17688
2019-10-05,17688
2019-10-06,17688
2019-10-07,17211
2019-10-08,17211
2019-10-09,17211
2019-10-10,17211
2019-10-11,16893
2019-10-12,16893
2019-10-13,16893
2019-10-14,16684
2019-10-15,16684
2019-10-16,16684
2019-10-17,16684
2019-10-18,17148
2019-10-19,17148
2019-10-20,17148
2019-10-21,17148
2019-10-22,17170
2019-10-23,17170
2019-10-24,17170
2019-10-25,17123
2019-10-26,17123
2019-10-27,17123
2019-10-28,17342
2019-10-29,17342
2019-10-30,17342
2019-10-31,17342
2019-11-01,17342
2019-11-02,17325
2019-11-03,17325
2019-11-04,17325
2019-11-05,17325
2019-11-06,17325
2019-11-07,17238
2019-11-08,17238
2019-11-09,17238
2019-11-10,17238
2019-11-11,17791
2019-11-12,17791
2019-11-13,17791
2019-11-14,17791
2019-11-15,17791
2019-11-16,17655
2019-11-17,17655
2019-11-18,17655
2019-11-19,17655
2019-11-20,17860
2019-11-21,17860
2019-11-22,17860
2019-11-23,17860
2019-11-24,17860
2019-11-25,17901
2019-11-26,17901
2019-11-27,17901
2019-11-28,17901
2019-11-29,17901
2019-11-30,18356
2019-12-01,18356
2019-12-02,18356
2019-12-03,18356
2019-12-04,18356
2019-12-05,18356
2019-12-06,18056
2019-12-07,18056
2019-12-08,18056
2019-12-09,18056
2019-12-10,18056
2019-12-11,18561
2019-12-12,18561
2019-12-13,18561
2019-12-14,18561
2019-12-15,18561
2019-12-16,18561
2019-12-17,18632
2019-12-18,18632
2019-12-19,18632
2019-12-20,18632
2019-12-21,18632
2019-12-22,18499
2019-12-23,18499
2019-12-24,18499
2019-12-25,18499
2019-12-26,18499
2019-12-27,18498
2019-12-28,18498
2019-12-29,18498
2019-12-30,18498
2019-12-31,18498
2020-01-01,17734
2020-01-02,17734
2020-01-03,17734
2020-01-04,17734
2020-01-05,17416
2020-01-06,17416
2020-01-07,17416
2020-01-08,17416
2020-01-09,17098
2020-01-10,17098
2020-01-11,17098
2020-01-12,17098
