date_obj,Gilded%20med%20helm price
2019-08-10,382294
2019-08-11,382294
2019-08-12,380315
2019-08-13,380315
2019-08-14,378381
2019-08-15,378314
2019-08-16,378516
2019-08-17,378516
2019-08-18,379441
2019-08-19,379441
2019-08-20,387775
2019-08-21,387775
2019-08-22,395266
2019-08-23,395266
2019-08-24,403771
2019-08-24,403771
2019-08-25,403771
2019-08-25,403771
2019-08-26,418618
2019-08-27,418618
2019-08-27,418618
2019-08-28,424997
2019-08-29,424997
2019-08-30,437587
2019-08-31,437587
2019-09-01,439936
2019-09-02,439936
2019-09-03,450073
2019-09-04,449826
2019-09-05,449826
2019-09-06,439650
2019-09-07,430551
2019-09-08,429358
2019-09-09,429358
2019-09-10,422109
2019-09-11,418789
2019-09-12,418789
2019-09-13,429163
2019-09-14,448539
2019-09-15,468104
2019-09-16,482513
2019-09-17,482513
2019-09-18,479613
2019-09-19,479613
2019-09-20,470922
2019-09-21,467215
2019-09-22,462785
2019-09-23,461763
2019-09-24,461763
2019-09-25,460173
2019-09-26,461541
2019-09-27,461541
2019-09-28,463590
2019-09-29,463590
2019-09-30,470946
2019-10-01,475137
2019-10-02,475137
2019-10-03,469339
2019-10-04,469339
2019-10-05,464480
2019-10-06,462409
2019-10-07,462409
2019-10-08,457016
2019-10-09,457016
2019-10-10,455508
2019-10-11,455508
2019-10-12,455887
2019-10-13,452025
2019-10-14,452025
2019-10-15,452918
2019-10-16,452918
2019-10-17,452908
2019-10-18,450993
2019-10-19,448395
2019-10-20,448395
2019-10-21,443555
2019-10-22,443555
2019-10-23,437332
2019-10-24,437332
2019-10-25,433887
2019-10-26,433908
2019-10-27,433908
2019-10-28,428966
2019-10-29,428966
2019-10-30,424378
2019-10-31,413321
2019-11-01,411269
2019-11-02,407824
2019-11-03,412580
2019-11-04,412580
2019-11-05,409884
2019-11-06,409884
2019-11-07,416101
2019-11-08,422988
2019-11-09,422541
2019-11-10,425932
2019-11-11,422147
2019-11-12,422147
2019-11-13,422647
2019-11-14,422647
2019-11-15,417746
2019-11-16,414899
2019-11-17,414899
2019-11-18,410808
2019-11-19,410808
2019-11-20,414997
2019-11-21,414997
2019-11-22,420628
