date_obj,Red%20d'hide%20chaps price
2017-09-17,3826
2017-09-19,3843
2017-09-20,3856
2017-09-21,3902
2017-09-22,3984
2017-09-23,3928
2017-09-24,3873
2017-09-25,3859
2017-09-26,3805
2017-09-27,3710
2017-09-28,3714
2017-09-29,3590
2017-09-30,3483
2017-10-01,3383
2017-10-02,3316
2017-10-03,3280
2017-10-04,3315
2017-10-05,3256
2017-10-06,3159
2017-10-07,3163
2017-10-08,3142
2017-10-09,2999
2017-10-10,3078
2017-10-11,3086
2017-10-12,3101
2017-10-13,3198
2017-10-14,3208
2017-10-15,3316
2017-10-16,3329
2017-10-17,3306
2017-10-18,3267
2017-10-19,3234
2017-10-20,3186
2017-10-21,3163
2017-10-22,3193
2017-10-23,3259
2017-10-24,3183
2017-10-25,3205
2017-10-26,3309
2017-10-27,3243
2017-10-28,3193
2017-10-29,3257
2017-10-30,3309
2017-10-31,3348
2017-11-01,3396
2017-11-02,3255
2017-11-03,3272
2017-11-04,3200
2017-11-05,3136
2017-11-06,3179
2017-11-07,3267
2017-11-08,3318
2017-11-09,3256
2017-11-10,3286
2017-11-11,3390
2017-11-12,3476
2017-11-13,3524
2017-11-14,3463
2017-11-15,3362
2017-11-16,3399
2017-11-17,3485
2017-11-18,3393
2017-11-19,3423
2017-11-20,3434
2017-11-21,3396
2017-11-22,3391
2017-11-23,3394
2017-11-24,3412
2017-11-25,3367
2017-11-26,3336
2017-11-27,3331
2017-11-28,3237
2017-11-29,3281
2017-11-30,3307
2017-12-01,3228
2017-12-02,3199
2017-12-03,3261
2017-12-04,3302
2017-12-05,3243
2017-12-06,3255
2017-12-07,3277
2017-12-08,3120
2017-12-09,3092
2017-12-10,3053
2017-12-11,3041
2017-12-12,3018
2017-12-14,3135
2017-12-15,3192
2017-12-16,3229
2017-12-17,3291
2017-12-18,3192
2017-12-19,3081
2017-12-20,3187
2017-12-21,3187
2017-12-22,3331
2017-12-23,3446
2017-12-24,3527
2017-12-25,3506
2017-12-26,3380
2017-12-27,3316
2017-12-28,3339
2017-12-29,3315
2017-12-30,3369
2017-12-31,3477
2018-01-01,3514
2018-01-02,3621
2018-01-03,3586
2018-01-04,3650
2018-01-05,3565
2018-01-06,3545
2018-01-07,3462
2018-01-08,3339
2018-01-09,3241
2018-01-10,3229
2018-01-11,3182
2018-01-12,3110
2018-01-13,3043
2018-01-14,3051
2018-01-15,3054
2018-01-16,3014
2018-01-17,2936
2018-01-18,2987
2018-01-19,3101
2018-01-20,3138
2018-01-21,3206
2018-01-22,3134
2018-01-23,3176
2018-01-24,3075
2018-01-25,2960
2018-01-26,2942
2018-01-27,2911
2018-01-28,3021
2018-01-29,3018
2018-01-31,3168
2018-02-01,3281
2018-02-02,3298
2018-02-03,3222
2018-02-04,3318
2018-02-05,3406
2018-02-06,3453
2018-02-07,3368
2018-02-08,3449
2018-02-09,3443
2018-02-10,3364
2018-02-11,3400
2018-02-12,3342
2018-02-13,3289
2018-02-14,3257
2018-02-15,3202
2018-02-16,3156
2018-02-17,3073
2018-02-18,3102
2018-02-19,3126
2018-02-20,3202
2018-02-21,3181
2018-02-22,3194
2018-02-23,3054
2018-02-24,2943
2018-02-25,2976
2018-02-26,2918
2018-02-27,2956
2018-02-28,2960
2018-03-01,2954
2018-03-02,2957
2018-03-03,2916
2018-03-04,2947
2018-03-05,3041
2018-03-06,3174
2018-03-07,3266
2018-03-08,3164
2018-03-09,3107
2018-03-10,2989
2018-03-11,2956
2018-03-12,2957
2018-03-13,3021
2018-03-14,2936
2018-03-15,3000
2018-03-16,3030
2018-03-17,3047
2018-03-18,3115
2018-03-19,3162
2018-03-20,3177
2018-03-21,3148
2018-03-23,3279
2018-03-24,3332
2018-03-26,3407
2018-03-27,3386
2018-03-28,3370
2018-03-29,3429
2018-03-30,3440
2018-03-31,3506
2018-04-01,3509
2018-04-02,3471
2018-04-03,3439
2018-04-04,3367
2018-04-05,3332
2018-04-06,3283
2018-04-08,3123
2018-04-09,3162
2018-04-10,3117
2018-04-11,3129
2018-04-12,3080
2018-04-13,2999
2018-04-14,2986
2018-04-15,3010
2018-04-16,3005
2018-04-17,2955
2018-04-18,2976
2018-04-19,3013
2018-04-20,3063
2018-04-21,2990
2018-04-22,2985
2018-04-23,3002
2018-04-24,3085
2018-04-25,3149
2018-04-26,3200
2018-04-27,3230
2018-04-28,3294
2018-04-29,3221
2018-04-30,3180
2018-05-01,3123
2018-05-02,3180
2018-05-03,3219
2018-05-04,3279
2018-05-05,3293
2018-05-06,3155
2018-05-07,3163
2018-05-08,3107
2018-05-09,3173
2018-05-10,3217
2018-05-11,3285
2018-05-12,3335
2018-05-13,3299
2018-05-14,3360
2018-05-15,3226
2018-05-16,3216
2018-05-17,3148
2018-05-18,3124
2018-05-19,3039
2018-05-20,2984
2018-05-21,2923
2018-05-22,2994
2018-05-23,3082
2018-05-24,3079
2018-05-25,3007
2018-05-26,2947
2018-05-27,2882
2018-05-28,2899
2018-05-29,2842
2018-05-30,2822
2018-05-31,2908
2018-06-01,2992
2018-06-02,3020
2018-06-03,3101
2018-06-04,3124
2018-06-05,3199
2018-06-06,3282
2018-06-07,3295
2018-06-08,3334
2018-06-09,3381
2018-06-10,3297
2018-06-11,3221
2018-06-12,3241
2018-06-13,3122
2018-06-14,3206
2018-06-15,3176
2018-06-16,3208
2018-06-17,3299
2018-06-18,3334
2018-06-19,3334
2018-06-20,3178
2018-06-21,3113
2018-06-22,3124
2018-06-23,3146
2018-06-24,3150
2018-06-25,3201
2018-06-26,3159
2018-06-27,3191
2018-06-28,3232
2018-06-29,3209
2018-06-30,3183
2018-07-01,3135
2018-07-02,3053
2018-07-03,3019
2018-07-04,3083
2018-07-05,3143
2018-07-06,3240
2018-07-07,3295
2018-07-08,3380
2018-07-09,3394
2018-07-10,3472
2018-07-11,3562
2018-07-12,3538
2018-07-13,3393
2018-07-14,3334
2018-07-15,3308
2018-07-16,3294
2018-07-17,3170
2018-07-18,3126
2018-07-19,3032
2018-07-20,3026
2018-07-21,3056
2018-07-22,3147
2018-07-23,3108
2018-07-24,3129
2018-07-25,3105
2018-07-26,3084
2018-07-27,3023
2018-07-28,3098
2018-07-29,3068
2018-07-30,3111
2018-07-31,3093
2018-08-01,3092
2018-08-02,3173
2018-08-03,3229
2018-08-04,3272
2018-08-05,3254
2018-08-06,3327
2018-08-07,3188
2018-08-08,3077
2018-08-09,3020
2018-08-10,2998
2018-08-11,3047
2018-08-12,3127
2018-08-14,3266
2018-08-16,3148
2018-08-17,3261
2018-08-18,3369
2018-08-19,3528
2018-08-20,3566
2018-08-21,3669
2018-08-22,3849
2018-08-23,3993
2018-08-24,4151
2018-08-25,4245
2018-08-26,4300
2018-08-27,4093
2018-08-28,4066
2018-08-29,4021
2018-08-30,4136
2018-08-31,4215
2018-09-01,4304
2018-09-02,4460
2018-09-03,4440
2018-09-04,4384
2018-09-05,4194
2018-09-06,3991
