date_obj,Fremennik%20red%20shirt price
2018-04-07,1139
2018-04-08,1139
2018-04-09,1101
2018-04-10,1101
2018-04-11,1101
2018-04-12,1101
2018-04-13,1101
2018-04-14,1101
2018-04-15,1098
2018-04-16,1098
2018-04-17,1098
2018-04-18,1098
2018-04-19,1098
2018-04-20,1053
2018-04-21,1053
2018-04-22,1053
2018-04-23,1053
2018-04-24,1053
2018-04-25,1049
2018-04-26,1049
2018-04-27,1049
2018-04-28,1049
2018-04-29,1049
2018-04-30,1047
2018-05-01,1047
2018-05-02,1047
2018-05-03,1047
2018-05-04,1047
2018-05-05,1009
2018-05-06,1009
2018-05-07,1009
2018-05-08,1009
2018-05-09,1009
2018-05-10,990
2018-05-11,990
2018-05-12,990
2018-05-13,990
2018-05-14,975
2018-05-15,975
2018-05-16,975
2018-05-17,975
2018-05-18,959
2018-05-19,959
2018-05-20,959
2018-05-21,959
2018-05-22,959
2018-05-23,967
2018-05-24,967
2018-05-25,967
2018-05-26,967
2018-05-27,967
2018-05-28,975
2018-05-29,975
2018-05-30,975
2018-05-31,975
2018-06-01,975
2018-06-02,961
2018-06-03,961
2018-06-04,961
2018-06-05,961
2018-06-06,961
2018-06-07,981
2018-06-08,981
2018-06-09,981
2018-06-10,981
2018-06-11,981
2018-06-12,992
2018-06-13,992
2018-06-14,992
2018-06-15,992
2018-06-16,992
2018-06-17,985
2018-06-18,985
2018-06-19,985
2018-06-20,985
2018-06-21,982
2018-06-22,982
2018-06-23,982
2018-06-24,982
2018-06-25,982
2018-06-26,966
2018-06-27,966
2018-06-28,966
2018-06-29,966
2018-06-30,966
2018-07-01,937
2018-07-02,937
2018-07-03,937
2018-07-04,937
2018-07-05,937
2018-07-06,956
2018-07-07,956
2018-07-08,956
2018-07-09,956
2018-07-10,956
2018-07-11,974
2018-07-12,974
2018-07-13,974
2018-07-14,974
2018-07-15,974
2018-07-16,1009
2018-07-17,1009
2018-07-18,1009
2018-07-19,1009
2018-07-20,1038
2018-07-21,1038
2018-07-22,1038
2018-07-23,1038
2018-07-24,1024
2018-07-25,1024
2018-07-26,1024
2018-07-27,1018
2018-07-28,1018
2018-07-29,1018
2018-07-30,1018
2018-07-31,1020
2018-08-01,1020
2018-08-02,1020
2018-08-03,1020
2018-08-04,1045
2018-08-05,1045
2018-08-06,1045
2018-08-07,1045
2018-08-08,1068
2018-08-09,1068
2018-08-10,1068
2018-08-11,1068
2018-08-12,1031
2018-08-14,1031
2018-08-16,1010
2018-08-17,1010
2018-08-18,1010
2018-08-19,1047
2018-08-20,1047
2018-08-21,1047
2018-08-22,1092
2018-08-23,1092
2018-08-24,1092
2018-08-25,1092
2018-08-26,1112
2018-08-27,1112
2018-08-28,1112
2018-08-29,1112
2018-08-30,1140
2018-08-31,1140
2018-09-01,1140
2018-09-02,1168
2018-09-03,1168
2018-09-04,1168
2018-09-05,1182
2018-09-06,1182
2018-09-07,1182
2018-09-08,1148
2018-09-09,1148
2018-09-10,1148
2018-09-11,1148
2018-09-12,1121
2018-09-13,1121
2018-09-14,1121
2018-09-15,1128
2018-09-16,1128
2018-09-17,1128
2018-09-18,1128
2018-09-19,1167
2018-09-20,1167
2018-09-21,1167
2018-09-22,1225
2018-09-23,1225
2018-09-24,1225
2018-09-25,1225
2018-09-26,1237
2018-09-27,1237
2018-09-28,1237
2018-09-29,1237
2018-09-30,1237
