date_obj,Saradomin%20page%204 price
2017-11-01,3059
2017-11-02,3059
2017-11-03,3059
2017-11-04,3057
2017-11-05,3057
2017-11-06,3076
2017-11-07,3076
2017-11-08,3092
2017-11-09,3092
2017-11-10,3159
2017-11-11,3159
2017-11-12,3233
2017-11-13,3233
2017-11-14,3200
2017-11-15,3200
2017-11-16,3088
2017-11-17,3088
2017-11-18,3224
2017-11-19,3224
2017-11-20,3237
2017-11-21,3237
2017-11-22,3211
2017-11-23,3211
2017-11-24,3233
2017-11-25,3233
2017-11-26,3394
2017-11-27,3394
2017-11-28,3540
2017-11-29,3540
2017-11-30,3648
2017-12-01,3704
2017-12-02,3704
2017-12-03,3737
2017-12-04,3737
2017-12-05,3786
2017-12-06,3786
2017-12-07,3816
2017-12-08,3816
2017-12-09,3894
2017-12-10,3984
2017-12-11,3984
2017-12-12,4082
2017-12-13,4082
2017-12-14,4217
2017-12-15,4217
2017-12-16,4284
2017-12-17,4284
2017-12-18,4427
2017-12-19,4427
2017-12-20,4509
2017-12-21,4509
2017-12-22,4524
2017-12-23,4524
2017-12-24,4535
2017-12-25,4535
2017-12-26,4507
2017-12-27,4507
2017-12-28,4552
2017-12-29,4552
2017-12-30,4518
2017-12-31,4518
2018-01-01,4305
2018-01-02,4305
2018-01-03,4094
2018-01-04,4094
2018-01-05,3889
2018-01-06,3708
2018-01-07,3708
2018-01-08,3532
2018-01-09,3372
2018-01-10,3372
2018-01-11,3243
2018-01-12,3243
2018-01-13,3085
2018-01-14,3015
2018-01-15,3015
2018-01-16,3056
2018-01-17,3056
2018-01-18,3110
2018-01-19,3110
2018-01-20,3014
2018-01-21,3014
2018-01-22,2887
2018-01-23,2856
2018-01-24,2905
2018-01-25,2885
2018-01-26,2842
2018-01-27,2785
2018-01-28,2858
2018-01-29,2928
2018-01-30,2996
2018-02-01,3061
2018-02-02,3100
2018-02-03,3120
2018-02-04,3209
2018-02-05,3238
2018-02-06,3366
2018-02-07,3398
2018-02-08,3398
2018-02-09,3362
2018-02-10,3362
2018-02-11,3342
2018-02-12,3394
2018-02-13,3359
2018-02-14,3381
2018-02-15,3358
2018-02-16,3278
2018-02-17,3265
2018-02-18,3201
2018-02-19,3170
2018-02-20,3201
2018-02-21,3193
2018-02-22,3167
2018-02-23,3075
2018-02-24,3075
2018-02-25,3096
2018-02-26,3125
2018-02-27,3113
2018-02-28,3113
2018-03-01,3100
2018-03-02,3030
2018-03-03,3017
2018-03-04,3017
2018-03-05,3080
2018-03-06,3131
2018-03-07,3164
2018-03-08,3262
2018-03-09,3236
2018-03-10,3263
2018-03-11,3338
2018-03-12,3335
2018-03-13,3376
2018-03-14,3424
2018-03-15,3512
2018-03-16,3543
2018-03-17,3464
2018-03-18,3409
2018-03-19,3409
2018-03-20,3415
2018-03-21,3481
2018-03-23,3556
2018-03-24,3553
2018-03-26,3291
2018-03-27,3150
2018-03-28,3027
2018-03-29,2941
2018-03-30,2882
2018-03-31,2743
2018-04-01,2641
2018-04-02,2552
2018-04-03,2521
2018-04-04,2519
2018-04-05,2519
2018-04-06,2496
2018-04-08,2446
2018-04-09,2437
2018-04-10,2378
2018-04-11,2371
2018-04-12,2349
2018-04-13,2349
2018-04-14,2309
2018-04-15,2259
2018-04-16,2259
2018-04-17,2193
2018-04-18,2193
2018-04-19,2131
2018-04-20,2032
2018-04-21,1955
2018-04-22,1914
2018-04-23,1920
2018-04-24,1965
2018-04-25,1989
2018-04-26,1989
2018-04-27,1995
2018-04-28,1958
2018-04-29,1893
2018-04-30,1857
2018-05-01,1859
2018-05-02,1859
2018-05-03,1825
2018-05-04,1846
2018-05-05,1847
2018-05-06,1847
2018-05-07,1860
2018-05-08,1947
2018-05-09,1968
2018-05-10,1920
2018-05-11,1975
2018-05-12,2001
2018-05-13,2001
2018-05-14,2020
2018-05-15,1945
2018-05-16,1906
2018-05-17,1904
2018-05-18,1981
2018-05-19,1953
2018-05-20,2012
2018-05-21,2016
2018-05-22,2016
2018-05-23,2016
2018-05-24,1985
2018-05-25,1959
2018-05-26,1872
2018-05-27,1872
2018-05-28,1839
2018-05-29,1869
2018-05-30,1950
2018-05-31,1999
2018-06-01,2040
2018-06-02,2018
2018-06-03,2012
2018-06-04,2015
2018-06-05,2083
2018-06-06,2061
2018-06-07,2061
2018-06-08,1963
2018-06-09,1877
2018-06-10,1783
2018-06-11,1697
2018-06-12,1612
2018-06-13,1531
2018-06-14,1454
2018-06-15,1381
2018-06-16,1311
2018-06-17,1246
2018-06-18,1183
2018-06-19,1123
2018-06-20,1123
2018-06-21,1073
2018-06-22,1024
2018-06-23,1024
2018-06-24,990
2018-06-25,959
2018-06-26,929
2018-06-27,915
2018-06-28,915
2018-06-29,912
2018-06-30,872
2018-07-01,832
2018-07-02,804
2018-07-03,769
2018-07-04,732
2018-07-05,708
2018-07-06,679
2018-07-07,667
2018-07-08,658
2018-07-09,658
2018-07-10,681
2018-07-11,709
2018-07-12,734
2018-07-13,759
2018-07-14,774
2018-07-15,774
2018-07-16,764
2018-07-17,785
2018-07-18,815
2018-07-19,815
2018-07-20,819
2018-07-21,838
2018-07-22,851
2018-07-23,875
2018-07-24,919
2018-07-25,965
2018-07-26,996
2018-07-27,1024
2018-07-28,1009
2018-07-29,987
2018-07-30,961
2018-07-31,965
2018-08-01,965
2018-08-02,995
2018-08-03,1024
2018-08-04,1044
2018-08-05,1046
2018-08-06,1034
2018-08-07,1051
2018-08-08,1075
2018-08-09,1075
2018-08-10,1098
2018-08-11,1120
2018-08-12,1103
2018-08-14,1141
2018-08-16,1151
2018-08-17,1162
2018-08-18,1198
2018-08-19,1232
2018-08-20,1269
2018-08-21,1279
2018-08-22,1292
2018-08-23,1308
2018-08-24,1324
2018-08-25,1294
2018-08-26,1276
2018-08-27,1256
2018-08-28,1221
2018-08-29,1180
2018-08-30,1151
2018-08-31,1193
2018-09-01,1224
2018-09-02,1274
2018-09-03,1316
2018-09-04,1340
2018-09-05,1354
2018-09-06,1354
2018-09-07,1382
2018-09-08,1370
2018-09-09,1306
2018-09-10,1328
2018-09-11,1328
2018-09-12,1363
2018-09-13,1409
2018-09-14,1479
2018-09-15,1545
2018-09-16,1620
2018-09-17,1655
2018-09-18,1738
2018-09-19,1824
2018-09-20,1915
