date_obj,Tuna%20potato price
2017-04-19,1451
2017-04-20,1510
2017-04-21,1544
2017-04-22,1547
2017-04-23,1554
2017-04-24,1575
2017-04-25,1524
2017-04-26,1487
2017-04-27,1508
2017-04-28,1447
2017-04-29,1435
2017-04-30,1460
2017-05-01,1468
2017-05-02,1490
2017-05-03,1485
2017-05-04,1461
2017-05-05,1431
2017-05-06,1439
2017-05-07,1434
2017-05-08,1438
2017-05-09,1446
2017-05-10,1443
2017-05-11,1445
2017-05-12,1477
2017-05-13,1511
2017-05-14,1488
2017-05-15,1472
2017-05-16,1455
2017-05-17,1452
2017-05-18,1442
2017-05-19,1425
2017-05-20,1416
2017-05-21,1435
2017-05-22,1401
2017-05-23,1402
2017-05-24,1426
2017-05-25,1485
2017-05-26,1442
2017-05-27,1409
2017-05-28,1438
2017-05-29,1416
2017-05-30,1401
2017-05-31,1405
2017-06-01,1361
2017-06-02,1305
2017-06-03,1302
2017-06-06,1317
2017-06-07,1276
2017-06-08,1257
2017-06-09,1284
2017-06-10,1263
2017-06-11,1226
2017-06-12,1179
2017-06-13,1187
2017-06-14,1185
2017-06-15,1153
2017-06-16,1164
2017-06-17,1186
2017-06-18,1229
2017-06-19,1229
2017-06-20,1222
2017-06-21,1220
2017-06-22,1242
2017-06-23,1244
2017-06-24,1234
2017-06-25,1242
2017-06-26,1247
2017-06-27,1283
2017-06-28,1296
2017-06-29,1310
2017-06-30,1307
2017-07-01,1301
2017-07-02,1268
2017-07-03,1257
2017-07-04,1274
2017-07-05,1274
2017-07-06,1249
2017-07-07,1230
2017-07-08,1204
2017-07-13,1168
2017-07-14,1188
2017-07-15,1178
2017-07-16,1176
2017-07-17,1169
2017-07-18,1147
2017-07-19,1133
2017-07-20,1128
2017-07-21,1124
2017-07-22,1104
2017-07-23,1110
2017-07-24,1111
2017-07-25,1125
2017-07-26,1156
2017-07-27,1180
2017-07-28,1177
2017-07-29,1185
2017-07-30,1159
2017-07-31,1159
2017-08-01,1127
