date_obj,Bucket%20of%20wax price
2019-03-09,600
2019-03-10,593
2019-03-11,593
2019-03-12,571
2019-03-13,571
2019-03-14,546
2019-03-15,546
2019-03-16,526
2019-03-17,535
2019-03-18,535
2019-03-19,549
2019-03-20,575
2019-03-21,575
2019-03-22,584
2019-03-23,587
2019-03-24,587
2019-03-25,568
2019-03-26,568
2019-03-27,546
2019-03-28,546
2019-03-29,564
2019-03-30,564
2019-03-31,575
2019-04-01,575
2019-04-02,553
2019-04-03,553
2019-04-04,525
2019-04-05,525
2019-04-06,498
2019-04-07,498
2019-04-08,482
2019-04-09,482
2019-04-10,457
2019-04-11,457
2019-04-12,436
2019-04-13,414
2019-04-14,397
2019-04-15,397
2019-04-16,405
2019-04-17,405
2019-04-18,414
2019-04-19,414
2019-04-20,430
2019-04-21,430
2019-04-22,423
2019-04-23,423
2019-04-24,401
2019-04-25,401
2019-04-26,407
2019-04-27,407
2019-04-28,418
2019-04-29,418
2019-04-30,437
2019-05-01,437
2019-05-02,458
2019-05-03,479
2019-05-04,471
2019-05-05,471
2019-05-06,483
2019-05-07,483
2019-05-08,494
2019-05-09,494
2019-05-10,515
2019-05-11,515
2019-05-12,501
2019-05-13,507
2019-05-14,507
2019-05-15,512
2019-05-16,512
2019-05-17,522
2019-05-18,516
2019-05-19,516
2019-05-20,524
2019-05-21,524
2019-05-22,523
2019-05-23,523
2019-05-24,532
2019-05-25,532
2019-05-26,543
2019-05-27,543
2019-05-28,543
2019-05-29,541
2019-05-30,541
2019-05-31,556
2019-06-01,556
2019-06-02,530
2019-06-03,530
2019-06-04,503
2019-06-05,503
2019-06-06,477
2019-06-07,477
2019-06-08,453
2019-06-09,453
2019-06-10,430
2019-06-11,430
2019-06-12,412
2019-06-13,412
2019-06-14,398
2019-06-15,398
2019-06-16,394
2019-06-17,394
2019-06-18,392
2019-06-19,392
2019-06-20,387
2019-06-21,387
2019-06-22,387
2019-06-23,387
2019-06-24,394
2019-06-25,394
2019-06-26,407
2019-06-27,407
2019-06-28,405
2019-06-29,405
2019-06-30,415
2019-07-01,415
2019-07-02,423
2019-07-03,423
2019-07-04,434
2019-07-05,434
2019-07-06,450
2019-07-07,450
2019-07-08,465
2019-07-09,465
2019-07-10,457
2019-07-11,457
2019-07-12,434
2019-07-13,434
2019-07-14,412
2019-07-15,412
2019-07-16,398
2019-07-17,398
2019-07-18,410
2019-07-19,410
2019-07-20,422
2019-07-21,422
2019-07-22,442
2019-07-23,442
2019-07-24,461
2019-07-25,461
2019-07-26,480
2019-07-27,480
2019-07-28,503
2019-07-29,503
2019-07-30,516
2019-07-31,516
2019-08-01,540
2019-08-02,540
2019-08-03,558
2019-08-04,558
2019-08-05,577
2019-08-06,577
2019-08-07,602
2019-08-08,602
2019-08-09,602
2019-08-10,628
2019-08-11,628
2019-08-12,655
2019-08-13,655
2019-08-14,683
2019-08-15,683
2019-08-16,708
2019-08-17,708
2019-08-18,725
2019-08-19,725
2019-08-20,711
2019-08-21,711
