date_obj,Blue%20d'hide%20chaps price
2017-10-07,2335
2017-10-08,2316
2017-10-09,2320
2017-10-10,2366
2017-10-11,2356
2017-10-12,2370
2017-10-13,2376
2017-10-14,2330
2017-10-15,2366
2017-10-16,2368
2017-10-17,2424
2017-10-18,2456
2017-10-19,2421
2017-10-20,2366
2017-10-21,2310
2017-10-22,2336
2017-10-23,2394
2017-10-24,2408
2017-10-25,2341
2017-10-26,2326
2017-10-27,2336
2017-10-28,2333
2017-10-29,2344
2017-10-30,2369
2017-10-31,2328
2017-11-01,2305
2017-11-02,2347
2017-11-03,2324
2017-11-04,2326
2017-11-05,2367
2017-11-06,2338
2017-11-07,2323
2017-11-08,2337
2017-11-09,2326
2017-11-10,2319
2017-11-11,2370
2017-11-12,2362
2017-11-13,2370
2017-11-14,2388
2017-11-15,2340
2017-11-16,2379
2017-11-17,2360
2017-11-18,2323
2017-11-19,2362
2017-11-20,2378
2017-11-21,2356
2017-11-22,2369
2017-11-23,2380
2017-11-24,2368
2017-11-25,2351
2017-11-26,2403
2017-11-27,2385
2017-11-28,2416
2017-11-29,2354
2017-11-30,2363
2017-12-01,2396
2017-12-02,2415
2017-12-03,2373
2017-12-04,2366
2017-12-05,2368
2017-12-06,2365
2017-12-07,2400
2017-12-08,2408
2017-12-09,2394
2017-12-10,2328
2017-12-11,2273
2017-12-12,2286
2017-12-13,2343
2017-12-14,2380
2017-12-15,2343
2017-12-16,2365
2017-12-17,2366
2017-12-18,2349
2017-12-19,2354
2017-12-20,2365
2017-12-21,2383
2017-12-22,2343
2017-12-23,2329
2017-12-24,2333
2017-12-25,2316
2017-12-26,2314
2017-12-27,2300
2017-12-28,2300
2017-12-29,2305
2017-12-30,2326
2017-12-31,2349
2018-01-01,2317
2018-01-02,2319
2018-01-03,2332
2018-01-04,2283
2018-01-05,2312
2018-01-06,2283
2018-01-07,2327
2018-01-08,2317
2018-01-09,2315
2018-01-10,2341
2018-01-11,2331
2018-01-12,2385
2018-01-13,2333
2018-01-14,2336
2018-01-15,2302
2018-01-16,2301
2018-01-17,2330
2018-01-18,2356
2018-01-19,2326
2018-01-20,2319
2018-01-21,2340
2018-01-22,2308
2018-01-23,2314
2018-01-24,2328
2018-01-25,2347
2018-01-26,2347
2018-01-27,2323
2018-01-28,2334
2018-01-29,2363
2018-01-30,2358
2018-01-31,2387
2018-02-01,2294
2018-02-02,2370
2018-02-03,2354
2018-02-04,2350
2018-02-05,2386
2018-02-06,2363
2018-02-07,2380
2018-02-08,2398
2018-02-09,2389
2018-02-10,2357
2018-02-11,2350
2018-02-12,2350
2018-02-13,2338
2018-02-14,2323
2018-02-15,2316
2018-02-16,2309
2018-02-17,2341
2018-02-18,2319
2018-02-19,2314
2018-02-20,2328
2018-02-21,2343
2018-02-22,2352
2018-02-23,2323
2018-02-24,2318
2018-02-25,2305
2018-02-26,2335
2018-02-27,2330
2018-02-28,2343
2018-03-01,2359
2018-03-02,2353
2018-03-03,2343
2018-03-04,2392
2018-03-05,2362
2018-03-06,2386
2018-03-07,2353
2018-03-08,2358
2018-03-09,2342
2018-03-10,2319
2018-03-11,2302
2018-03-12,2327
2018-03-13,2298
2018-03-14,2334
2018-03-15,2371
2018-03-16,2383
2018-03-17,2372
2018-03-18,2355
2018-03-20,2311
2018-03-21,2361
2018-03-22,2322
2018-03-23,2329
2018-03-24,2336
2018-03-25,2328
2018-03-26,2396
2018-03-27,2345
2018-03-28,2319
2018-03-29,2339
2018-03-30,2304
2018-03-31,2335
2018-04-01,2300
2018-04-02,2300
2018-04-03,2344
2018-04-04,2334
2018-04-05,2338
2018-04-06,2324
2018-04-07,2323
2018-04-08,2328
2018-04-09,2343
2018-04-10,2297
2018-04-11,2339
2018-04-12,2360
2018-04-13,2328
2018-04-14,2352
2018-04-15,2327
2018-04-16,2362
2018-04-17,2351
2018-04-18,2345
2018-04-19,2356
2018-04-20,2382
2018-04-21,2386
2018-04-22,2374
2018-04-23,2399
2018-04-24,2373
2018-04-25,2364
2018-04-26,2339
2018-04-27,2376
2018-04-28,2305
2018-04-29,2289
2018-04-30,2312
2018-05-01,2364
2018-05-02,2362
2018-05-03,2347
2018-05-04,2313
2018-05-05,2330
2018-05-06,2320
2018-05-07,2338
2018-05-08,2315
2018-05-09,2319
2018-05-10,2316
2018-05-11,2354
2018-05-12,2364
2018-05-13,2418
2018-05-14,2351
2018-05-15,2339
2018-05-16,2351
2018-05-17,2337
2018-05-18,2350
2018-05-19,2331
2018-05-20,2290
2018-05-21,2293
2018-05-22,2286
2018-05-23,2352
2018-05-24,2406
2018-05-25,2346
2018-05-26,2301
2018-05-27,2243
2018-05-28,2290
2018-05-29,2317
2018-05-30,2334
2018-05-31,2350
2018-06-01,2350
2018-06-02,2349
2018-06-03,2342
2018-06-04,2359
2018-06-05,2328
2018-06-06,2355
2018-06-07,2324
2018-06-08,2335
2018-06-09,2325
2018-06-10,2281
2018-06-11,2333
2018-06-12,2327
2018-06-13,2335
2018-06-14,2350
2018-06-15,2347
2018-06-16,2363
2018-06-17,2329
2018-06-18,2354
2018-06-19,2359
2018-06-20,2260
2018-06-21,2263
2018-06-22,2295
2018-06-23,2329
2018-06-24,2359
2018-06-25,2328
2018-06-26,2318
2018-06-27,2349
2018-06-28,2383
2018-06-29,2347
2018-06-30,2317
2018-07-01,2344
2018-07-02,2333
2018-07-03,2322
2018-07-04,2340
2018-07-05,2334
2018-07-06,2347
2018-07-07,2300
2018-07-08,2347
2018-07-09,2341
2018-07-10,2330
2018-07-11,2305
2018-07-12,2332
2018-07-13,2319
2018-07-14,2303
2018-07-15,2320
2018-07-16,2349
2018-07-17,2342
2018-07-18,2374
2018-07-19,2402
2018-07-20,2334
2018-07-21,2296
2018-07-22,2290
2018-07-23,2337
2018-07-24,2371
2018-07-25,2305
2018-07-26,2313
2018-07-27,2354
2018-07-28,2324
2018-07-29,2365
2018-07-30,2380
2018-07-31,2410
2018-08-01,2410
2018-08-02,2373
2018-08-03,2323
2018-08-04,2345
2018-08-05,2367
2018-08-06,2365
2018-08-07,2390
2018-08-08,2336
2018-08-09,2345
2018-08-10,2354
2018-08-11,2317
2018-08-12,2285
2018-08-14,2306
2018-08-16,2326
2018-08-17,2307
2018-08-18,2309
2018-08-19,2302
2018-08-20,2334
2018-08-21,2370
2018-08-22,2352
2018-08-23,2374
2018-08-24,2361
2018-08-25,2328
2018-08-26,2337
2018-08-27,2274
2018-08-28,2321
2018-08-29,2357
2018-08-30,2322
2018-08-31,2348
2018-09-01,2328
2018-09-02,2258
2018-09-03,2298
2018-09-04,2324
2018-09-05,2327
2018-09-06,2340
2018-09-07,2343
2018-09-08,2332
2018-09-09,2304
2018-09-10,2315
2018-09-11,2304
2018-09-12,2321
2018-09-13,2339
2018-09-14,2375
2018-09-15,2358
2018-09-16,2341
2018-09-17,2339
2018-09-18,2317
2018-09-19,2377
2018-09-20,2392
2018-09-21,2357
2018-09-22,2319
2018-09-23,2296
2018-09-24,2309
2018-09-25,2355
2018-09-26,2375
2018-09-27,2336
2018-09-28,2285
2018-09-29,2305
2018-09-30,2275
2018-10-01,2310
2018-10-02,2297
2018-10-03,2291
2018-10-04,2314
2018-10-05,2357
2018-10-06,2342
2018-10-07,2331
2018-10-08,2342
2018-10-09,2339
2018-10-10,2335
2018-10-11,2315
2018-10-12,2305
2018-10-13,2305
2018-10-14,2326
2018-10-15,2307
2018-10-16,2323
2018-10-17,2342
2018-10-18,2317
2018-10-19,2315
2018-10-20,2332
2018-10-21,2286
2018-10-22,2289
2018-10-23,2325
2018-10-24,2365
2018-10-25,2344
2018-10-26,2325
2018-10-27,2263
2018-10-28,2256
2018-10-29,2262
2018-10-30,2306
2018-10-31,2297
2018-11-01,2331
2018-11-03,2352
2018-11-04,2368
2018-11-05,2327
2018-11-06,2312
2018-11-07,2342
2018-11-08,2327
2018-11-09,2349
2018-11-10,2376
2018-11-11,2339
2018-11-12,2336
2018-11-13,2324
2018-11-15,2282
2018-11-16,2307
2018-11-17,2338
2018-11-18,2329
2018-11-19,2298
2018-11-20,2291
2018-11-21,2295
2018-11-22,2305
2018-11-23,2324
2018-11-24,2327
2018-11-25,2323
2018-11-26,2350
2018-11-27,2329
2018-11-28,2325
2018-11-29,2334
2018-12-01,2312
2018-12-02,2329
2018-12-03,2380
2018-12-04,2371
2018-12-05,2355
2018-12-07,2313
2018-12-09,2319
2018-12-10,2334
2018-12-11,2352
2018-12-12,2345
2018-12-13,2334
2018-12-14,2333
2018-12-15,2337
2018-12-16,2344
2018-12-17,2327
2018-12-18,2327
2018-12-19,2329
2018-12-20,2343
2018-12-21,2372
2018-12-22,2366
2018-12-23,2341
2018-12-24,2338
2018-12-25,2320
2018-12-26,2268
2018-12-27,2318
2018-12-28,2313
2018-12-29,2333
2018-12-30,2310
2018-12-31,2305
2019-01-01,2284
2019-01-02,2312
2019-01-03,2337
2019-01-04,2280
2019-01-05,2281
2019-01-06,2315
2019-01-08,2312
2019-01-10,2325
2019-01-11,2344
2019-01-12,2318
2019-01-13,2289
2019-01-14,2304
2019-01-15,2316
2019-01-16,2317
2019-01-17,2340
2019-01-18,2319
2019-01-19,2318
2019-01-20,2301
2019-01-21,2337
2019-01-22,2336
2019-01-23,2317
2019-01-24,2337
2019-01-25,2336
2019-01-26,2315
2019-01-27,2312
2019-01-28,2318
2019-01-29,2323
2019-01-30,2355
2019-01-31,2312
2019-02-01,2301
2019-02-02,2333
2019-02-03,2307
2019-02-04,2331
2019-02-05,2353
2019-02-06,2323
2019-02-07,2301
2019-02-08,2327
2019-02-09,2338
2019-02-10,2323
2019-02-11,2372
2019-02-12,2345
2019-02-13,2333
2019-02-14,2350
2019-02-15,2336
2019-02-16,2337
2019-02-17,2309
2019-02-18,2330
2019-02-19,2360
2019-02-20,2349
2019-02-21,2324
2019-02-22,2324
2019-02-23,2340
2019-02-24,2333
2019-02-25,2375
2019-02-26,2381
2019-02-27,2374
2019-02-28,2388
2019-03-01,2367
2019-03-02,2333
2019-03-03,2307
2019-03-04,2353
2019-03-05,2313
2019-03-06,2328
2019-03-07,2326
2019-03-08,2351
2019-03-09,2344
2019-03-10,2313
2019-03-11,2327
2019-03-12,2312
2019-03-13,2324
2019-03-14,2334
2019-03-15,2370
2019-03-16,2334
2019-03-17,2303
2019-03-18,2272
