date_obj,Desert%20goat%20horn price
2018-08-01,102
2018-08-02,108
2018-08-03,108
2018-08-04,113
2018-08-05,113
2018-08-06,113
2018-08-07,119
2018-08-08,119
2018-08-09,124
2018-08-10,124
2018-08-11,124
2018-08-12,124
2018-08-14,119
2018-08-16,119
2018-08-17,114
2018-08-18,114
2018-08-19,114
2018-08-20,110
2018-08-21,110
2018-08-22,110
2018-08-23,113
2018-08-24,113
2018-08-25,118
2018-08-26,118
2018-08-27,118
2018-08-28,123
2018-08-29,123
2018-08-30,123
2018-08-31,130
2018-09-01,130
2018-09-02,130
2018-09-03,136
2018-09-04,136
2018-09-05,142
2018-09-06,142
2018-09-07,142
2018-09-08,149
2018-09-09,149
2018-09-10,149
2018-09-11,155
2018-09-12,155
2018-09-13,155
2018-09-14,163
2018-09-15,163
2018-09-16,163
2018-09-17,168
2018-09-18,168
2018-09-19,168
2018-09-20,170
2018-09-21,170
2018-09-22,177
2018-09-23,177
2018-09-24,177
2018-09-25,184
2018-09-26,184
2018-09-27,184
2018-09-28,194
2018-09-29,194
2018-09-30,194
2018-10-01,202
2018-10-02,202
2018-10-03,211
2018-10-04,211
2018-10-05,211
2018-10-06,212
2018-10-07,212
2018-10-08,212
2018-10-09,216
2018-10-10,216
2018-10-11,223
2018-10-12,223
2018-10-13,223
2018-10-14,223
2018-10-15,223
2018-10-16,223
2018-10-17,229
2018-10-18,229
2018-10-19,241
2018-10-20,241
2018-10-21,241
2018-10-22,243
2018-10-23,243
2018-10-24,243
2018-10-25,234
2018-10-26,234
2018-10-27,234
2018-10-28,238
2018-10-29,238
2018-10-30,238
2018-10-31,250
2018-11-01,250
2018-11-03,261
2018-11-04,261
2018-11-05,273
2018-11-06,273
2018-11-07,286
2018-11-08,286
2018-11-09,300
2018-11-10,300
2018-11-11,298
2018-11-12,298
2018-11-13,311
2018-11-14,311
2018-11-15,325
2018-11-16,325
2018-11-17,340
2018-11-18,340
2018-11-19,357
2018-11-20,357
2018-11-21,375
2018-11-22,375
2018-11-23,394
2018-11-24,394
2018-11-25,414
2018-11-26,414
2018-11-27,433
2018-11-28,433
2018-11-29,454
2018-12-01,477
2018-12-02,477
2018-12-03,501
2018-12-05,517
2018-12-07,508
2018-12-09,486
2018-12-10,486
2018-12-11,486
2018-12-12,502
2018-12-13,502
2018-12-14,515
2018-12-15,515
2018-12-16,528
2018-12-17,528
2018-12-18,528
2018-12-19,528
2018-12-20,529
2018-12-21,529
2018-12-22,518
2018-12-23,528
2018-12-24,528
2018-12-25,535
2018-12-26,535
2018-12-27,542
2018-12-28,542
2018-12-29,554
2018-12-30,554
2018-12-31,568
2019-01-01,568
2019-01-02,593
2019-01-03,593
2019-01-04,619
2019-01-05,637
2019-01-06,632
2019-01-08,606
2019-01-10,598
2019-01-11,598
2019-01-12,589
2019-01-13,589
2019-01-14,577
2019-01-15,577
2019-01-16,582
2019-01-17,582
2019-01-18,585
2019-01-19,600
2019-01-20,600
2019-01-21,629
2019-01-22,629
2019-01-23,633
2019-01-24,633
2019-01-25,661
2019-01-26,661
2019-01-27,634
2019-01-28,634
2019-01-29,615
2019-01-30,615
2019-01-31,601
2019-02-01,580
2019-02-02,580
2019-02-03,579
2019-02-04,579
2019-02-05,579
2019-02-06,579
2019-02-07,575
2019-02-08,575
2019-02-09,552
2019-02-10,552
2019-02-11,526
2019-02-12,526
2019-02-13,503
2019-02-14,503
2019-02-15,488
2019-02-16,488
2019-02-17,464
2019-02-18,464
2019-02-19,440
2019-02-20,440
2019-02-21,425
2019-02-22,425
2019-02-23,408
2019-02-24,408
