date_obj,Infinity%20bottoms price
2018-09-23,5543536
2018-09-24,5543536
2018-09-25,5543536
2018-09-26,5612013
2018-09-27,5612013
2018-09-28,5671959
2018-09-29,5671959
2018-09-30,5617477
2018-10-01,5617477
2018-10-02,5538395
2018-10-03,5538395
2018-10-04,5543378
2018-10-05,5543378
2018-10-06,5396504
2018-10-07,5396504
2018-10-08,5358847
2018-10-09,5358847
2018-10-10,5230726
2018-10-11,5230726
2018-10-12,5192216
2018-10-13,5192216
2018-10-14,5179988
2018-10-15,5179988
2018-10-16,5109031
2018-10-17,5109031
2018-10-18,5055197
2018-10-19,5055197
2018-10-20,5069444
2018-10-21,5069444
2018-10-22,5200370
2018-10-23,5200370
2018-10-24,5200370
2018-10-25,5150834
2018-10-26,5150834
2018-10-27,5152976
2018-10-28,5135008
2018-10-29,5135008
2018-10-30,5049993
2018-10-31,5049993
2018-11-01,4970969
2018-11-03,4960005
2018-11-04,4960005
2018-11-05,4930947
2018-11-06,4930947
2018-11-07,4877679
2018-11-08,4877679
2018-11-09,5030765
2018-11-10,5146070
2018-11-11,5146070
2018-11-12,5389099
2018-11-13,5556061
2018-11-14,5556061
2018-11-15,5821875
2018-11-16,5693247
2018-11-17,5693247
2018-11-18,5594795
2018-11-19,5594795
2018-11-20,5611068
2018-11-21,5611068
2018-11-22,5675132
2018-11-23,5675132
2018-11-24,5827715
2018-11-25,5913271
2018-11-26,5913271
2018-11-27,6069103
2018-11-28,5935340
2018-11-29,5916723
2018-12-01,5812599
2018-12-02,5756480
2018-12-03,5756480
2018-12-04,5739241
2018-12-05,5742479
2018-12-07,5725716
2018-12-09,5638696
2018-12-10,5611284
2018-12-11,5611284
2018-12-12,5588288
2018-12-13,5588288
2018-12-14,5588511
2018-12-15,5685956
2018-12-16,5967668
2018-12-17,5967668
2018-12-18,5940430
2018-12-19,5940430
2018-12-20,5874247
2018-12-21,5659698
2018-12-22,5659698
2018-12-23,5511193
2018-12-24,5606879
2018-12-25,5606879
2018-12-26,5823929
2018-12-27,6113543
2018-12-28,6113543
2018-12-29,6034928
2018-12-30,6034928
2018-12-31,5910007
2019-01-01,5910007
2019-01-02,5876134
2019-01-03,5876134
2019-01-04,5863216
2019-01-05,5913421
2019-01-06,5858026
2019-01-08,6042290
2019-01-10,6007908
2019-01-11,6007908
2019-01-12,5894438
2019-01-13,5727513
2019-01-14,5490604
2019-01-15,5229215
2019-01-16,4986889
2019-01-17,4817282
2019-01-18,4877756
2019-01-19,4992892
2019-01-20,5160749
2019-01-21,5160749
2019-01-22,5027563
2019-01-23,4843768
2019-01-24,4843768
2019-01-25,4822903
2019-01-26,4822903
2019-01-27,4968120
2019-01-28,5061543
2019-01-29,5164525
2019-01-30,5197237
2019-01-31,5197237
2019-02-01,5118753
2019-02-02,5118753
2019-02-03,5059399
2019-02-04,5059399
2019-02-05,5030509
2019-02-06,5030509
2019-02-07,5000764
2019-02-08,5000764
2019-02-09,5029276
2019-02-10,5029276
2019-02-11,5127563
2019-02-12,5127563
2019-02-13,5063918
2019-02-14,5063918
2019-02-15,4941589
2019-02-16,4748746
2019-02-17,4748746
2019-02-18,4688351
2019-02-19,4810253
2019-02-20,4810253
2019-02-21,4719745
2019-02-22,4719745
2019-02-23,4743808
2019-02-24,4732695
2019-02-25,4678417
2019-02-26,4678417
2019-02-27,4661069
2019-02-28,4661069
2019-03-01,4560878
2019-03-02,4560878
2019-03-03,4579921
2019-03-04,4553384
2019-03-05,4553384
2019-03-06,4452838
2019-03-07,4452838
2019-03-08,4431494
2019-03-09,4431494
2019-03-10,4509962
2019-03-11,4509962
2019-03-12,4472027
2019-03-13,4472027
2019-03-14,4481438
2019-03-15,4481438
2019-03-16,4517005
2019-03-17,4578817
2019-03-18,4578817
2019-03-19,4580932
2019-03-20,4569031
2019-03-21,4569031
2019-03-22,4670520
2019-03-23,4720029
2019-03-24,4720029
2019-03-25,4818141
2019-03-26,4818141
2019-03-27,4787983
2019-03-28,4787983
2019-03-29,4824166
2019-03-30,4824166
2019-03-31,4834383
2019-04-01,4834383
2019-04-02,4887774
2019-04-03,4887774
2019-04-04,5098859
2019-04-05,5098859
2019-04-06,5200588
2019-04-07,5200588
2019-04-08,5199847
2019-04-09,5199847
2019-04-10,5148055
2019-04-11,5148055
2019-04-12,5174564
2019-04-13,5174564
2019-04-14,5165201
2019-04-15,5165201
