date_obj,Bronze%20dragon%20mask price
2018-05-22,6801
2018-05-23,6844
2018-05-24,6844
2018-05-25,6844
2018-05-26,6844
2018-05-27,6844
2018-05-28,6922
2018-05-29,6922
2018-05-30,6922
2018-05-31,6922
2018-06-01,6971
2018-06-02,6971
2018-06-03,6971
2018-06-04,6971
2018-06-05,7014
2018-06-06,7014
2018-06-07,7014
2018-06-08,7014
2018-06-09,6851
2018-06-10,6851
2018-06-11,6851
2018-06-12,6691
2018-06-13,6691
2018-06-14,6691
2018-06-15,6691
2018-06-16,6780
2018-06-17,6780
2018-06-18,6780
2018-06-19,6780
2018-06-20,6967
2018-06-21,6967
2018-06-22,6967
2018-06-23,6967
2018-06-24,6967
2018-06-25,7056
2018-06-26,7056
2018-06-27,7056
2018-06-28,7056
2018-06-29,7056
2018-06-30,7024
2018-07-01,7024
2018-07-02,7024
2018-07-03,7024
2018-07-04,7024
2018-07-05,7024
2018-07-06,6853
2018-07-07,6853
2018-07-08,6853
2018-07-09,6853
2018-07-10,6853
2018-07-11,6827
2018-07-12,6827
2018-07-13,6827
2018-07-14,6827
2018-07-15,6827
2018-07-16,7036
2018-07-17,7036
2018-07-18,7036
2018-07-19,7036
2018-07-20,7232
2018-07-21,7232
2018-07-22,7232
2018-07-23,7377
2018-07-24,7377
2018-07-25,7377
2018-07-26,7377
2018-07-27,7506
2018-07-28,7506
2018-07-29,7506
2018-07-30,7506
2018-07-31,7783
2018-08-01,7783
2018-08-02,7783
2018-08-03,7783
2018-08-04,7979
2018-08-05,7979
2018-08-06,7979
2018-08-07,7979
2018-08-08,8236
2018-08-09,8236
2018-08-10,8236
2018-08-11,8236
2018-08-12,8318
2018-08-14,8318
2018-08-16,8678
2018-08-17,8678
2018-08-18,8678
2018-08-19,8862
2018-08-20,8862
2018-08-21,8862
2018-08-22,9089
2018-08-23,9089
2018-08-24,9089
2018-08-25,9017
2018-08-26,9017
2018-08-27,9017
2018-08-28,9146
2018-08-29,9146
2018-08-30,9146
2018-08-31,9146
2018-09-01,9469
2018-09-02,9469
2018-09-03,9469
2018-09-04,9710
2018-09-05,9710
2018-09-06,9710
2018-09-07,9907
2018-09-08,9907
2018-09-09,9907
2018-09-10,9866
2018-09-11,9866
2018-09-12,9866
2018-09-13,9866
2018-09-14,10083
2018-09-15,10083
2018-09-16,10083
2018-09-17,10083
2018-09-18,10311
2018-09-19,10311
2018-09-20,10311
2018-09-21,10311
2018-09-22,10564
2018-09-23,10564
2018-09-24,10564
2018-09-25,10564
2018-09-26,10987
2018-09-27,10987
2018-09-28,10987
2018-09-29,10987
2018-09-30,10824
2018-10-01,10824
2018-10-02,10824
2018-10-03,10759
2018-10-04,10759
2018-10-05,10759
2018-10-06,11021
2018-10-07,11021
2018-10-08,11021
2018-10-09,11021
2018-10-10,11156
2018-10-11,11156
2018-10-12,11156
2018-10-13,11156
2018-10-14,11108
2018-10-15,11108
2018-10-16,11108
2018-10-17,11108
2018-10-18,10675
2018-10-19,10675
2018-10-20,10675
2018-10-21,10675
2018-10-22,10617
2018-10-23,10617
2018-10-24,10617
2018-10-25,10617
2018-10-26,10457
2018-10-27,10457
2018-10-28,10457
2018-10-29,10502
2018-10-30,10502
2018-10-31,10502
2018-11-01,10233
2018-11-03,10357
2018-11-04,10357
2018-11-05,10600
2018-11-06,10600
2018-11-07,10600
2018-11-08,10369
2018-11-09,10369
2018-11-10,10486
2018-11-11,10486
2018-11-12,10523
2018-11-13,10523
2018-11-15,10475
2018-11-16,10475
2018-11-17,10445
2018-11-18,10445
2018-11-19,10445
2018-11-20,10517
2018-11-21,10517
2018-11-22,10643
2018-11-23,10643
2018-11-24,10643
2018-11-25,10724
2018-11-26,10724
2018-11-27,10724
2018-11-28,10901
2018-11-29,10901
2018-12-01,11025
2018-12-02,11025
2018-12-03,11025
2018-12-04,11166
2018-12-05,11166
2018-12-07,11205
2018-12-09,11066
2018-12-10,11066
2018-12-11,11066
2018-12-12,10945
2018-12-13,10945
2018-12-14,10945
2018-12-15,10934
2018-12-16,10934
2018-12-17,10934
2018-12-18,10487
2018-12-19,10487
2018-12-20,10487
2018-12-21,10178
2018-12-22,10178
2018-12-23,10122
2018-12-24,10122
2018-12-25,10155
2018-12-26,10155
2018-12-27,9926
2018-12-28,9926
2018-12-29,9621
2018-12-30,9621
2018-12-31,9621
2019-01-01,9461
2019-01-02,9461
2019-01-03,9461
2019-01-04,9154
2019-01-05,9154
2019-01-06,8881
2019-01-08,8881
2019-01-10,8661
2019-01-11,8661
2019-01-12,8457
2019-01-13,8457
2019-01-14,8188
2019-01-15,8188
2019-01-16,7891
2019-01-17,7891
2019-01-18,7735
2019-01-19,7735
2019-01-20,7536
2019-01-21,7536
2019-01-22,7536
2019-01-23,7451
2019-01-24,7451
2019-01-25,7212
2019-01-26,7212
2019-01-27,7211
2019-01-28,7211
2019-01-29,7098
2019-01-30,7098
2019-01-31,7098
2019-02-01,6952
2019-02-02,6952
2019-02-03,6850
2019-02-04,6850
2019-02-05,6850
2019-02-06,6756
2019-02-07,6756
2019-02-08,6699
2019-02-09,6699
2019-02-10,6699
2019-02-11,6725
2019-02-12,6725
2019-02-13,6820
2019-02-14,6820
2019-02-15,6820
2019-02-16,6839
2019-02-17,6839
2019-02-18,6839
2019-02-19,6717
2019-02-20,6717
2019-02-21,6556
2019-02-22,6556
2019-02-23,6556
2019-02-24,6480
2019-02-25,6480
2019-02-26,6480
2019-02-27,6276
2019-02-28,6276
2019-03-01,6276
2019-03-02,5996
2019-03-03,5996
2019-03-04,5886
2019-03-05,5886
2019-03-06,5910
2019-03-07,5910
2019-03-08,5910
2019-03-09,5910
2019-03-10,5745
2019-03-11,5745
2019-03-12,5952
2019-03-13,5952
2019-03-14,5952
2019-03-15,5906
2019-03-16,5906
2019-03-17,5867
