date_obj,Circular%20hide price
2018-03-02,64095
2018-03-03,64095
2018-03-04,64095
2018-03-05,64095
2018-03-06,64095
2018-03-07,64095
2018-03-08,64095
2018-03-09,64095
2018-03-10,64095
2018-03-11,64095
2018-03-12,64095
2018-03-13,64095
2018-03-14,64095
2018-03-15,64095
2018-03-16,64095
2018-03-17,64095
2018-03-18,64095
2018-03-20,64095
2018-03-21,64095
2018-03-23,64095
2018-03-24,64095
2018-03-25,64095
2018-03-26,64095
2018-03-27,64095
2018-03-28,64095
2018-03-29,64095
2018-03-30,64095
2018-03-31,64095
2018-04-02,64095
2018-04-03,64095
2018-04-04,64650
2018-04-05,64650
2018-04-06,64650
2018-04-07,64650
2018-04-08,64650
2018-04-09,64650
2018-04-10,64650
2018-04-11,64650
2018-04-12,64650
2018-04-13,64650
2018-04-14,64650
2018-04-15,64650
2018-04-16,64650
2018-04-17,64650
2018-04-18,64650
2018-04-19,64650
2018-04-20,64650
2018-04-21,64650
2018-04-22,64650
2018-04-23,64650
2018-04-24,64650
2018-04-25,64650
2018-04-26,64650
2018-04-27,64650
2018-04-28,64650
2018-04-29,64650
2018-04-30,64650
2018-05-01,64650
2018-05-03,64650
2018-05-04,64650
2018-05-05,64650
2018-05-07,64650
2018-05-08,64650
2018-05-09,64650
2018-05-10,64650
2018-05-11,64650
2018-05-12,64650
2018-05-13,64650
2018-05-14,64650
2018-05-15,64650
2018-05-16,64650
2018-05-17,64650
2018-05-18,64650
2018-05-19,64650
2018-05-20,64650
2018-05-21,64650
2018-05-22,64650
2018-05-23,64650
2018-05-24,64650
2018-05-25,64650
2018-05-26,63094
2018-05-27,63094
2018-05-28,63094
2018-05-29,63094
2018-05-30,63094
2018-05-31,63094
2018-06-01,63094
2018-06-02,63094
2018-06-03,63094
2018-06-04,63094
2018-06-05,63094
2018-06-06,63094
2018-06-07,63094
2018-06-08,63094
2018-06-09,63094
2018-06-10,63094
2018-06-11,63094
2018-06-12,63094
2018-06-13,63094
2018-06-14,63094
2018-06-15,63094
2018-06-16,63094
2018-06-17,63094
2018-06-18,63094
2018-06-19,63094
2018-06-20,63094
2018-06-21,63094
2018-06-22,63094
2018-06-23,63094
2018-06-24,63094
2018-06-25,63094
2018-06-26,63094
2018-06-27,63094
2018-06-28,63094
2018-06-29,63094
2018-06-30,63094
2018-07-01,63094
2018-07-02,63094
2018-07-03,63094
2018-07-04,63094
2018-07-05,63094
2018-07-06,63094
