date_obj,Rune%20dart price
2018-08-19,1088
2018-08-20,1112
2018-08-21,1152
2018-08-22,1186
2018-08-23,1172
2018-08-24,1146
2018-08-25,1148
2018-08-26,1137
2018-08-27,1143
2018-08-28,1148
2018-08-29,1158
2018-08-30,1149
2018-08-31,1149
2018-09-01,1145
2018-09-02,1137
2018-09-03,1116
2018-09-04,1094
2018-09-05,1095
2018-09-06,1107
2018-09-07,1109
2018-09-08,1098
2018-09-09,1095
2018-09-10,1110
2018-09-11,1110
2018-09-12,1119
2018-09-13,1108
2018-09-14,1091
2018-09-15,1093
2018-09-16,1102
2018-09-17,1104
2018-09-18,1104
2018-09-19,1105
2018-09-20,1107
2018-09-21,1114
2018-09-22,1114
2018-09-23,1113
2018-09-24,1108
2018-09-25,1104
2018-09-26,1099
2018-09-27,1095
2018-09-28,1100
2018-09-29,1117
2018-09-30,1126
2018-10-02,1108
2018-10-03,1111
2018-10-04,1119
2018-10-05,1132
2018-10-06,1139
2018-10-07,1121
2018-10-08,1102
2018-10-09,1087
2018-10-10,1089
2018-10-11,1098
2018-10-12,1122
2018-10-13,1164
2018-10-14,1157
2018-10-15,1183
2018-10-16,1178
2018-10-17,1219
2018-10-18,1207
2018-10-19,1203
2018-10-20,1195
2018-10-21,1174
2018-10-22,1123
2018-10-23,1086
2018-10-24,1069
2018-10-25,1061
2018-10-26,1082
2018-10-27,1111
2018-10-28,1110
2018-10-29,1107
2018-10-30,1100
2018-10-31,1092
2018-11-01,1089
2018-11-03,1092
2018-11-04,1102
2018-11-05,1102
2018-11-06,1097
2018-11-07,1111
2018-11-08,1111
2018-11-09,1101
2018-11-10,1092
2018-11-11,1083
2018-11-12,1069
2018-11-13,1048
2018-11-14,1045
2018-11-15,1041
2018-11-16,1059
2018-11-17,1067
2018-11-18,1068
2018-11-19,1066
2018-11-20,1057
2018-11-21,1045
2018-11-22,1047
2018-11-23,1049
2018-11-24,1046
2018-11-25,1047
2018-11-26,1048
2018-11-27,1056
2018-11-28,1064
2018-11-29,1085
2018-12-01,1130
2018-12-02,1110
2018-12-03,1092
2018-12-04,1088
2018-12-05,1118
2018-12-07,1134
2018-12-09,1110
2018-12-10,1108
2018-12-11,1105
2018-12-12,1111
2018-12-13,1111
2018-12-14,1107
2018-12-15,1105
2018-12-16,1083
2018-12-17,1058
2018-12-18,1047
2018-12-19,1075
2018-12-20,1115
2018-12-21,1145
2018-12-22,1131
2018-12-23,1115
2018-12-24,1101
2018-12-25,1097
2018-12-26,1086
2018-12-27,1088
2018-12-28,1090
2018-12-29,1108
2018-12-30,1107
2018-12-31,1093
2019-01-01,1085
2019-01-02,1077
