date_obj,Nose%20peg price
2019-07-21,293
2019-07-22,293
2019-07-23,292
2019-07-24,292
2019-07-25,302
2019-07-26,302
2019-07-27,308
2019-07-28,308
2019-07-29,315
2019-07-30,323
2019-07-31,337
2019-08-01,337
2019-08-02,349
2019-08-03,352
2019-08-04,352
2019-08-05,363
2019-08-06,363
2019-08-07,371
2019-08-08,371
2019-08-09,381
2019-08-10,386
2019-08-11,386
2019-08-12,392
2019-08-13,392
2019-08-14,398
2019-08-15,416
2019-08-16,422
2019-08-17,422
2019-08-18,440
2019-08-19,439
2019-08-20,439
2019-08-21,447
2019-08-22,456
2019-08-23,456
2019-08-24,447
2019-08-24,447
2019-08-25,447
2019-08-25,447
2019-08-26,449
2019-08-26,449
2019-08-27,449
2019-08-27,449
2019-08-28,452
2019-08-29,452
2019-08-30,446
2019-08-31,446
