date_obj,Menaphite%20purple%20kilt price
2018-04-26,1837
2018-04-27,1837
2018-04-28,1837
2018-04-29,1834
2018-04-30,1834
2018-05-01,1834
2018-05-04,1834
2018-05-05,1834
2018-05-06,1834
2018-05-07,1834
2018-05-08,1834
2018-05-09,1801
2018-05-10,1801
2018-05-11,1801
2018-05-12,1801
2018-05-13,1801
2018-05-14,1801
2018-05-15,1801
2018-05-16,1747
2018-05-17,1747
2018-05-18,1747
2018-05-19,1747
2018-05-20,1747
2018-05-21,1747
2018-05-22,1747
2018-05-23,1708
2018-05-24,1708
2018-05-25,1708
2018-05-26,1708
2018-05-27,1708
2018-05-28,1708
2018-05-29,1708
2018-05-30,1708
2018-05-31,1716
2018-06-01,1716
2018-06-02,1716
2018-06-03,1716
2018-06-04,1716
2018-06-05,1716
2018-06-06,1716
2018-06-07,1716
2018-06-08,1632
2018-06-09,1632
2018-06-10,1632
2018-06-11,1632
2018-06-12,1632
2018-06-13,1632
2018-06-14,1632
2018-06-15,1554
2018-06-16,1554
2018-06-17,1554
2018-06-18,1554
2018-06-19,1554
2018-06-20,1554
2018-06-21,1554
2018-06-22,1489
2018-06-23,1489
2018-06-24,1489
2018-06-25,1489
2018-06-26,1489
2018-06-27,1489
2018-06-28,1489
2018-06-29,1489
2018-06-30,1429
2018-07-01,1429
2018-07-02,1429
2018-07-03,1429
2018-07-04,1429
2018-07-05,1429
2018-07-06,1373
2018-07-07,1373
2018-07-08,1373
2018-07-09,1373
2018-07-10,1373
2018-07-11,1373
2018-07-12,1373
2018-07-13,1373
2018-07-14,1373
2018-07-15,1373
2018-07-16,1373
2018-07-17,1306
2018-07-18,1306
2018-07-19,1306
2018-07-20,1306
2018-07-21,1306
2018-07-22,1306
2018-07-23,1270
2018-07-24,1270
2018-07-25,1270
2018-07-26,1270
2018-07-27,1270
2018-07-28,1270
2018-07-29,1212
2018-07-30,1212
2018-07-31,1212
2018-08-01,1212
2018-08-02,1212
2018-08-03,1212
2018-08-04,1192
2018-08-05,1192
2018-08-06,1192
2018-08-07,1192
2018-08-08,1192
2018-08-09,1192
2018-08-10,1173
2018-08-11,1173
2018-08-12,1173
2018-08-14,1173
2018-08-16,1136
2018-08-17,1136
2018-08-18,1136
2018-08-19,1136
2018-08-20,1136
2018-08-21,1147
2018-08-22,1147
2018-08-23,1147
2018-08-24,1147
2018-08-25,1147
2018-08-26,1125
2018-08-27,1125
2018-08-28,1125
2018-08-29,1125
2018-08-30,1125
2018-08-31,1125
2018-09-01,1068
2018-09-02,1068
2018-09-03,1068
2018-09-04,1068
2018-09-05,1068
2018-09-06,1068
2018-09-07,1068
2018-09-08,1020
2018-09-09,1020
