date_obj,Bowl%20of%20water price
2019-01-14,44
2019-01-15,45
2019-01-16,42
2019-01-17,42
2019-01-18,40
2019-01-19,40
2019-01-20,42
2019-01-21,44
2019-01-22,46
2019-01-23,45
2019-01-24,43
2019-01-25,43
2019-01-26,44
2019-01-27,45
2019-01-28,46
2019-01-29,45
2019-01-30,45
2019-01-31,45
2019-02-01,44
2019-02-02,43
2019-02-03,42
2019-02-04,45
2019-02-05,45
2019-02-06,42
2019-02-07,40
2019-02-08,40
2019-02-09,42
2019-02-10,45
2019-02-11,48
2019-02-12,47
2019-02-13,48
2019-02-14,51
2019-02-15,51
2019-02-16,48
2019-02-17,45
2019-02-18,42
2019-02-19,42
2019-02-20,40
2019-02-21,39
2019-02-22,37
2019-02-23,35
2019-02-24,34
2019-02-25,33
2019-02-26,34
2019-02-27,35
2019-02-28,35
2019-03-01,36
2019-03-02,37
2019-03-03,39
2019-03-04,41
2019-03-05,41
2019-03-06,41
2019-03-07,42
2019-03-08,45
2019-03-09,47
2019-03-10,49
2019-03-11,50
2019-03-12,53
2019-03-13,53
2019-03-14,53
2019-03-15,51
2019-03-16,51
2019-03-17,51
2019-03-18,52
2019-03-19,52
2019-03-20,53
2019-03-21,52
2019-03-22,52
2019-03-23,50
2019-03-24,50
2019-03-25,52
2019-03-26,53
2019-03-27,55
2019-03-28,54
2019-03-29,52
2019-03-30,52
2019-03-31,49
2019-04-01,46
2019-04-02,45
2019-04-03,45
2019-04-04,46
2019-04-05,46
2019-04-06,45
2019-04-07,45
2019-04-08,42
2019-04-09,39
2019-04-10,37
2019-04-11,36
2019-04-12,34
2019-04-13,35
2019-04-14,37
2019-04-15,38
2019-04-16,40
2019-04-17,41
2019-04-18,43
2019-04-19,46
2019-04-20,49
2019-04-21,49
2019-04-22,49
2019-04-23,47
2019-04-24,48
2019-04-25,46
2019-04-26,46
2019-04-27,46
2019-04-28,44
2019-04-29,42
2019-04-30,39
2019-05-01,37
2019-05-02,36
2019-05-03,36
2019-05-04,37
2019-05-05,38
2019-05-06,39
2019-05-07,40
2019-05-08,39
2019-05-09,37
2019-05-10,37
2019-05-11,37
2019-05-12,38
2019-05-13,39
2019-05-14,40
2019-05-15,42
2019-05-16,44
2019-05-17,41
2019-05-18,39
