date_obj,Black%20shield%20(h5) price
2017-01-13,1015
2017-01-14,1015
2017-01-15,1024
2017-01-16,1024
2017-01-17,1024
2017-01-18,1024
2017-01-19,1024
2017-01-20,1024
2017-01-21,1011
2017-01-22,1011
2017-01-23,1011
2017-01-27,1019
2017-01-28,1019
2017-01-29,1019
2017-01-30,1019
2017-01-31,1019
2017-02-01,988
2017-02-02,988
2017-02-03,988
2017-02-04,988
2017-02-05,988
2017-02-06,988
2017-02-07,1011
2017-02-08,1011
2017-02-09,1011
2017-02-10,1011
2017-02-11,1011
2017-02-12,1032
2017-02-13,1032
2017-02-14,1032
2017-02-15,1032
2017-02-16,1032
2017-02-18,1055
2017-02-19,1055
2017-02-20,1055
2017-02-21,1055
2017-02-22,1055
2017-02-23,1049
2017-02-24,1049
2017-02-25,1049
2017-02-26,1049
2017-02-27,1049
2017-02-28,1049
2017-03-01,1049
2017-03-02,1035
2017-03-03,1035
2017-03-04,1035
2017-03-05,1035
2017-03-06,1035
2017-03-07,1034
2017-03-08,1034
2017-03-09,1034
2017-03-10,1034
2017-03-11,1034
2017-03-12,1000
2017-03-13,1000
2017-03-14,1000
2017-03-15,1000
2017-03-16,1000
2017-03-17,1000
2017-03-18,1011
2017-03-19,1011
2017-03-20,1011
2017-03-21,1011
2017-03-22,1011
2017-03-23,1011
2017-03-24,1013
2017-03-25,1013
2017-03-26,1013
2017-03-27,1013
2017-03-28,1013
2017-03-29,1002
2017-03-30,1002
2017-03-31,1002
2017-04-01,1002
2017-04-02,1002
2017-04-03,1007
2017-04-04,1007
2017-04-12,939
2017-04-13,939
2017-04-14,939
2017-04-15,939
2017-04-16,939
2017-04-17,939
2017-04-18,939
2017-04-19,939
2017-04-20,939
2017-04-21,939
2017-04-22,939
2017-04-23,939
2017-04-24,930
2017-04-25,930
2017-04-26,930
2017-04-27,930
2017-04-28,930
2017-04-29,939
2017-04-30,939
2017-05-01,939
2017-05-02,939
2017-05-03,939
2017-05-04,939
2017-05-05,904
2017-05-06,904
2017-05-07,904
2017-05-08,904
2017-05-09,904
2017-05-10,905
2017-05-11,905
2017-05-12,905
2017-05-13,905
2017-05-14,905
2017-05-15,905
2017-05-16,877
2017-05-17,877
2017-05-18,877
2017-05-19,877
2017-05-20,877
2017-05-21,856
2017-05-22,856
2017-05-23,856
2017-05-24,856
2017-05-25,856
2017-05-26,869
2017-05-27,869
2017-05-28,869
2017-05-29,869
2017-05-30,869
2017-05-31,869
2017-06-01,843
2017-06-02,843
2017-06-03,843
2017-06-04,843
2017-06-05,843
2017-06-06,857
2017-06-07,857
2017-06-08,857
2017-06-09,857
2017-06-10,857
2017-06-11,849
2017-06-12,849
2017-06-13,849
2017-06-14,849
2017-06-15,849
2017-06-16,841
2017-06-17,841
2017-06-18,841
2017-06-19,841
2017-06-20,841
2017-06-21,841
2017-06-22,841
2017-06-23,841
2017-06-24,850
2017-06-25,850
2017-06-26,850
2017-06-27,850
2017-06-28,850
2017-06-29,859
2017-06-30,859
2017-07-01,859
2017-07-02,859
2017-07-03,859
2017-07-04,866
2017-07-05,866
2017-07-06,866
2017-07-07,866
2017-07-08,866
2017-07-13,836
2017-07-14,836
2017-07-15,848
2017-07-16,848
2017-07-17,848
2017-07-18,848
2017-07-19,848
2017-07-20,849
2017-07-21,849
2017-07-22,849
2017-07-23,849
