date_obj,Desert%20legs price
2017-12-01,695
2017-12-02,695
2017-12-03,715
2017-12-04,715
2017-12-05,715
2017-12-06,715
2017-12-07,715
2017-12-08,715
2017-12-09,715
2017-12-10,741
2017-12-11,741
2017-12-12,741
2017-12-13,741
2017-12-14,741
2017-12-15,741
2017-12-16,741
2017-12-17,741
2017-12-18,760
2017-12-19,760
2017-12-20,760
2017-12-21,760
2017-12-22,760
2017-12-23,760
2017-12-24,760
2017-12-25,770
2017-12-26,770
2017-12-27,770
2017-12-28,770
2017-12-29,770
2017-12-30,755
2017-12-31,755
2018-01-01,755
2018-01-02,755
2018-01-03,755
2018-01-04,755
2018-01-05,774
2018-01-06,774
2018-01-07,774
2018-01-08,774
2018-01-09,774
2018-01-10,774
2018-01-11,766
2018-01-12,766
2018-01-13,766
2018-01-14,766
2018-01-15,766
2018-01-16,759
2018-01-17,759
2018-01-18,759
2018-01-19,759
2018-01-20,759
2018-01-21,759
2018-01-22,780
2018-01-23,780
2018-01-25,812
2018-01-26,812
2018-01-27,812
2018-01-28,842
2018-01-29,842
2018-01-30,842
2018-01-31,828
2018-02-01,828
2018-02-02,828
2018-02-03,849
2018-02-04,849
2018-02-05,849
2018-02-06,854
2018-02-07,854
2018-02-08,854
2018-02-09,881
2018-02-10,881
2018-02-11,881
2018-02-12,914
2018-02-13,914
2018-02-14,914
2018-02-15,914
2018-02-16,960
2018-02-17,960
2018-02-18,960
2018-02-19,1000
2018-02-20,1000
2018-02-21,1000
2018-02-22,1032
2018-02-23,1032
2018-02-24,1032
2018-02-25,1040
2018-02-26,1040
2018-02-27,1040
2018-02-28,1084
2018-03-01,1084
2018-03-02,1084
2018-03-03,1115
2018-03-04,1115
2018-03-05,1115
2018-03-06,1135
2018-03-07,1135
2018-03-08,1135
2018-03-09,1187
2018-03-10,1187
2018-03-11,1187
2018-03-12,1214
2018-03-13,1214
2018-03-14,1214
2018-03-15,1214
2018-03-16,1262
2018-03-17,1262
2018-03-18,1262
2018-03-19,1261
2018-03-20,1261
2018-03-21,1261
2018-03-23,1234
2018-03-24,1234
2018-03-25,1186
2018-03-26,1186
2018-03-27,1186
2018-03-28,1146
2018-03-29,1146
2018-03-30,1146
2018-03-31,1186
2018-04-01,1186
2018-04-02,1186
2018-04-03,1223
2018-04-04,1223
2018-04-05,1223
2018-04-06,1223
2018-04-07,1256
2018-04-08,1256
2018-04-09,1256
2018-04-10,1289
2018-04-11,1289
2018-04-12,1289
2018-04-13,1289
2018-04-14,1346
2018-04-15,1346
2018-04-16,1346
2018-04-17,1352
2018-04-18,1352
2018-04-19,1352
2018-04-20,1352
2018-04-21,1381
2018-04-22,1381
2018-04-23,1381
2018-04-24,1381
2018-04-25,1424
2018-04-26,1424
2018-04-27,1424
2018-04-28,1424
2018-04-29,1418
2018-04-30,1418
2018-05-01,1418
2018-05-03,1445
2018-05-04,1445
2018-05-05,1445
2018-05-07,1486
2018-05-08,1486
2018-05-09,1486
2018-05-10,1486
2018-05-11,1519
2018-05-12,1519
2018-05-13,1519
2018-05-14,1509
2018-05-15,1509
2018-05-16,1509
2018-05-17,1509
2018-05-18,1539
2018-05-19,1539
2018-05-20,1539
2018-05-21,1587
2018-05-22,1587
2018-05-23,1587
2018-05-24,1587
2018-05-25,1647
2018-05-26,1647
2018-05-27,1647
2018-05-28,1580
2018-05-29,1580
2018-05-30,1580
2018-05-31,1596
