date_obj,Dragon%20platebody%20ornament%20kit price
2019-03-31,25577121
2019-04-01,25577121
2019-04-02,25577121
2019-04-03,25577121
2019-04-04,24339599
2019-04-05,24339599
2019-04-06,24339599
2019-04-07,24339599
2019-04-08,24339599
2019-04-09,23378102
2019-04-10,23378102
2019-04-11,23378102
2019-04-12,23378102
2019-04-13,22796426
2019-04-14,22796426
2019-04-15,22796426
2019-04-16,22796426
2019-04-17,22796426
2019-04-18,21772048
2019-04-19,21772048
2019-04-20,21772048
2019-04-21,21772048
2019-04-22,21772048
2019-04-23,21402498
2019-04-24,21402498
2019-04-25,21402498
2019-04-26,21402498
2019-04-27,21101160
2019-04-28,21101160
2019-04-29,21101160
2019-04-30,21101160
2019-05-01,20466619
2019-05-02,20466619
2019-05-03,20466619
2019-05-04,19611023
2019-05-05,19611023
2019-05-06,19611023
2019-05-07,18905520
2019-05-08,18905520
2019-05-09,18905520
2019-05-10,18905520
2019-05-11,18039829
2019-05-12,18039829
2019-05-13,18039829
2019-05-14,17349540
2019-05-15,17349540
2019-05-16,17349540
2019-05-17,17349540
2019-05-18,17349540
2019-05-19,17443722
2019-05-20,17443722
2019-05-21,17443722
2019-05-22,17443722
2019-05-23,17596437
2019-05-24,17596437
2019-05-25,17596437
2019-05-26,17596437
2019-05-27,18031055
2019-05-28,18031055
2019-05-29,18031055
2019-05-30,18031055
2019-05-31,18806425
2019-06-01,18806425
2019-06-02,18806425
2019-06-03,18806425
2019-06-04,19649667
2019-06-05,19649667
2019-06-06,19649667
2019-06-07,20395843
2019-06-08,20395843
2019-06-09,20395843
2019-06-10,20395843
2019-06-11,20192520
2019-06-12,20192520
2019-06-13,20192520
2019-06-14,20192520
2019-06-15,19797686
2019-06-16,19797686
2019-06-17,19797686
2019-06-18,19797686
2019-06-19,19979898
2019-06-20,19979898
2019-06-21,19979898
2019-06-22,19979898
2019-06-23,19979898
2019-06-24,19122911
2019-06-25,19122911
2019-06-26,19122911
2019-06-27,18251065
2019-06-28,18251065
2019-06-29,18251065
2019-06-30,18251065
2019-07-01,18251065
2019-07-02,18889296
2019-07-03,18889296
2019-07-04,18889296
2019-07-05,18889296
2019-07-06,19527621
2019-07-07,19527621
2019-07-08,19527621
2019-07-09,19527621
2019-07-10,20049681
2019-07-11,20049681
2019-07-12,20049681
2019-07-13,20049681
2019-07-14,20454744
2019-07-15,20454744
2019-07-16,20454744
2019-07-17,20454744
2019-07-18,21205504
2019-07-19,21205504
2019-07-20,21205504
2019-07-21,21205504
2019-07-22,20823758
2019-07-23,20823758
2019-07-24,20823758
2019-07-25,20823758
2019-07-26,20823758
2019-07-27,21230758
2019-07-28,21230758
2019-07-29,21230758
2019-07-30,21230758
2019-07-31,21868539
2019-08-01,21868539
2019-08-02,21868539
2019-08-03,21868539
2019-08-04,21868539
2019-08-05,22757778
2019-08-06,22757778
2019-08-07,22757778
2019-08-08,22757778
2019-08-09,22757778
2019-08-10,21920148
2019-08-11,21920148
2019-08-12,21920148
2019-08-13,21920148
2019-08-14,22355497
2019-08-15,22355497
2019-08-16,23278593
2019-08-17,23278593
2019-08-18,23278593
2019-08-19,23278593
2019-08-20,23278593
2019-08-21,23278593
2019-08-22,22243159
2019-08-23,22243159
2019-08-24,22243159
2019-08-24,22243159
2019-08-25,22243159
2019-08-25,22243159
2019-08-26,22243159
2019-08-27,21738838
2019-08-27,21738838
2019-08-28,21738838
2019-08-29,21738838
2019-08-30,21738838
2019-08-31,21738838
2019-09-01,21016787
2019-09-02,21016787
2019-09-03,21016787
2019-09-04,21016787
2019-09-05,20403030
2019-09-06,20403030
2019-09-07,20403030
2019-09-08,20403030
2019-09-09,20403030
2019-09-10,20093530
2019-09-11,20093530
2019-09-12,20093530
2019-09-13,20093530
2019-09-14,19924055
2019-09-15,19924055
2019-09-16,19924055
2019-09-17,19924055
2019-09-18,19974588
2019-09-19,19974588
2019-09-20,19974588
2019-09-21,19974588
2019-09-22,19974588
2019-09-23,20126571
