date_obj,Tan%20cavalier price
2018-02-11,2292
2018-02-12,2338
2018-02-13,2338
2018-02-14,2324
2018-02-15,2324
2018-02-16,2324
2018-02-17,2370
2018-02-18,2370
2018-02-19,2300
2018-02-20,2300
2018-02-21,2300
2018-02-22,2219
2018-02-23,2219
2018-02-24,2219
2018-02-25,2250
2018-02-26,2250
2018-02-27,2282
2018-02-28,2282
2018-03-01,2282
2018-03-02,2321
2018-03-03,2321
2018-03-04,2321
2018-03-05,2393
2018-03-06,2393
2018-03-07,2322
2018-03-08,2322
2018-03-09,2322
2018-03-10,2273
2018-03-11,2273
2018-03-12,2273
2018-03-13,2269
2018-03-14,2269
2018-03-15,2269
2018-03-16,2269
2018-03-17,2191
2018-03-18,2191
2018-03-19,2191
2018-03-20,2141
2018-03-21,2141
2018-03-23,2141
2018-03-24,2137
2018-03-26,2137
2018-03-27,2099
2018-03-28,2099
2018-03-29,2099
2018-03-30,2062
2018-03-31,2062
2018-04-01,2062
2018-04-02,2043
2018-04-03,2043
2018-04-04,2043
2018-04-05,2043
2018-04-06,2063
2018-04-08,2063
2018-04-09,1961
2018-04-10,1961
2018-04-11,1961
2018-04-12,1868
2018-04-13,1868
2018-04-14,1868
2018-04-16,1811
2018-04-17,1811
2018-04-18,1811
2018-04-19,1802
2018-04-20,1802
2018-04-21,1802
2018-04-22,1762
2018-04-23,1762
2018-04-24,1762
2018-04-25,1772
2018-04-26,1772
2018-04-27,1772
2018-04-28,1748
2018-04-29,1748
2018-04-30,1748
2018-05-02,1747
2018-05-03,1747
2018-05-04,1747
2018-05-05,1761
2018-05-06,1761
2018-05-07,1761
2018-05-08,1761
2018-05-09,1715
2018-05-10,1715
2018-05-11,1715
2018-05-12,1637
2018-05-13,1637
2018-05-14,1637
2018-05-15,1598
2018-05-16,1598
2018-05-17,1598
2018-05-18,1535
2018-05-19,1535
2018-05-20,1535
2018-05-21,1494
2018-05-22,1494
2018-05-23,1494
2018-05-24,1509
2018-05-25,1509
2018-05-26,1509
2018-05-27,1498
2018-05-28,1498
2018-05-29,1498
2018-05-30,1428
2018-05-31,1428
2018-06-01,1428
2018-06-02,1399
2018-06-03,1399
2018-06-04,1399
2018-06-05,1461
2018-06-06,1461
2018-06-07,1461
2018-06-08,1506
2018-06-09,1506
2018-06-10,1506
2018-06-11,1528
2018-06-12,1528
2018-06-13,1528
2018-06-14,1500
2018-06-15,1500
2018-06-16,1500
2018-06-17,1442
2018-06-18,1442
2018-06-19,1442
2018-06-20,1442
2018-06-21,1410
2018-06-22,1410
2018-06-23,1410
2018-06-24,1397
2018-06-25,1397
2018-06-26,1397
2018-06-27,1397
2018-06-28,1433
2018-06-29,1433
2018-06-30,1433
2018-07-01,1464
2018-07-02,1464
2018-07-03,1464
2018-07-04,1492
2018-07-05,1492
2018-07-06,1492
2018-07-07,1481
2018-07-08,1481
2018-07-09,1481
2018-07-10,1480
2018-07-11,1480
2018-07-12,1480
2018-07-13,1480
2018-07-14,1497
2018-07-15,1497
2018-07-16,1497
2018-07-17,1452
2018-07-18,1452
2018-07-19,1452
2018-07-20,1452
2018-07-21,1431
2018-07-22,1431
2018-07-23,1461
2018-07-24,1461
2018-07-25,1461
2018-07-26,1437
2018-07-27,1437
2018-07-28,1437
2018-07-29,1467
2018-07-30,1467
2018-07-31,1467
2018-08-01,1496
2018-08-02,1496
2018-08-03,1496
2018-08-04,1551
2018-08-05,1551
2018-08-06,1551
2018-08-07,1563
2018-08-08,1563
2018-08-09,1563
2018-08-10,1604
2018-08-11,1604
2018-08-12,1642
2018-08-14,1719
2018-08-16,1719
2018-08-17,1741
2018-08-18,1741
2018-08-19,1741
2018-08-20,1658
2018-08-21,1658
2018-08-22,1658
2018-08-23,1724
2018-08-24,1724
2018-08-25,1804
2018-08-26,1804
2018-08-27,1804
2018-08-28,1829
2018-08-29,1829
2018-08-30,1829
2018-08-31,1884
2018-09-01,1884
2018-09-02,1889
2018-09-03,1889
2018-09-04,1929
2018-09-05,1929
2018-09-06,1929
2018-09-07,1996
2018-09-08,1996
2018-09-09,1996
2018-09-10,1999
2018-09-11,1999
2018-09-12,1999
2018-09-13,1999
2018-09-14,2099
2018-09-15,2099
2018-09-16,2099
2018-09-17,2200
2018-09-18,2200
2018-09-19,2200
2018-09-20,2275
2018-09-21,2275
2018-09-22,2342
2018-09-23,2342
2018-09-24,2342
2018-09-25,2429
2018-09-26,2429
2018-09-27,2429
2018-09-28,2456
2018-09-29,2456
2018-09-30,2456
2018-10-02,2395
2018-10-03,2311
2018-10-04,2311
2018-10-05,2311
2018-10-06,2377
2018-10-07,2377
2018-10-08,2377
2018-10-09,2475
2018-10-10,2475
2018-10-11,2398
2018-10-12,2398
2018-10-13,2398
2018-10-14,2516
2018-10-15,2516
2018-10-16,2620
2018-10-17,2620
2018-10-18,2614
2018-10-19,2614
2018-10-20,2614
2018-10-21,2667
2018-10-22,2667
2018-10-23,2667
2018-10-24,2779
2018-10-25,2779
2018-10-26,2779
2018-10-27,2917
2018-10-28,2917
2018-10-29,2999
2018-10-30,2999
2018-10-31,2999
2018-11-01,3072
2018-11-03,3063
2018-11-04,3063
2018-11-05,3029
2018-11-06,3029
2018-11-07,2997
2018-11-08,2997
2018-11-09,3022
2018-11-10,3022
2018-11-11,2968
2018-11-12,2968
2018-11-13,3033
2018-11-14,3033
2018-11-15,3033
2018-11-16,3166
2018-11-17,3166
2018-11-18,3243
2018-11-19,3243
2018-11-20,3370
2018-11-21,3370
2018-11-22,3429
2018-11-23,3429
2018-11-24,3595
2018-11-25,3595
2018-11-26,3732
2018-11-27,3732
2018-11-28,3907
2018-11-29,3907
2018-12-01,4037
2018-12-02,4135
2018-12-03,4135
2018-12-04,4277
2018-12-05,4277
2018-12-09,4183
2018-12-10,3980
2018-12-11,3980
2018-12-12,3840
2018-12-13,3840
2018-12-14,3882
2018-12-15,3882
2018-12-16,3958
2018-12-17,3958
2018-12-18,4107
2018-12-19,4107
2018-12-20,4193
2018-12-21,4193
2018-12-22,4075
2018-12-23,4075
2018-12-24,4016
2018-12-25,4016
2018-12-26,4016
2018-12-27,3847
2018-12-28,3847
2018-12-29,3666
2018-12-30,3666
2018-12-31,3550
2019-01-01,3550
2019-01-02,3397
2019-01-03,3397
2019-01-04,3353
2019-01-05,3353
2019-01-06,3263
2019-01-08,3254
2019-01-10,3237
2019-01-11,3237
2019-01-12,3212
2019-01-13,3212
2019-01-14,3148
2019-01-15,3148
2019-01-16,3233
2019-01-17,3233
2019-01-18,3219
2019-01-19,3096
2019-01-20,3096
