date_obj,Ancient%20rune%20armour%20set%20(lg) price
2016-12-21,169689
2016-12-22,168508
2016-12-23,170733
2016-12-24,170733
2016-12-25,169935
2016-12-26,169935
2016-12-27,167401
2016-12-28,167401
2016-12-29,169468
2016-12-30,169468
2016-12-31,168896
2017-01-01,168896
2017-01-02,170096
2017-01-03,170096
2017-01-04,168876
2017-01-05,168876
2017-01-06,168517
2017-01-07,168580
2017-01-08,168580
2017-01-09,167592
2017-01-10,167592
2017-01-11,167035
2017-01-12,167035
2017-01-13,166970
2017-01-14,166970
2017-01-15,167514
2017-01-16,167514
2017-01-17,169874
2017-01-18,169874
2017-01-19,170430
2017-01-20,170430
2017-01-21,173453
2017-01-22,173453
2017-01-23,172566
2017-01-27,174645
2017-01-28,172523
2017-01-29,172523
2017-01-30,173477
2017-01-31,173477
2017-02-01,171844
2017-02-02,171844
2017-02-03,170049
2017-02-04,170405
2017-02-05,170405
2017-02-06,169610
2017-02-07,169610
2017-02-08,168966
2017-02-09,168966
2017-02-10,168890
2017-02-11,168890
2017-02-12,169600
2017-02-13,169600
2017-02-14,168796
2017-02-15,168796
2017-02-16,167268
2017-02-17,167268
2017-02-18,167132
2017-02-19,166254
2017-02-20,166254
2017-02-21,164799
2017-02-22,164799
2017-02-23,164250
2017-02-24,164250
2017-02-25,164702
2017-02-26,164702
2017-02-27,168318
2017-02-28,165744
2017-03-01,165744
2017-03-02,164321
2017-03-03,164321
2017-03-04,164286
2017-03-05,164286
2017-03-06,162196
2017-03-07,162196
2017-03-08,163750
2017-03-09,163750
2017-03-10,163384
2017-03-11,167130
2017-03-12,167130
2017-03-13,166046
2017-03-14,166039
2017-03-15,166039
2017-03-16,164794
2017-03-17,164794
2017-03-18,162324
2017-03-19,161023
2017-03-20,161023
2017-03-21,161065
2017-03-22,161065
2017-03-23,164037
2017-03-24,164037
2017-03-25,163704
2017-03-26,163704
2017-03-27,163704
2017-03-28,162825
2017-03-29,161879
2017-03-30,161879
2017-03-31,160036
2017-04-01,160036
2017-04-02,161745
2017-04-03,162983
2017-04-04,162983
2017-04-05,165996
2017-04-12,168910
2017-04-13,169534
2017-04-14,169534
2017-04-15,174103
2017-04-16,175508
2017-04-17,175508
2017-04-18,176910
2017-04-19,176910
2017-04-20,172813
2017-04-21,170904
2017-04-22,170904
2017-04-23,171209
2017-04-24,171209
2017-04-25,168832
2017-04-26,168832
2017-04-27,168504
2017-04-28,168504
2017-04-29,171311
2017-04-30,171311
2017-05-01,171043
2017-05-02,168829
2017-05-03,168829
2017-05-04,167817
2017-05-05,167817
2017-05-06,167895
2017-05-07,167895
2017-05-08,166617
2017-05-09,165965
2017-05-10,165965
2017-05-11,166260
2017-05-12,166260
2017-05-13,165299
2017-05-14,165299
2017-05-15,167200
2017-05-16,167729
2017-05-17,167729
2017-05-18,167640
2017-05-19,167640
2017-05-20,166006
2017-05-21,166006
2017-05-22,165673
