date_obj,Shade%20robe%20top price
2018-09-08,689
2018-09-09,694
2018-09-10,692
2018-09-11,716
2018-09-12,737
2018-09-13,774
2018-09-14,813
2018-09-15,854
2018-09-16,896
2018-09-17,941
2018-09-18,986
2018-09-19,1036
2018-09-20,1073
2018-09-21,1116
2018-09-22,1117
2018-09-23,1124
2018-09-24,1082
2018-09-25,1035
2018-09-26,983
2018-09-27,945
2018-09-28,962
2018-09-29,936
2018-09-30,906
2018-10-02,865
2018-10-03,867
2018-10-04,891
2018-10-05,846
2018-10-06,847
2018-10-07,866
2018-10-08,875
2018-10-09,898
2018-10-10,892
2018-10-11,917
2018-10-12,949
2018-10-13,979
2018-10-14,988
2018-10-15,975
2018-10-16,962
2018-10-17,951
2018-10-18,975
2018-10-19,1014
2018-10-20,1014
2018-10-21,1002
2018-10-22,991
2018-10-23,1006
2018-10-24,1021
2018-10-25,1020
2018-10-26,1016
2018-10-27,993
2018-10-28,980
2018-10-29,1019
2018-10-30,1027
2018-10-31,1044
2018-11-01,1087
2018-11-03,1153
2018-11-04,1198
2018-11-05,1257
2018-11-06,1320
2018-11-07,1386
2018-11-08,1456
2018-11-09,1525
2018-11-10,1572
2018-11-11,1638
2018-11-12,1716
2018-11-13,1786
2018-11-14,1823
2018-11-15,1903
2018-11-16,1975
2018-11-17,1962
2018-11-18,1989
2018-11-19,1993
2018-11-20,1928
2018-11-21,1955
2018-11-22,1948
2018-11-23,1865
2018-11-24,1840
2018-11-25,1775
2018-11-26,1742
2018-11-27,1717
2018-11-28,1650
2018-11-29,1656
2018-12-01,1622
2018-12-02,1613
2018-12-03,1588
2018-12-04,1626
2018-12-05,1595
2018-12-07,1704
2018-12-09,1880
2018-12-10,1974
2018-12-11,2032
2018-12-12,1994
2018-12-13,1900
2018-12-14,1846
2018-12-15,1757
2018-12-16,1686
2018-12-17,1657
2018-12-18,1608
2018-12-19,1557
2018-12-20,1493
2018-12-21,1443
2018-12-22,1375
2018-12-23,1360
2018-12-24,1405
2018-12-25,1412
2018-12-26,1394
2018-12-27,1331
2018-12-28,1264
2018-12-29,1200
2018-12-30,1148
2018-12-31,1108
2019-01-01,1076
2019-01-02,1031
2019-01-03,982
2019-01-04,932
2019-01-05,898
2019-01-06,866
2019-01-08,819
2019-01-10,846
2019-01-11,860
2019-01-12,853
2019-01-13,845
2019-01-14,813
2019-01-15,774
2019-01-16,740
2019-01-17,739
2019-01-18,728
2019-01-19,719
2019-01-20,697
2019-01-21,670
2019-01-22,660
2019-01-23,631
2019-01-24,633
2019-01-25,656
2019-01-26,685
2019-01-27,674
2019-01-28,691
2019-01-29,691
2019-01-30,704
2019-01-31,723
2019-02-01,730
2019-02-02,715
2019-02-03,703
2019-02-04,689
2019-02-05,662
2019-02-06,628
2019-02-07,600
2019-02-08,585
2019-02-09,556
2019-02-10,559
2019-02-11,567
2019-02-12,587
2019-02-13,607
2019-02-14,598
2019-02-15,595
2019-02-16,606
2019-02-17,608
2019-02-18,591
2019-02-19,607
2019-02-20,633
2019-02-21,637
2019-02-22,632
2019-02-23,656
2019-02-24,687
2019-02-25,683
2019-02-26,690
2019-02-27,715
2019-02-28,751
