date_obj,Fish%20food price
2019-03-20,393
2019-03-21,393
2019-03-22,393
2019-03-23,397
2019-03-24,397
2019-03-25,397
2019-03-26,397
2019-03-27,397
2019-03-28,403
2019-03-29,403
2019-03-30,403
2019-03-31,403
2019-04-01,403
2019-04-02,414
2019-04-03,414
2019-04-04,414
2019-04-05,414
2019-04-06,414
2019-04-07,424
2019-04-08,424
2019-04-09,424
2019-04-10,424
2019-04-11,424
2019-04-12,426
2019-04-13,426
2019-04-14,426
2019-04-15,426
2019-04-16,428
2019-04-17,428
2019-04-18,428
2019-04-19,428
2019-04-20,434
2019-04-21,434
2019-04-22,434
2019-04-23,434
2019-04-24,429
2019-04-25,429
2019-04-26,429
2019-04-27,429
2019-04-28,436
2019-04-29,436
2019-04-30,436
2019-05-01,436
2019-05-02,436
2019-05-03,441
2019-05-04,441
2019-05-05,441
2019-05-06,441
2019-05-07,444
2019-05-08,444
2019-05-09,444
2019-05-10,444
2019-05-11,449
2019-05-12,449
2019-05-13,449
2019-05-14,449
2019-05-15,447
2019-05-16,447
2019-05-17,447
2019-05-18,447
2019-05-19,461
2019-05-20,461
2019-05-21,461
2019-05-22,461
2019-05-23,471
2019-05-24,471
2019-05-25,471
2019-05-26,471
2019-05-27,472
2019-05-28,472
2019-05-29,472
2019-05-30,472
2019-05-31,472
2019-06-01,478
2019-06-02,478
2019-06-03,478
2019-06-04,478
2019-06-05,483
2019-06-06,483
2019-06-07,483
2019-06-08,483
2019-06-09,492
2019-06-10,492
2019-06-11,492
2019-06-12,492
2019-06-13,500
2019-06-14,500
2019-06-15,500
2019-06-16,500
2019-06-17,501
2019-06-18,501
2019-06-19,501
2019-06-20,501
2019-06-21,501
2019-06-22,501
2019-06-23,501
2019-06-24,501
2019-06-25,482
2019-06-26,482
2019-06-27,482
2019-06-28,482
2019-06-29,482
2019-06-30,468
2019-07-01,468
2019-07-02,468
2019-07-03,468
2019-07-04,468
2019-07-05,482
2019-07-06,482
2019-07-07,482
2019-07-08,482
2019-07-09,482
2019-07-10,477
2019-07-11,477
2019-07-12,477
2019-07-13,477
2019-07-14,481
2019-07-15,481
2019-07-16,481
2019-07-17,481
2019-07-18,481
2019-07-19,475
2019-07-20,475
2019-07-21,475
2019-07-22,475
2019-07-23,475
2019-07-24,480
2019-07-25,480
2019-07-26,480
2019-07-27,480
2019-07-28,480
2019-07-29,480
2019-07-30,480
2019-07-31,480
2019-08-01,480
2019-08-02,480
2019-08-03,480
2019-08-04,480
