date_obj,Katana price
2016-10-26,734810
2016-10-27,734810
2016-10-28,769339
2016-10-29,804673
2016-10-30,804673
2016-10-31,844907
2016-11-01,844907
2016-11-02,887153
2016-11-03,887153
2016-11-04,931511
2016-11-05,931511
2016-11-06,892643
2016-11-07,892643
2016-11-08,848010
2016-11-09,805609
2016-11-10,765328
2016-11-11,728067
2016-11-12,692631
2016-11-13,659195
2016-11-14,626235
2016-12-07,742847
2016-12-08,705704
2016-12-09,705704
2016-12-10,670418
2016-12-11,636897
2016-12-12,605052
2016-12-13,577044
2016-12-14,551631
2016-12-15,551631
2016-12-16,535771
2016-12-17,521967
2016-12-18,521967
2016-12-19,509788
2016-12-20,488710
2016-12-21,464274
2016-12-22,464274
2016-12-23,441060
2016-12-24,424286
2016-12-25,414431
2016-12-26,408739
2016-12-27,412094
2016-12-28,412094
2016-12-29,412523
2016-12-30,409685
2016-12-31,425919
2017-01-01,434676
2017-01-02,448462
2017-01-03,448462
2017-01-04,464842
2017-01-05,464842
2017-01-06,459070
2017-01-07,436158
2017-01-08,417094
2017-01-09,400038
2017-01-10,403983
2017-01-11,401385
2017-01-12,404702
2017-01-13,404702
2017-01-14,403218
2017-01-15,396320
2017-01-16,380400
2017-01-17,367822
2017-01-18,365514
2017-01-19,365514
2017-01-20,373549
2017-01-21,374534
2017-01-22,374534
2017-01-27,304760
2017-01-28,310505
2017-01-29,324222
2017-01-30,324222
2017-01-31,338990
2017-02-01,354673
2017-02-02,354673
2017-02-03,369697
2017-02-04,360329
2017-02-05,344136
2017-02-06,339904
2017-02-07,337356
2017-02-08,349818
2017-02-09,349818
2017-02-10,352079
2017-02-11,336848
2017-02-12,336848
2017-02-13,323842
2017-02-14,308395
2017-02-15,295584
2017-02-16,290065
2017-02-18,290942
2017-02-19,303832
2017-02-20,303832
2017-02-21,318933
2017-02-22,318933
2017-02-23,334880
2017-02-24,334880
2017-02-25,351347
2017-02-26,351347
2017-02-27,366314
2017-02-28,384056
2017-03-01,401615
2017-03-02,421696
2017-03-03,421696
2017-03-04,434411
2017-03-05,450859
2017-03-06,458056
2017-03-07,470904
2017-03-08,470904
2017-03-09,488693
2017-03-10,512423
2017-03-11,538045
2017-03-12,538045
2017-03-13,555463
2017-03-14,573136
2017-03-15,587627
2017-03-16,587627
2017-03-17,574219
2017-03-18,574219
2017-03-19,591784
2017-03-20,584889
2017-03-21,569663
2017-03-22,569663
2017-03-23,559282
2017-03-24,559282
2017-03-25,539800
2017-03-26,516649
2017-03-27,508248
2017-03-28,508248
2017-03-29,488217
2017-03-30,463806
2017-03-31,440781
2017-04-01,422174
2017-04-02,422174
2017-04-03,421989
2017-04-04,426589
2017-04-12,384750
2017-04-13,385671
2017-04-14,385671
2017-04-15,382506
2017-04-16,382303
2017-04-17,395380
2017-04-18,410749
2017-04-19,424910
2017-04-20,424910
2017-04-21,427003
2017-04-22,427003
2017-04-23,405652
2017-04-24,386472
2017-04-25,368267
2017-04-26,368267
2017-04-27,349853
2017-04-28,332360
2017-04-29,315742
2017-04-30,300691
2017-05-01,304709
2017-05-02,319610
2017-05-03,332120
2017-05-04,339238
2017-05-05,348849
2017-05-06,348849
2017-05-07,364153
2017-05-08,364153
2017-05-09,379940
2017-05-10,392112
2017-05-11,383805
2017-05-12,365562
2017-05-13,347283
2017-05-14,330035
2017-05-15,330035
2017-05-16,313533
2017-05-17,298454
2017-05-18,283531
2017-05-19,283531
2017-05-20,276930
2017-05-21,276930
2017-05-22,280361
2017-05-23,280361
2017-05-24,276639
2017-05-25,276639
2017-05-26,279237
2017-05-27,289315
2017-05-28,299869
2017-05-29,307804
2017-05-30,307804
2017-05-31,297502
2017-06-01,298339
2017-06-02,289942
2017-06-03,289942
2017-06-04,278800
2017-06-06,272203
2017-06-07,268758
2017-06-08,268758
2017-06-09,264760
2017-06-10,271067
2017-06-11,271814
2017-06-12,271814
2017-06-13,259342
2017-06-14,246374
2017-06-15,237792
2017-06-16,232608
2017-06-17,231396
2017-06-18,220019
2017-06-19,220019
2017-06-20,209018
2017-06-21,198567
2017-06-22,188638
2017-06-23,188638
2017-06-24,179392
2017-06-25,170422
2017-06-26,163126
2017-06-27,164378
2017-06-28,171159
2017-06-29,179717
2017-06-30,177941
2017-07-01,177941
2017-07-02,172831
2017-07-03,168179
2017-07-04,166148
2017-07-05,166148
2017-07-06,171590
2017-07-07,171590
2017-07-08,179521
2017-07-13,201315
2017-07-14,207099
2017-07-15,207099
2017-07-16,205878
2017-07-17,200756
2017-07-18,200756
2017-07-19,203260
2017-07-20,207989
2017-07-21,207989
2017-07-22,208972
2017-07-23,208719
2017-07-24,208719
2017-07-25,203087
2017-07-26,199986
2017-07-27,204039
2017-07-28,207809
2017-07-29,207809
2017-07-30,205741
2017-07-31,205741
2017-08-01,209508
2017-08-02,209103
2017-08-03,208974
2017-08-04,215040
2017-08-05,217133
2017-08-06,217133
2017-08-09,208387
2017-08-10,208589
2017-08-11,204949
2017-08-12,204170
2017-08-13,207818
2017-08-14,215958
2017-08-15,225910
2017-08-17,230915
2017-08-18,230915
2017-08-19,236494
2017-08-20,231494
2017-08-21,225710
2017-08-22,215487
2017-08-23,214234
2017-08-24,214234
2017-08-25,215187
2017-08-26,217177
2017-08-27,222708
2017-08-28,222708
2017-08-29,230514
2017-08-30,238984
2017-08-31,238984
2017-09-01,248007
2017-09-02,248972
2017-09-03,248972
2017-09-04,247606
2017-09-05,238657
2017-09-06,231262
2017-09-07,225766
2017-09-08,225766
2017-09-09,228032
2017-09-10,229811
2017-09-11,228893
2017-09-12,228893
2017-09-13,230642
2017-09-14,227929
2017-09-15,227929
2017-09-16,228405
2017-09-17,229115
2017-09-19,229739
2017-09-20,236530
2017-09-21,236530
2017-09-22,237412
2017-09-23,237412
2017-09-24,242069
2017-09-25,242069
2017-09-26,243858
2017-09-27,243858
2017-09-28,242450
2017-09-29,244937
2017-09-30,244937
