date_obj,Amulet%20of%20torture price
2019-04-01,16467182
2019-04-02,16520086
2019-04-03,16625928
2019-04-04,16613154
2019-04-05,16663973
2019-04-06,16635226
2019-04-07,16631160
2019-04-08,16677582
2019-04-09,16631558
2019-04-10,16617754
2019-04-11,16661552
2019-04-12,16752769
2019-04-13,16767410
2019-04-14,16803668
2019-04-15,16737361
2019-04-16,16690162
2019-04-17,16656097
2019-04-18,16470819
2019-04-19,16428225
2019-04-20,16412878
2019-04-21,16382235
2019-04-22,16423472
2019-04-23,16330769
2019-04-24,16316948
2019-04-25,16325010
2019-04-26,16354154
2019-04-27,16344320
2019-04-28,16329032
2019-04-29,16294258
2019-04-30,16228290
2019-05-01,16213783
2019-05-02,16144884
2019-05-03,16078573
2019-05-04,16068024
2019-05-05,16056884
2019-05-06,16049583
2019-05-07,16017740
2019-05-08,15856610
2019-05-09,15694027
2019-05-10,15547449
2019-05-11,15454972
2019-05-12,15341758
2019-05-13,15295775
2019-05-14,15230662
2019-05-15,15174676
2019-05-16,15075610
2019-05-17,14867025
2019-05-18,14748908
2019-05-19,14697880
2019-05-20,14700417
2019-05-21,14700858
2019-05-22,14679026
2019-05-23,14611810
2019-05-24,14559168
2019-05-25,14674896
2019-05-26,14701432
2019-05-27,14669915
2019-05-28,14630979
2019-05-29,14594952
2019-05-30,14579592
2019-05-31,14585302
2019-06-01,14604102
2019-06-02,14613534
2019-06-03,14559824
2019-06-04,14459761
2019-06-05,14317813
2019-06-06,14256684
2019-06-07,14170346
2019-06-08,14144314
2019-06-09,14045052
2019-06-10,13991609
2019-06-11,13891084
2019-06-12,13779233
2019-06-13,13691597
2019-06-14,13693317
2019-06-15,13786891
2019-06-16,13845488
2019-06-17,13890229
2019-06-18,13834302
2019-06-19,13717549
2019-06-20,13358095
2019-06-21,13016852
2019-06-22,12937128
2019-06-23,12594825
2019-06-24,12322716
2019-06-25,12785316
2019-06-26,13322151
2019-06-27,13827049
2019-06-28,14277865
2019-06-29,14528008
2019-06-30,14568781
2019-07-01,14315379
2019-07-02,14123219
2019-07-03,13920677
2019-07-04,13948543
2019-07-05,13909799
2019-07-06,14045430
2019-07-07,14203491
2019-07-08,14159390
2019-07-09,14115364
2019-07-10,14036645
2019-07-11,14019580
2019-07-12,13998286
2019-07-13,13959189
2019-07-14,13946840
2019-07-15,13913789
2019-07-16,13880065
2019-07-17,13876462
2019-07-18,13860786
2019-07-19,13859088
2019-07-20,13865613
2019-07-21,13933370
2019-07-22,14019290
2019-07-23,14012338
2019-07-24,13986814
2019-07-25,13920050
2019-07-26,13879152
2019-07-27,13850652
2019-07-28,13799979
2019-07-29,13756391
2019-07-30,13744537
2019-07-31,13761653
2019-08-01,13768936
2019-08-02,13743416
2019-08-03,13827980
2019-08-04,13848132
2019-08-05,13811015
2019-08-06,13844853
2019-08-07,13869898
2019-08-08,13910267
2019-08-09,13956470
2019-08-10,14065487
2019-08-11,14034378
2019-08-12,14040507
2019-08-13,13994333
2019-08-14,13961217
2019-08-15,13917204
2019-08-16,13889748
2019-08-17,13858443
2019-08-18,13822598
2019-08-19,13800448
2019-08-20,13772206
2019-08-21,13760957
2019-08-22,13712546
2019-08-23,13680673
2019-08-24,13668791
2019-08-24,13668791
2019-08-25,13724909
2019-08-25,13724909
2019-08-26,13666509
2019-08-27,13623245
2019-08-27,13623245
2019-08-28,13633875
2019-08-29,13575611
2019-08-30,13586991
2019-08-31,13557649
2019-09-01,13568633
2019-09-02,13705985
2019-09-03,13718149
2019-09-04,13657366
2019-09-05,13608877
2019-09-06,13619642
2019-09-07,13604547
2019-09-08,13614473
2019-09-09,13567417
2019-09-10,13512609
2019-09-11,13396702
2019-09-12,13354838
2019-09-13,13351692
2019-09-14,13336068
2019-09-15,13335258
2019-09-16,13316825
2019-09-17,13298206
2019-09-18,13229061
2019-09-19,13262346
2019-09-20,13247370
2019-09-21,13237356
2019-09-22,13210827
2019-09-23,13154554
2019-09-24,13088082
2019-09-25,13116318
2019-09-26,13432651
2019-09-27,13535933
2019-09-28,13603740
2019-09-29,13690483
2019-09-30,14025651
2019-10-01,14118186
2019-10-02,14115755
2019-10-03,14230154
2019-10-04,14267166
2019-10-05,14647429
2019-10-06,15219381
2019-10-07,15346061
2019-10-08,15253425
2019-10-09,15099059
2019-10-10,15117034
2019-10-11,15246344
2019-10-12,15289703
2019-10-13,15316651
2019-10-14,15218537
2019-10-15,15194984
2019-10-16,15150340
2019-10-17,15154550
2019-10-18,15152261
2019-10-19,15327941
2019-10-20,15538303
2019-10-21,15512091
2019-10-22,15451199
2019-10-23,15386073
2019-10-24,15291521
2019-10-25,15335658
2019-10-26,15320674
2019-10-27,15293637
2019-10-28,15229326
2019-10-29,15229855
2019-10-30,15181484
2019-10-31,15103279
2019-11-01,15067386
