date_obj,Dragon%20spear price
2018-07-13,37374
2018-07-14,37659
2018-07-15,38291
2018-07-16,37535
2018-07-17,37524
2018-07-18,37541
2018-07-19,37717
2018-07-20,37822
2018-07-21,38075
2018-07-22,37818
2018-07-23,37660
2018-07-24,37866
2018-07-25,37907
2018-07-26,38244
2018-07-27,38108
2018-07-28,38192
2018-07-29,38318
2018-07-30,38201
2018-07-31,39166
2018-08-01,38716
2018-08-02,38440
2018-08-03,38260
2018-08-04,38451
2018-08-05,39101
2018-08-06,38488
2018-08-07,37854
2018-08-08,37785
2018-08-09,38440
2018-08-10,38479
2018-08-11,38856
2018-08-12,39259
2018-08-14,38360
2018-08-16,37919
2018-08-17,37797
2018-08-18,37586
2018-08-19,37585
2018-08-20,37686
2018-08-21,37288
2018-08-22,37904
2018-08-23,37568
2018-08-24,37756
2018-08-25,37321
2018-08-26,37283
2018-08-27,37531
2018-08-28,37400
2018-08-29,37491
2018-08-30,37597
2018-08-31,37653
2018-09-01,38483
2018-09-02,38395
2018-09-03,37994
2018-09-04,37756
2018-09-05,38044
2018-09-06,37595
2018-09-07,37440
2018-09-08,37214
2018-09-09,37054
2018-09-10,37437
2018-09-11,37051
2018-09-12,37123
2018-09-13,37186
2018-09-14,37213
2018-09-15,37200
2018-09-16,37016
2018-09-17,36973
2018-09-18,36966
2018-09-19,37207
2018-09-20,37299
2018-09-21,37197
2018-09-22,37034
2018-09-23,37118
2018-09-24,37246
2018-09-25,37606
2018-09-26,37815
2018-09-27,37767
2018-09-28,37883
2018-09-29,37173
2018-09-30,37657
2018-10-01,37187
2018-10-02,37430
2018-10-03,37378
2018-10-04,37316
2018-10-05,37557
2018-10-06,37580
2018-10-07,37369
2018-10-08,37414
2018-10-09,37682
2018-10-10,37886
2018-10-11,37931
2018-10-12,37121
2018-10-13,37786
2018-10-14,37814
2018-10-15,37944
2018-10-16,37841
2018-10-17,37455
2018-10-18,37508
2018-10-19,37664
2018-10-20,37593
2018-10-21,37909
2018-10-22,37857
2018-10-23,38908
2018-10-24,38500
2018-10-25,38519
2018-10-26,39728
2018-10-27,41285
2018-10-28,40706
2018-10-29,40452
2018-10-30,39808
2018-10-31,38743
2018-11-01,37732
2018-11-03,37734
2018-11-04,37593
2018-11-05,37450
2018-11-06,37161
2018-11-07,37270
2018-11-08,37313
2018-11-09,37206
2018-11-10,37461
2018-11-11,37476
2018-11-12,37489
2018-11-13,37475
2018-11-14,37506
2018-11-15,37240
2018-11-16,37327
2018-11-17,37595
2018-11-18,37452
2018-11-19,37251
2018-11-20,37071
2018-11-21,37275
2018-11-22,37296
2018-11-23,37198
2018-11-24,37432
2018-11-25,37394
2018-11-26,37359
2018-11-27,37359
2018-11-28,37412
2018-11-29,37454
2018-12-01,37361
2018-12-02,37394
2018-12-03,37467
2018-12-04,37420
2018-12-05,37425
2018-12-07,37229
2018-12-09,37413
2018-12-10,37616
2018-12-11,37762
2018-12-12,37438
2018-12-13,37745
2018-12-14,37211
2018-12-15,37367
2018-12-16,38078
2018-12-17,37843
2018-12-18,37589
2018-12-19,37470
2018-12-20,37756
2018-12-21,38050
2018-12-22,37609
2018-12-23,37532
2018-12-24,37196
2018-12-25,37405
2018-12-26,37116
2018-12-27,37260
2018-12-28,37317
2018-12-29,37313
2018-12-30,37352
2018-12-31,37411
2019-01-01,37303
2019-01-02,37478
2019-01-03,37496
2019-01-04,37397
2019-01-05,37523
2019-01-06,37729
2019-01-08,37490
2019-01-10,37033
2019-01-11,36849
2019-01-12,37201
2019-01-13,37219
2019-01-14,37239
2019-01-15,37211
2019-01-16,37304
2019-01-17,37339
2019-01-18,37233
2019-01-19,37409
2019-01-20,37770
2019-01-21,37718
2019-01-22,37889
2019-01-23,38200
2019-01-24,37440
2019-01-25,37268
2019-01-26,37412
2019-01-27,37439
2019-01-28,38061
2019-01-29,37434
2019-01-30,37312
2019-01-31,37273
2019-02-01,37771
2019-02-02,37387
2019-02-03,38088
2019-02-04,37421
2019-02-05,37454
2019-02-06,37421
2019-02-07,37421
2019-02-08,37601
2019-02-09,37894
2019-02-10,38281
2019-02-11,37791
2019-02-12,37627
2019-02-13,38429
2019-02-14,37891
2019-02-15,37871
2019-02-16,38355
2019-02-17,37797
2019-02-18,38142
2019-02-19,38162
2019-02-20,37894
2019-02-21,37414
2019-02-22,37419
2019-02-23,37629
2019-02-24,37509
2019-02-25,37718
2019-02-26,38110
2019-02-27,38079
2019-02-28,38432
2019-03-01,38244
2019-03-02,37614
2019-03-03,37763
2019-03-04,37644
2019-03-05,37397
2019-03-06,37841
2019-03-07,37923
2019-03-08,37634
2019-03-09,37611
2019-03-10,37821
2019-03-11,37531
2019-03-12,37478
2019-03-13,37499
2019-03-14,37514
2019-03-15,37642
2019-03-16,37591
2019-03-17,37691
2019-03-18,37027
2019-03-19,37318
2019-03-20,37128
2019-03-21,37824
2019-03-22,37888
2019-03-23,37971
2019-03-24,37439
2019-03-25,37873
