date_obj,Dark%20tuxedo%20jacket price
2018-06-15,2499076
2018-06-16,2499076
2018-06-17,2499076
2018-06-18,2499076
2018-06-19,2499076
2018-06-20,2499076
2018-06-21,2499076
2018-06-22,2439448
2018-06-23,2439448
2018-06-24,2439448
2018-06-25,2439448
2018-06-26,2439448
2018-06-27,2439448
2018-06-28,2439448
2018-06-29,2439448
2018-06-30,2373501
2018-07-01,2373501
2018-07-02,2373501
2018-07-03,2373501
2018-07-04,2373501
2018-07-05,2373501
2018-07-06,2373501
2018-07-07,2373501
2018-07-08,2373501
2018-07-09,2373501
2018-07-10,2349885
2018-07-11,2349885
2018-07-12,2349885
2018-07-13,2349885
2018-07-14,2349885
2018-07-15,2349885
2018-07-16,2349885
2018-07-17,2349885
2018-07-18,2349885
2018-07-19,2292395
2018-07-20,2292395
2018-07-21,2292395
2018-07-22,2292395
2018-07-23,2292395
2018-07-24,2292395
2018-07-25,2292395
2018-07-26,2316308
2018-07-27,2316308
2018-07-28,2316308
2018-07-29,2316308
2018-07-30,2316308
2018-07-31,2316308
2018-08-01,2347901
2018-08-02,2347901
2018-08-03,2347901
2018-08-04,2347901
2018-08-05,2347901
2018-08-06,2347901
2018-08-07,2347901
2018-08-08,2293300
2018-08-09,2293300
2018-08-10,2293300
2018-08-11,2293300
2018-08-12,2293300
2018-08-14,2293300
2018-08-16,2309833
2018-08-17,2309833
2018-08-18,2309833
2018-08-19,2309833
2018-08-20,2309833
2018-08-21,2309833
2018-08-22,2370117
2018-08-23,2370117
2018-08-24,2370117
2018-08-25,2370117
2018-08-26,2370117
2018-08-27,2370117
2018-08-28,2370117
2018-08-29,2474940
2018-08-30,2474940
2018-08-31,2474940
2018-09-01,2474940
2018-09-02,2474940
2018-09-03,2474940
2018-09-04,2573945
2018-09-05,2573945
2018-09-06,2573945
2018-09-07,2573945
2018-09-08,2573945
2018-09-09,2573945
2018-09-10,2573945
2018-09-11,2573945
2018-09-12,2695100
2018-09-13,2695100
2018-09-14,2695100
2018-09-15,2695100
2018-09-16,2695100
2018-09-17,2695100
2018-09-18,2695100
2018-09-19,2695100
2018-09-20,2748502
2018-09-21,2748502
2018-09-22,2748502
2018-09-23,2748502
2018-09-24,2748502
2018-09-25,2748502
2018-09-26,2748502
2018-09-27,2748502
2018-09-28,2674830
2018-09-29,2674830
2018-09-30,2674830
2018-10-01,2674830
2018-10-02,2674830
2018-10-03,2674830
2018-10-04,2674830
2018-10-05,2674830
2018-10-06,2656928
2018-10-07,2656928
2018-10-08,2656928
2018-10-09,2656928
2018-10-10,2656928
2018-10-11,2656928
2018-10-12,2656928
2018-10-13,2629890
2018-10-14,2629890
2018-10-15,2629890
2018-10-16,2629890
2018-10-17,2629890
2018-10-18,2629890
2018-10-19,2629890
2018-10-20,2577934
2018-10-21,2577934
2018-10-22,2577934
2018-10-23,2577934
2018-10-24,2577934
2018-10-25,2577934
2018-10-26,2561906
2018-10-27,2561906
2018-10-28,2561906
2018-10-29,2561906
2018-10-30,2561906
2018-10-31,2624255
2018-11-01,2624255
2018-11-03,2624255
2018-11-04,2624255
2018-11-05,2624255
2018-11-06,2626530
2018-11-07,2626530
2018-11-08,2626530
2018-11-09,2626530
2018-11-10,2697257
2018-11-11,2697257
2018-11-12,2697257
2018-11-13,2697257
2018-11-14,2697257
2018-11-15,2688980
2018-11-16,2688980
2018-11-17,2688980
2018-11-18,2688980
2018-11-19,2688980
2018-11-20,2659888
2018-11-21,2659888
2018-11-22,2659888
2018-11-23,2659888
2018-11-24,2659888
2018-11-25,2540085
2018-11-26,2540085
2018-11-27,2540085
2018-11-28,2540085
2018-11-29,2540085
2018-12-01,2492809
2018-12-02,2492809
2018-12-03,2492809
2018-12-04,2449376
2018-12-05,2449376
2018-12-07,2449376
2018-12-09,2455342
2018-12-10,2455342
2018-12-11,2455342
2018-12-12,2455342
2018-12-13,2544809
2018-12-14,2544809
2018-12-15,2544809
2018-12-16,2544809
2018-12-17,2544809
2018-12-18,2656040
2018-12-19,2656040
2018-12-20,2656040
2018-12-21,2656040
2018-12-22,2763260
2018-12-23,2763260
2018-12-24,2763260
2018-12-25,2763260
2018-12-26,2763260
2018-12-27,2798400
2018-12-28,2798400
2018-12-29,2798400
2018-12-30,2798400
2018-12-31,2871581
2019-01-01,2871581
2019-01-02,2871581
2019-01-03,2871581
2019-01-04,2871581
2019-01-05,2961153
2019-01-06,2961153
2019-01-08,2961153
2019-01-10,3034336
2019-01-11,3034336
2019-01-12,3034336
2019-01-13,3034336
2019-01-14,3034336
2019-01-15,3034336
2019-01-16,3034336
2019-01-17,2976454
2019-01-18,2976454
2019-01-19,2976454
2019-01-20,2976454
2019-01-21,2976454
2019-01-22,2976454
2019-01-23,2875539
2019-01-24,2875539
2019-01-25,2875539
2019-01-26,2875539
2019-01-27,2875539
2019-01-28,2875539
2019-01-29,2753331
2019-01-30,2753331
2019-01-31,2753331
2019-02-01,2753331
2019-02-02,2753331
2019-02-03,2663413
2019-02-04,2663413
2019-02-05,2663413
2019-02-06,2663413
2019-02-07,2663413
2019-02-08,2663413
2019-02-09,2579885
2019-02-10,2579885
2019-02-11,2579885
2019-02-12,2579885
2019-02-13,2579885
2019-02-14,2579885
2019-02-15,2460502
