date_obj,Raw%20rabbit price
2017-10-13,455
2017-10-14,455
2017-10-15,455
2017-10-16,455
2017-10-17,455
2017-10-18,455
2017-10-19,455
2017-10-20,455
2017-10-21,455
2017-10-22,455
2017-10-23,455
2017-10-24,432
2017-10-25,432
2017-10-26,432
2017-10-27,432
2017-10-28,432
2017-10-29,432
2017-10-30,410
2017-10-31,410
2017-11-01,410
2017-11-02,410
2017-11-03,410
2017-11-04,410
2017-11-05,410
2017-11-06,410
2017-11-07,410
2017-11-08,410
2017-11-09,410
2017-11-10,410
2017-11-11,389
2017-11-12,389
2017-11-13,389
2017-11-14,389
2017-11-15,389
2017-11-16,389
2017-11-17,389
2017-11-18,389
2017-11-19,389
2017-11-20,389
2017-11-21,389
2017-11-22,389
2017-11-23,389
2017-11-24,389
2017-11-25,369
2017-11-26,369
2017-11-27,369
2017-11-28,369
2017-11-29,369
2017-11-30,369
2017-12-01,369
2017-12-02,369
2017-12-03,369
2017-12-04,369
2017-12-05,369
2017-12-06,369
2017-12-07,369
2017-12-08,369
2017-12-09,369
2017-12-10,351
2017-12-11,351
2017-12-12,351
2017-12-14,351
2017-12-15,351
2017-12-16,351
2017-12-17,351
2017-12-18,351
2017-12-19,351
2017-12-20,351
2017-12-21,351
2017-12-22,351
2017-12-23,351
2017-12-24,351
2017-12-25,351
2017-12-26,351
2017-12-27,333
2017-12-28,333
2017-12-29,333
2017-12-30,333
2017-12-31,333
2018-01-01,333
2018-01-02,333
2018-01-03,333
2018-01-04,333
2018-01-05,333
2018-01-06,333
2018-01-07,333
2018-01-08,333
2018-01-09,333
2018-01-10,333
2018-01-11,333
2018-01-12,317
2018-01-13,317
2018-01-14,317
2018-01-15,317
2018-01-16,317
2018-01-17,317
2018-01-18,317
2018-01-19,317
2018-01-20,317
2018-01-21,317
2018-01-22,317
2018-01-23,317
2018-01-24,301
2018-01-25,301
2018-01-26,301
2018-01-27,301
2018-01-28,301
2018-01-29,301
2018-01-31,301
2018-02-01,301
2018-02-02,287
2018-02-03,287
2018-02-04,287
2018-02-05,287
2018-02-06,287
2018-02-07,287
2018-02-08,287
2018-02-09,287
2018-02-10,287
2018-02-11,272
2018-02-12,272
2018-02-13,272
2018-02-14,272
2018-02-15,272
2018-02-16,272
2018-02-17,272
2018-02-18,272
2018-02-19,275
2018-02-20,275
2018-02-21,275
2018-02-22,275
2018-02-23,275
2018-02-24,275
2018-02-25,275
2018-02-26,275
2018-02-27,275
2018-02-28,275
2018-03-01,280
2018-03-02,280
2018-03-03,280
2018-03-04,280
2018-03-05,280
2018-03-06,280
2018-03-07,280
2018-03-08,280
2018-03-09,280
2018-03-10,283
2018-03-11,283
2018-03-12,283
2018-03-13,283
2018-03-14,283
2018-03-15,283
2018-03-16,283
2018-03-17,283
2018-03-18,283
2018-03-19,283
2018-03-20,274
2018-03-21,274
2018-03-23,274
2018-03-24,274
2018-03-26,274
2018-03-27,274
2018-03-28,274
2018-03-29,274
2018-03-30,274
2018-03-31,274
2018-04-01,274
2018-04-02,274
2018-04-03,264
2018-04-04,264
2018-04-05,264
2018-04-06,264
2018-04-08,264
2018-04-09,264
2018-04-10,264
2018-04-11,264
2018-04-12,264
2018-04-13,264
2018-04-14,264
2018-04-15,264
2018-04-16,250
2018-04-17,250
2018-04-18,250
2018-04-19,250
2018-04-20,250
2018-04-21,250
2018-04-22,250
2018-04-23,250
2018-04-24,250
2018-04-25,250
2018-04-26,250
2018-04-27,250
2018-04-28,250
2018-04-29,237
2018-04-30,237
2018-05-01,237
2018-05-02,237
2018-05-03,237
2018-05-04,237
2018-05-05,237
2018-05-06,237
2018-05-07,237
2018-05-08,237
2018-05-09,239
2018-05-10,239
2018-05-11,239
2018-05-12,239
2018-05-13,239
2018-05-14,239
2018-05-15,239
2018-05-16,239
2018-05-17,239
2018-05-18,239
2018-05-19,240
2018-05-20,240
2018-05-21,240
2018-05-22,240
2018-05-23,240
2018-05-24,240
2018-05-25,240
2018-05-26,249
2018-05-27,249
2018-05-28,249
2018-05-29,249
2018-05-30,249
2018-05-31,249
2018-06-01,249
2018-06-02,249
2018-06-03,249
2018-06-04,249
2018-06-05,248
2018-06-06,248
2018-06-07,248
2018-06-08,248
2018-06-09,248
2018-06-10,248
2018-06-11,248
2018-06-12,248
2018-06-13,248
2018-06-14,248
2018-06-15,255
2018-06-16,255
2018-06-17,255
2018-06-18,255
2018-06-19,255
2018-06-20,255
2018-06-21,255
2018-06-22,255
2018-06-23,255
2018-06-24,255
2018-06-25,255
2018-06-26,254
2018-06-27,254
2018-06-28,254
2018-06-29,254
2018-06-30,254
2018-07-01,254
2018-07-02,254
2018-07-03,254
2018-07-04,254
2018-07-05,254
2018-07-06,257
2018-07-07,257
2018-07-08,257
2018-07-09,257
2018-07-10,257
2018-07-11,257
2018-07-12,257
2018-07-13,257
2018-07-14,257
2018-07-15,257
2018-07-16,257
2018-07-17,257
2018-07-18,257
2018-07-19,257
2018-07-20,257
2018-07-21,257
2018-07-22,257
2018-07-23,259
2018-07-24,259
2018-07-25,259
2018-07-26,259
2018-07-27,259
2018-07-28,259
2018-07-29,259
2018-07-30,259
2018-07-31,254
2018-08-01,254
2018-08-02,254
2018-08-03,254
2018-08-04,254
2018-08-05,254
2018-08-06,254
2018-08-07,254
2018-08-08,258
2018-08-09,258
2018-08-10,258
2018-08-11,258
2018-08-12,258
2018-08-14,258
2018-08-16,258
2018-08-17,256
2018-08-18,256
2018-08-19,256
2018-08-20,256
2018-08-21,256
2018-08-22,256
2018-08-23,256
2018-08-24,256
2018-08-25,251
2018-08-26,251
2018-08-27,251
2018-08-28,251
2018-08-29,251
2018-08-30,251
2018-08-31,251
2018-09-01,251
2018-09-02,251
2018-09-03,251
2018-09-04,251
2018-09-05,243
2018-09-06,243
2018-09-07,243
2018-09-08,243
2018-09-09,243
2018-09-10,243
2018-09-11,243
2018-09-12,243
2018-09-13,243
2018-09-14,243
2018-09-15,243
2018-09-16,233
2018-09-17,233
2018-09-18,233
2018-09-19,233
2018-09-20,233
2018-09-21,233
2018-09-22,233
2018-09-23,233
2018-09-24,233
2018-09-25,233
2018-09-26,234
2018-09-27,234
2018-09-28,234
2018-09-29,234
2018-09-30,234
2018-10-02,234
2018-10-03,234
2018-10-04,232
2018-10-05,232
2018-10-06,232
2018-10-07,232
2018-10-08,232
2018-10-09,232
2018-10-10,232
2018-10-11,232
2018-10-12,232
2018-10-13,232
2018-10-14,232
2018-10-15,232
2018-10-16,232
2018-10-17,232
2018-10-18,232
2018-10-19,232
2018-10-20,224
2018-10-21,224
2018-10-22,224
2018-10-23,224
2018-10-24,224
2018-10-25,224
2018-10-26,224
2018-10-27,231
2018-10-28,231
2018-10-29,231
2018-10-30,231
2018-10-31,231
2018-11-01,231
2018-11-03,235
2018-11-04,235
2018-11-05,235
2018-11-06,235
2018-11-07,235
2018-11-08,235
2018-11-09,235
2018-11-10,242
2018-11-11,242
2018-11-12,242
2018-11-13,242
2018-11-14,242
2018-11-15,242
2018-11-16,248
2018-11-17,248
2018-11-18,248
2018-11-19,248
2018-11-20,248
2018-11-21,248
2018-11-22,241
2018-11-23,241
2018-11-24,241
2018-11-25,241
2018-11-26,241
2018-11-27,241
2018-11-28,239
2018-11-29,239
2018-12-01,239
2018-12-02,239
2018-12-03,239
2018-12-04,237
2018-12-05,237
2018-12-07,237
2018-12-09,237
2018-12-10,236
2018-12-11,236
2018-12-12,236
2018-12-13,236
2018-12-14,236
2018-12-15,236
2018-12-16,236
