date_obj,Dragon%20chainbody%20ornament%20kit price
2017-06-12,154168
2017-06-13,151095
2017-06-14,147831
2017-06-15,147831
2017-06-16,146295
2017-06-17,146295
2017-06-18,145996
2017-06-19,145996
2017-06-20,147553
2017-06-21,149199
2017-06-22,149199
2017-06-23,150003
2017-06-24,148704
2017-06-25,144849
2017-06-26,143620
2017-06-27,143670
2017-06-28,141804
2017-06-29,142227
2017-06-30,141881
2017-07-01,141881
2017-07-02,137653
2017-07-03,135827
2017-07-04,135968
2017-07-05,135968
2017-07-06,139949
2017-07-07,139949
2017-07-08,146932
2017-07-13,170093
2017-07-14,175100
2017-07-15,175100
2017-07-16,168644
2017-07-17,167126
2017-07-18,164706
2017-07-19,165206
2017-07-20,163162
2017-07-21,160049
2017-07-22,156318
2017-07-23,153285
2017-07-24,153285
2017-07-25,148939
2017-07-26,143901
2017-07-27,141673
2017-07-28,138485
2017-07-29,138485
2017-07-30,134389
2017-07-31,134389
2017-08-01,131845
2017-08-02,130350
2017-08-03,132904
2017-08-04,132904
2017-08-05,138542
2017-08-06,145091
2017-08-09,157371
2017-08-10,161068
2017-08-11,163618
2017-08-12,166457
2017-08-13,172250
2017-08-14,179205
2017-08-15,179998
2017-08-16,180510
2017-08-17,184390
2017-08-18,184390
2017-08-19,179635
2017-08-20,186726
2017-08-21,195215
2017-08-22,204449
2017-08-23,200985
2017-08-24,200985
2017-08-25,198854
2017-08-26,193860
2017-08-27,196351
2017-08-28,203001
2017-08-29,203001
2017-08-30,207954
2017-08-31,207954
2017-09-01,204971
2017-09-03,200339
2017-09-04,201820
2017-09-05,204036
2017-09-06,197523
2017-09-07,194309
2017-09-08,194309
2017-09-09,191034
2017-09-10,188927
2017-09-11,184793
2017-09-12,184793
2017-09-13,184031
2017-09-14,182561
2017-09-15,182561
2017-09-16,181243
2017-09-17,177787
2017-09-18,179551
2017-09-19,182711
2017-09-20,191169
2017-09-21,192144
2017-09-22,188347
2017-09-23,188347
2017-09-24,186605
2017-09-25,180350
